,Ca_2,Ca_1,TSA_2,FAP_2
Ca_2,1.0,0.8805731154130716,0.8021133082062886,0.8247283492888771
Ca_1,0.8805731154130716,1.0,0.8710017861425662,0.8867297251952079
TSA_2,0.8021133082062886,0.8710017861425662,1.0,0.9626918000847741
FAP_2,0.8247283492888771,0.8867297251952079,0.9626918000847741,1.0
