,CA.1,CA.2,CA.3,CA.4
CA.1,1.0,0.8178965097874044,0.841203777909096,0.9101109629108135
CA.2,0.8178965097874044,1.0,0.8008536263588845,0.8930178132800147
CA.3,0.841203777909096,0.8008536263588845,1.0,0.8446710948448054
CA.4,0.9101109629108135,0.8930178132800147,0.8446710948448054,1.0
