,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
GSM2674167,1.0,0.9691039461292839,0.9635773815956805,0.9401940660779845,0.9458788852253536,0.9037795599532715,0.9735049461740257,0.973189097829538,0.9416797899055476,0.9548657486256938,0.9231484322427183,0.9329141584651345,0.9303762743706204,0.93343637909997,0.9381548064730512,0.9462899506541994,0.9195141356920363,0.8926458871869174,0.9498313774925158,0.9506676256591097,0.9337487344963581,0.9370007615543677,0.9284452847478831,0.8792344518098907,0.9498348693351193,0.9354792060892801,0.8704876389622893,0.9515830785590128,0.9119452046770165
GSM2674173,0.9691039461292839,1.0,0.9585992498378533,0.9348514646237425,0.937284599289843,0.9170029030177062,0.9628893862208574,0.9543475030147154,0.9395926909478123,0.9463183823728517,0.9161362977602628,0.9212547473700377,0.9301719010978563,0.9320198389094064,0.9342947613684696,0.9471034469996178,0.9171518050394548,0.9016676791680293,0.9481911226843421,0.9445394627676974,0.9340522987222518,0.9358731935064967,0.9269302042922204,0.8836072834470284,0.9424159037166813,0.9340384665452145,0.8813751777818097,0.9486211445379733,0.9018701060150798
GSM2674157,0.9635773815956805,0.9585992498378533,1.0,0.939366675919643,0.9412634376253318,0.9106481098589003,0.9657016860790592,0.9501573613953787,0.9590053655044234,0.9565791957266382,0.910088056497024,0.9060833756400725,0.9138057012194789,0.9115588420308651,0.9220151204907495,0.9381561700042321,0.9006642408923428,0.8764888062870759,0.9374677223726648,0.9412936020652188,0.9111249152311004,0.9293213968323946,0.9108593127740883,0.8549138282031349,0.9278489606101018,0.9158523565874065,0.8544138232485908,0.9438636005217403,0.874149185062135
GSM2674158,0.9401940660779845,0.9348514646237425,0.939366675919643,1.0,0.9340101289648064,0.9179801605974413,0.9450955361324584,0.9426778553070034,0.946891187430853,0.935421293532096,0.9028220670234053,0.9192093545570379,0.8969521427608614,0.8936596061065064,0.9185226082875662,0.936870162397789,0.8770618559686939,0.8949338372568917,0.9188239342369304,0.9294427947621523,0.915016365022498,0.9182002332903025,0.8839184472150168,0.8527705261790209,0.925645740779508,0.9135292746247621,0.8627288531766557,0.9362438298353525,0.8722585403938707
GSM2674159,0.9458788852253536,0.937284599289843,0.9412634376253318,0.9340101289648064,1.0,0.8992273444736851,0.9538153014983405,0.9580722616336373,0.9375567819910694,0.9339730029204304,0.8402434768446609,0.9126729931947641,0.8842451040768898,0.8886761618183887,0.9161446052183079,0.940342641411314,0.8577484502498152,0.8638137661115807,0.9078644788680786,0.9250861319211692,0.9300335258118919,0.9097693463551102,0.8630078456125365,0.832015066867794,0.9269094203403961,0.9138426602853172,0.8375480144331118,0.9334754470623405,0.8923321976861877
GSM2674160,0.9037795599532715,0.9170029030177062,0.9106481098589003,0.9179801605974413,0.8992273444736851,1.0,0.921323882483199,0.9056552927343935,0.9206390317361501,0.9239001493846263,0.8845650855247537,0.8984034236875538,0.9010652960011677,0.8792372939167303,0.9185703419412248,0.9277024866603641,0.8803296862706721,0.919181006335559,0.9125233205896465,0.9182728999596927,0.8795946098569543,0.9334940962047027,0.8914055213550502,0.8692354934750918,0.9134104890255373,0.9295587796024188,0.8416341429217765,0.9104746211075904,0.8493092712620725
GSM2674161,0.9735049461740257,0.9628893862208574,0.9657016860790592,0.9450955361324584,0.9538153014983405,0.921323882483199,1.0,0.97575703845964,0.9633499247563945,0.9671329777878174,0.9193850963656273,0.9384875498686633,0.9292129947662424,0.9326425717801788,0.9488056416627886,0.9552745671211749,0.9115505176556817,0.9053430147986777,0.9484384114337936,0.9523133662966761,0.9458016820595339,0.948431688616866,0.9212551160978449,0.8870022888522774,0.9501212749232287,0.939118577886048,0.880683175307458,0.9625577558402679,0.9144337258379596
GSM2674162,0.973189097829538,0.9543475030147154,0.9501573613953787,0.9426778553070034,0.9580722616336373,0.9056552927343935,0.97575703845964,1.0,0.9434818512258062,0.9536847899071216,0.9104403165671051,0.9417914997065112,0.9250692083446791,0.9289801408967648,0.9380060163933395,0.9475855538993813,0.9112218511012573,0.8981109357793671,0.9431961744467497,0.9434965368062762,0.9398613205727439,0.9362384786621668,0.9201685301607795,0.8845867944341953,0.9518020665299267,0.9393954527135532,0.8756235379715329,0.9502819341689772,0.9264783961430867
GSM2674163,0.9416797899055476,0.9395926909478123,0.9590053655044234,0.946891187430853,0.9375567819910694,0.9206390317361501,0.9633499247563945,0.9434818512258062,1.0,0.9545788199536067,0.9144478523213361,0.9119107775663101,0.898678924930105,0.8970467345066356,0.9249910651915991,0.9422651113820807,0.8751161816665232,0.8872742682641863,0.9217719440424333,0.926555284991496,0.9182079573983485,0.9246706517022968,0.8850755507092728,0.850370280279448,0.9281834165895123,0.9109671179639878,0.8565444232578335,0.9437064072038022,0.8686426160555899
GSM2674164,0.9548657486256938,0.9463183823728517,0.9565791957266382,0.935421293532096,0.9339730029204304,0.9239001493846263,0.9671329777878174,0.9536847899071216,0.9545788199536067,1.0,0.9246494326866279,0.9228697269574291,0.9194759418738477,0.9121510741491299,0.9363569806508443,0.9467885275630324,0.9005169706514629,0.891843432501823,0.9339077671444069,0.9403562333976857,0.9133125013884384,0.94017183745412,0.9123942697212011,0.8672032645901728,0.9349720940361865,0.9273436670496401,0.856096249771816,0.9456907605818978,0.8849968403809892
