,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM2674196,1.0,0.9781684201829284,0.9805588889820656,0.9334405978916823,0.9381495416078613,0.9420338075598144,0.9251237775360982,0.9651102700260955,0.9687892079411695,0.9710222424107532,0.9707428278059363,0.9765028977462239,0.9734825177349806,0.9665024602388782,0.9721298634919102,0.9358786731138549,0.9668172601573164,0.939881095656527,0.9712752108331204,0.9493677659116452,0.9105098616849266,0.9488416768635896,0.9417284781454316,0.9324357906745123,0.9308594004155268,0.9020600335011459,0.9432840494629557,0.8974689234540393,0.9224064462987479,0.9191307069512267,0.9426857539964189,0.930105586736077,0.893128394176513,0.7086954694285623,0.7650511545882278,0.6727698731305827,0.8004833124374742,0.9549601107630248,0.9505381335030536,0.9341119682740965,0.9554147557717582,0.9534244173970047,0.9513106790387436,0.9530166027989928,0.9536583890724021,0.957273693621428,0.9547230458391274,0.9452639376818496,0.9324249199919196,0.9234927073475057,0.9336704000603668,0.9281391325541227,0.9062290596034819,0.8962355330384684,0.9328949614989571,0.912999608461515,0.9177085065905026,0.9381292508022491,0.9312240454059117,0.935737774696874,0.9306405648327291,0.9140058535397935,0.9141905775698342,0.911227717349059,0.8853835482659561,0.9562558941752693,0.9538980580929682,0.934081619020413,0.8945191336894824,0.8756104788886793,0.9163483951168152,0.9290830052767193,0.8584539610828851,0.8854866863381338
GSM2674188,0.9781684201829284,1.0,0.9780352444975853,0.9358422760869418,0.9506442365193476,0.9478329570097788,0.935292228253669,0.9716665756827688,0.9612542590670218,0.9779076276059259,0.9681299177528488,0.9733686604445231,0.9723332119781734,0.9721293185371772,0.9709765483688293,0.9461422201365096,0.9727609419919349,0.9412800875790238,0.9693323324859512,0.9564093306522837,0.9052779733801815,0.9453469655685091,0.9380621184822783,0.9271036407715395,0.9273434406136296,0.9011799603531969,0.9432226460377929,0.8929312178115666,0.9218427503744386,0.9118672058310912,0.9404211157139672,0.9238883831004154,0.8850759038425384,0.7143852352585268,0.7668190759639751,0.6731835283754228,0.8056265425789735,0.9536400363310031,0.9437657511945978,0.9277613204814542,0.9520165490875352,0.9432210262305463,0.9500071427258436,0.9587716010677605,0.9510873691884669,0.9539885201533758,0.956857369195562,0.9472799949771693,0.9197737462517281,0.9140673328563672,0.9264295566808131,0.9164625090441845,0.89728549534046,0.8955896962061617,0.9303946009273374,0.9072378199489183,0.9137390103336476,0.9385808812829226,0.9271588901842075,0.9389608440789148,0.9311013661515507,0.9082228147307841,0.9081368797453491,0.9103017263622478,0.8788104401298427,0.9597462413650318,0.9478267686847796,0.9321429028276089,0.8885048111826087,0.8664606730376548,0.9217235418182439,0.9297797179251152,0.8656160789541003,0.8737870043472699
GSM2674189,0.9805588889820656,0.9780352444975853,1.0,0.941660745053776,0.9461462777988328,0.9454250449972366,0.9255439959107697,0.9672643246571426,0.9603663318056757,0.9710953229304846,0.9746493303615544,0.9810390663719191,0.9792361730271708,0.9717834447323122,0.9748388114701422,0.9279289502532961,0.9686496678599948,0.9258376304821613,0.9779649007245844,0.9490333696932312,0.9224970076206005,0.9449596453312509,0.9386886471554352,0.926329675673205,0.9347416406297616,0.9157748515612709,0.9508647227339775,0.9073025147729964,0.9337045282113273,0.9251151181498924,0.9421614698588078,0.9408891244503115,0.9040332266022321,0.7061771967885418,0.7408105829377453,0.6553917661984691,0.7935778855296126,0.9574580099005953,0.9566829472034291,0.9418549198535513,0.9599520815444087,0.954412801946884,0.963046896275203,0.957132796621025,0.9590256361892598,0.9588652530744667,0.9571569773661717,0.9494757495019304,0.9301899225154562,0.9274594201612596,0.9343658878530846,0.9368513040425389,0.9049464147766704,0.8996749547209271,0.9310792860333248,0.9138353530344452,0.9220723579569943,0.9378709434735146,0.922033558381234,0.9337031130417779,0.9218319178316015,0.9124495493804586,0.9142539463226862,0.9131347292139272,0.8823842317571499,0.9579241865363459,0.9573245264741138,0.9349866821719652,0.8959619957349468,0.8721015787037577,0.9083167620808817,0.9355204876380956,0.8555304380826513,0.8870126165752302
GSM2674190,0.9334405978916823,0.9358422760869418,0.941660745053776,1.0,0.9817692914311554,0.9857222561208945,0.9786650226000178,0.9642199119248528,0.9556274886769317,0.9583391230586163,0.9611229816596848,0.9592338406356737,0.9626255876786272,0.9617917823003578,0.923242592686307,0.9585387438771754,0.957863514496069,0.9340073851589652,0.9688670192997416,0.9589329717269798,0.9037692993323753,0.9170342187989863,0.9123285879396053,0.9038713271157515,0.9161586867536596,0.8832067402193452,0.9186650095313175,0.8949953340165222,0.9311175310491541,0.8963128045180673,0.908432082617406,0.9300820340486352,0.9201470962708147,0.713523922853141,0.760251358391937,0.6071126628438202,0.804385453284476,0.9170627532153717,0.9144774981447701,0.8988662241958386,0.9242727235061877,0.9238645877606333,0.9311268254291609,0.9214398423044398,0.9402987433773834,0.9100250065859534,0.9206527744627365,0.940453834404017,0.9006887241294026,0.9205605477112301,0.9095126352911159,0.9111487949439724,0.9151635535870019,0.8979457722932194,0.9152225578736586,0.8705952644156137,0.8898805270433877,0.9292833706684255,0.8889631970271178,0.9451290608271558,0.9250386301455097,0.9237425534639814,0.9228269744031955,0.934673166483303,0.8978768785979981,0.9156901332992191,0.895618528539744,0.9250821507614766,0.8772014681681047,0.8284598171036935,0.9114142088749763,0.9365895418271373,0.9073135199478309,0.8915871422514143
GSM2674191,0.9381495416078613,0.9506442365193476,0.9461462777988328,0.9817692914311554,1.0,0.9836415661068383,0.9804872257236212,0.9721957734468492,0.9553734294807149,0.9657051768814123,0.9609285346051779,0.961161602485754,0.9651396640333377,0.971119432758395,0.933456768319413,0.9626660848239821,0.9657200888423368,0.9326028670144889,0.9682123824502448,0.9614355419988665,0.9029012237975934,0.9202168828182339,0.9146515124051227,0.9041170970223641,0.9164227777478233,0.8846169875800715,0.92050407140413,0.8922745647809593,0.926786929341708,0.8933128169625064,0.9171947339877308,0.9219481506591981,0.9059927085251648,0.7142150508611143,0.7609273104433385,0.6121134888506269,0.8087267611903497,0.92315906117472,0.9125226635877872,0.9017032841190301,0.9308115162175102,0.9225148503766936,0.9358478419186991,0.9331005025786722,0.9424559972678941,0.9186568768158173,0.9289743634019928,0.9468375349760042,0.8940859365651104,0.9121673244672353,0.9058313756608806,0.9068293453813976,0.9030343290000431,0.8978411861674187,0.9171623024177248,0.8739506595077153,0.8934307848122122,0.9317785934555403,0.8951411928841846,0.9454076457505772,0.9251422900551823,0.9151603755158405,0.9147600412754127,0.9288654937009335,0.8895599009258346,0.9273214910416496,0.8999170921321741,0.9246962191809649,0.8760555302889472,0.8288091121674097,0.9195974472771405,0.9398358991286887,0.9053205300860896,0.8774781436784439
GSM2674192,0.9420338075598144,0.9478329570097788,0.9454250449972366,0.9857222561208945,0.9836415661068383,1.0,0.9807881689126402,0.9726768277060239,0.9645209485108897,0.970055791645309,0.9661508437390889,0.9647053772243159,0.9650728860798028,0.970714673129048,0.9293236503921868,0.9665032751252908,0.9638752793249061,0.9419933526057767,0.969510461575391,0.96317868697091,0.9025558396094432,0.922851804640847,0.9174519256380208,0.9109948777333394,0.9192711484726401,0.8830874056294404,0.9229347494291604,0.8928823478971121,0.9306468118373327,0.8980853067733133,0.9155825077441473,0.9276280962218644,0.9152948163111156,0.7194570204300096,0.7790838177734406,0.6216289099881052,0.8163643399046918,0.9228248388869639,0.9161825606288061,0.8984284193929699,0.927694665876681,0.9252104127354869,0.9310188053707391,0.9289520364569812,0.9427783739259623,0.9177856737715883,0.9259712252249096,0.9436017913625816,0.9022205827881037,0.9170187021572245,0.9114444515347905,0.9088718232545928,0.9169387056920317,0.9029064526500175,0.9195244075227401,0.8759332724901502,0.8934882269571988,0.9334030391052794,0.9027762044894319,0.9507448855701399,0.9375324064828439,0.9281885091441023,0.928033927475783,0.9356466126565377,0.9008013656974124,0.9257843117924537,0.89911503157674,0.9279580242381159,0.879699065506515,0.8348774435156836,0.92176608447596,0.9388239833470382,0.9090984104619475,0.8893627910760405
GSM2674193,0.9251237775360982,0.935292228253669,0.9255439959107697,0.9786650226000178,0.9804872257236212,0.9807881689126402,1.0,0.9590359886134262,0.9478074393374687,0.9553006460193088,0.9539084473782308,0.9475373298178356,0.9502351815170588,0.9542303831401089,0.9206355817987005,0.9665727491109096,0.9597883198368157,0.9397092921181819,0.9561420410336107,0.961742609385984,0.8910246641475329,0.912790378442865,0.8990455959230566,0.8981509698370813,0.9044690292033348,0.8657612366058783,0.9037196423786009,0.875532673923677,0.9204622163785154,0.882759342033033,0.9037067252049341,0.9146185199754858,0.8953327088183033,0.7215290426769159,0.7749137326372038,0.6199433153314353,0.813444476358218,0.9078824131829085,0.8971214447378473,0.8875973409083479,0.9126704629786726,0.9149335622977803,0.9229120537669648,0.9162044422588466,0.9299531096184472,0.8992438090250441,0.921103178358874,0.9409359702106096,0.8913649613617001,0.9109548505836628,0.8981886581070919,0.8907557566515865,0.9054549110377506,0.8907909415612827,0.9121742338035471,0.861056391990393,0.8837370894777357,0.9293464228174211,0.886845141430319,0.9436631162377703,0.9170601551586903,0.9089749590686094,0.9074686918842372,0.9225373693393254,0.8815065788416582,0.9154710185724961,0.8794647843354549,0.92041510434081,0.8594936864772085,0.8192412999747474,0.9212699002036571,0.9281951898053074,0.9153895822779183,0.8735325219101209
GSM2674194,0.9651102700260955,0.9716665756827688,0.9672643246571426,0.9642199119248528,0.9721957734468492,0.9726768277060239,0.9590359886134262,1.0,0.975673697178608,0.9845109213434703,0.97958213509991,0.9797638085284008,0.9821644277287114,0.9838353839946429,0.9635079207254249,0.9572145851945469,0.9743074067469024,0.9389881714961825,0.9775371263110862,0.9603903659999565,0.9145061025228275,0.9401945381036583,0.9373774796088435,0.9257428255025181,0.9267543114152788,0.8915905278964853,0.9356815390762679,0.900468993206103,0.9278683686423378,0.9063200675973303,0.9378704315591315,0.9291276123967943,0.904364219008741,0.7290954905519039,0.7776888351414997,0.6503027407464635,0.8235773037283585,0.9493082328174599,0.9369788302102634,0.9205001696162292,0.950563412897387,0.9466388855608774,0.9485093584547898,0.9562739321133804,0.9547935646912886,0.9463802799396386,0.9537850338750459,0.956083599567036,0.9229170321510819,0.9196127406917654,0.9287298036619154,0.9272771367980074,0.917846108278088,0.9119264207452412,0.9288537807678748,0.8986863768458823,0.9078746489471918,0.9392765391433805,0.9255871877440088,0.9492468796227601,0.9409343434611331,0.9260381831446758,0.9293481165276278,0.9314663492664873,0.8965948801997262,0.9529304033502637,0.9299283928494345,0.9349016901719078,0.8951079354231392,0.854088418078168,0.931078120429887,0.9461510003383455,0.890844278302552,0.8885418806998555
GSM2674195,0.9687892079411695,0.9612542590670218,0.9603663318056757,0.9556274886769317,0.9553734294807149,0.9645209485108897,0.9478074393374687,0.975673697178608,1.0,0.9748302361856898,0.9715865872790723,0.9733437672922408,0.9744785570454298,0.9711290132675998,0.9536565446218233,0.9493174387203651,0.9639146912010227,0.9456913574595578,0.9735146256014687,0.950727414852419,0.907921163253876,0.9431259388049534,0.9404881525452038,0.936174483300426,0.9255045283245052,0.8801042981731422,0.9283236872991669,0.8925134625835831,0.9237801163894009,0.9086709207522389,0.9341898499351412,0.9282367671829449,0.9067540793332534,0.7341972159899921,0.8052772041270065,0.6801690043814882,0.8333010459278698,0.9420184048957301,0.9349044521952456,0.9069668650661544,0.9457214513735509,0.9497913721988631,0.937550393670518,0.9445895909976397,0.9516845599764675,0.9427836934962357,0.9455268598885856,0.9459715200096288,0.9309999115256864,0.9261700740552982,0.9282376131573096,0.9258096730460628,0.9320003451779726,0.9095608370561826,0.9312113351193108,0.9038952391191182,0.9067653310984141,0.9351314484141865,0.9326561307312388,0.9493791257490997,0.9477542270152279,0.9377404750567337,0.9416334772384947,0.9320222809325395,0.9075547820767402,0.9473608083307727,0.924544590443595,0.9358336873336134,0.8993786687307891,0.8692014312867622,0.9296589808847803,0.9363662796455239,0.8865926927830445,0.9025916128354361
GSM2674177,0.9710222424107532,0.9779076276059259,0.9710953229304846,0.9583391230586163,0.9657051768814123,0.970055791645309,0.9553006460193088,0.9845109213434703,0.9748302361856898,1.0,0.9804941528288683,0.9817886444810213,0.9765142533997111,0.9812777248094807,0.9601194727662611,0.9640659905285739,0.977743034951944,0.9486316638706055,0.9753254509532346,0.9688639565523768,0.9114567008113913,0.9427334847627965,0.9372367731989365,0.9297112392611828,0.930447336179292,0.8966359775255831,0.9415349691649533,0.8968791804050503,0.9330724480453864,0.9164371331545599,0.9402425447761278,0.9337295746847201,0.9078099541112626,0.7337648277361212,0.7917870845168197,0.6660829720439998,0.8303043270207375,0.9535739521536496,0.9430235555641421,0.9199479593787635,0.9514228641824953,0.9437975271530229,0.9460954231957877,0.9545304628765048,0.9559936700282151,0.9462291153002401,0.9516399142816896,0.957232153129334,0.9240982847001781,0.922322846877587,0.928133985479447,0.9197927557036116,0.9207724762560625,0.9069813140899211,0.9335625001349063,0.8991572279153511,0.9133816987624488,0.9444531694107613,0.9295139400731399,0.9571029010501751,0.9482827811685468,0.9312687769339574,0.932371901874521,0.9336287076237133,0.9006898086696105,0.9568259543466741,0.9348720581882671,0.9393310332177631,0.892793702902957,0.8589137592959507,0.9368156172181563,0.9443368769192352,0.8961635286257272,0.8926505378008579
GSM2674178,0.9707428278059363,0.9681299177528488,0.9746493303615544,0.9611229816596848,0.9609285346051779,0.9661508437390889,0.9539084473782308,0.97958213509991,0.9715865872790723,0.9804941528288683,1.0,0.9815812633735104,0.982194771278974,0.9789510689818706,0.9702579527241549,0.9503382589897108,0.9798810590593229,0.9385408666715932,0.9799295193989244,0.962568385448949,0.9279679048183588,0.9495860300900982,0.937712924139733,0.9325100929246878,0.9393657525574152,0.9109951889132107,0.9432302523515237,0.9159674052972284,0.9390595038899079,0.9230939415600128,0.9395709498534202,0.9444069907254177,0.9155591101127859,0.722639872228839,0.7671559154542549,0.6423023189393896,0.8144443138465369,0.9460663174777795,0.9443569447517105,0.937332537651859,0.9502625088163635,0.958685710182076,0.9601929201083576,0.9507958928198511,0.9561400209505627,0.9471245187164565,0.9558815989639876,0.9590577985359201,0.9363085933717311,0.934335491122416,0.9426054181944602,0.941598736235506,0.9261795223288958,0.9167455056046142,0.9395402557974222,0.9117113024550223,0.9200417117549592,0.947864772731452,0.9303846117685388,0.952046177657227,0.9379242619539588,0.9271287456883801,0.9280085127191977,0.9296760277452089,0.8987286019592229,0.9563436043820989,0.9385908577246321,0.9449166356956095,0.8982732567547774,0.8691377255147412,0.9292318892020116,0.942865912733697,0.8854484254887544,0.9028390406279528
GSM2674179,0.9765028977462239,0.9733686604445231,0.9810390663719191,0.9592338406356737,0.961161602485754,0.9647053772243159,0.9475373298178356,0.9797638085284008,0.9733437672922408,0.9817886444810213,0.9815812633735104,1.0,0.9851402998487305,0.9779370927999419,0.9703584211005158,0.9488288042560487,0.9755004951505529,0.9397257781730737,0.9832413343741474,0.9621980339815919,0.9276708611421199,0.9464798881536606,0.9399535179652195,0.9289671575438401,0.9353055804094725,0.905123472346102,0.9450417767625876,0.9082246630432576,0.9374140455796108,0.9236142928926997,0.9446766881538172,0.9424516967605836,0.9145412385009764,0.7327575851077581,0.7673127361761739,0.660238673026849,0.8226677152684305,0.9570183325752267,0.9543702598983345,0.9397618242963662,0.9611819788856228,0.9575844274115597,0.9613366865535006,0.959989103202567,0.9668429165015802,0.9559493039749732,0.9606920490540858,0.9615815005910668,0.934980739833118,0.9361876010708757,0.9370369171779809,0.9365715925826459,0.9207200104483889,0.9108526699281473,0.9380285274129359,0.9094568343988616,0.9211203083212098,0.9474693696371889,0.9277625042552975,0.9497693084649912,0.9370086628152988,0.9307972761970519,0.9327973223234158,0.9345536517873066,0.8988213996550292,0.9570549401260089,0.9483072459055218,0.9429432851056052,0.90042510440574,0.865579174225687,0.9297884645565672,0.9478772028843349,0.8869859477451921,0.8981111538879253
GSM2674180,0.9734825177349806,0.9723332119781734,0.9792361730271708,0.9626255876786272,0.9651396640333377,0.9650728860798028,0.9502351815170588,0.9821644277287114,0.9744785570454298,0.9765142533997111,0.982194771278974,0.9851402998487305,1.0,0.981447713499836,0.9721305222747496,0.9463963541603978,0.9751744240651976,0.9337844716507054,0.9864292406559438,0.9591509824979558,0.9263042702316465,0.9460255582356768,0.9417823610046174,0.9297134393208044,0.9337362000561081,0.9051673643621109,0.9420463396786948,0.9113698074110066,0.9327311650390637,0.9156982491489483,0.9415829202255469,0.9379362543746494,0.9106870061435878,0.7197163166733945,0.7572811367638529,0.6427675799538327,0.8109785876471994,0.9502524745312682,0.9467602867059115,0.9329926470267199,0.958738986808367,0.9580360285860319,0.9608865286903722,0.958934347519881,0.9619977991941635,0.9559073429520258,0.9575232581311998,0.9574724928958402,0.9306260627691875,0.9297176345575512,0.933371460652856,0.9396261965540985,0.9175678169540994,0.9123025485073655,0.9327049575674922,0.9092022213485966,0.9172017697841881,0.9420227332811812,0.925316235296399,0.94419616765345,0.9316084932804755,0.9239286787645277,0.927222934402201,0.9297639669379509,0.8958365746681176,0.9553338853143133,0.9433827257365699,0.9395142916895803,0.9008925823732779,0.8647623791596106,0.922604063569202,0.9461654041132442,0.8800288702200029,0.8942216680028006
GSM2674181,0.9665024602388782,0.9721293185371772,0.9717834447323122,0.9617917823003578,0.971119432758395,0.970714673129048,0.9542303831401089,0.9838353839946429,0.9711290132675998,0.9812777248094807,0.9789510689818706,0.9779370927999419,0.981447713499836,1.0,0.9612412025758554,0.950795226682594,0.9769749757371586,0.9287526390019958,0.9780333712096619,0.9559169501660604,0.9182010667225209,0.9437191085380692,0.938909507298267,0.9276396716580753,0.9354231181786808,0.9092150291242278,0.943564740965453,0.910060882731135,0.9307951562638767,0.9125540369971632,0.9360674363337128,0.9328282447742804,0.9122751241841098,0.706679928050739,0.7578859402520416,0.6243525466549953,0.804650469297045,0.9399069294889454,0.9335207176822619,0.9219314033690021,0.9505095970817539,0.9418649145494246,0.9514929129523909,0.9507405362937118,0.9533662832994676,0.9451702354622503,0.9455713309193313,0.9521008123411938,0.9139944371948663,0.915417649562237,0.9260787524189482,0.9301814667612699,0.9084981327090658,0.9116055385684737,0.9292603185861109,0.9049163227363914,0.9117894799036944,0.9373190600743374,0.9253639426699075,0.9485236158499755,0.940211602497094,0.9223220574507266,0.9244429207545283,0.9251605593673184,0.8962481671407897,0.9538399606622866,0.93137455130151,0.9348479022911956,0.8962276826519452,0.8598446360405427,0.920574318452382,0.9426416319853009,0.8794104328360036,0.8867252259213074
GSM2674182,0.9721298634919102,0.9709765483688293,0.9748388114701422,0.923242592686307,0.933456768319413,0.9293236503921868,0.9206355817987005,0.9635079207254249,0.9536565446218233,0.9601194727662611,0.9702579527241549,0.9703584211005158,0.9721305222747496,0.9612412025758554,1.0,0.9166154640781043,0.9649342652829154,0.9230515994867955,0.9674344837695518,0.937617454994496,0.9115189813033829,0.9445777857262446,0.932361034983344,0.9223538328658204,0.9214017297050888,0.9000389793547711,0.9360610103222131,0.8974634790133855,0.9153101536795548,0.908586717045231,0.9362622766740464,0.9275853894934503,0.8814134304011216,0.7074069967308148,0.740601031908737,0.6580902453377858,0.7921347966570588,0.9451656938720203,0.9418740791751579,0.9372289136393945,0.9455398364623289,0.956878562395796,0.9578781186385323,0.9527280893111493,0.9452162474366758,0.9505735885637867,0.9614446883352479,0.9448193165924517,0.9314899029226517,0.9219005372346853,0.9357051408515418,0.9339591966216955,0.8973140750716349,0.8950845633259615,0.9229036928819884,0.9096753940169209,0.9122980903714145,0.932058826117369,0.9244056911747385,0.9215276457773661,0.9071066782627834,0.8920046344435568,0.8956139638966938,0.8963764155815911,0.8635623371395623,0.9539495520956016,0.9474135572412036,0.9265051997053464,0.8840061983767453,0.864433184572095,0.9073204656209543,0.9209150278043013,0.8446596125752044,0.8746937428985282
