,Ca_2,Ca_1,TSA_2,FAP_2
Ca_2,1.0,0.8836407349282489,0.8070881568102147,0.8262914829830272
Ca_1,0.8836407349282489,1.0,0.875239152758638,0.8869894052735416
TSA_2,0.8070881568102147,0.875239152758638,1.0,0.9615444398710382
FAP_2,0.8262914829830272,0.8869894052735416,0.9615444398710382,1.0
