,GSM3304957,GSM3304958,GSM3304959,GSM3304960,GSM3304961,GSM3304962,GSM3304963,GSM3304964,GSM3304965,GSM3304966,GSM3304967,GSM3304968,GSM3304969,GSM3304970,GSM3304971,GSM3304972,GSM3304973,GSM3304974,GSM3304975,GSM3304976,GSM3304977,GSM3304978,GSM3304979,GSM3304980,GSM3304981,GSM3304982,GSM3304983,GSM3304984,GSM3304985,GSM3304986,GSM3304987,GSM3304988,GSM3304989,GSM3304990,GSM3304991,GSM3304992,GSM3304993,GSM3304994,GSM3304995,GSM3304996,GSM3304997,GSM3304998,GSM3304999,GSM3305000,GSM3305001,GSM3305002,GSM3305003,GSM3305004,GSM3305005,GSM3305006,GSM3305007,GSM3305008,GSM3305009,GSM3305010,GSM3305011,GSM3305012,GSM3305013,GSM3305014,GSM3305015,GSM3305016,GSM3305017,GSM3305018,GSM3305019,GSM3305020,GSM3305021,GSM3305022,GSM3305023,GSM3305024,GSM3305025,GSM3305026,GSM3305027,GSM3305028,GSM3305029,GSM3305030,GSM3305031,GSM3305032,GSM3305033,GSM3305034,GSM3305035,GSM3305036,GSM3305037,GSM3305038,GSM3305039,GSM3305040,GSM3305041,GSM3305042,GSM3305043,GSM3305044,GSM3305045,GSM3305046,GSM3305047,GSM3305048,GSM3305049,GSM3305050,GSM3305051,GSM3305052,GSM3305053,GSM3305054,GSM3305055,GSM3305056,GSM3305057,GSM3305058,GSM3305059,GSM3305060,GSM3305061,GSM3305062,GSM3305063,GSM3305064,GSM3305065,GSM3305066,GSM3305067,GSM3305068,GSM3305069,GSM3305070,GSM3305071,GSM3305072,GSM3305073,GSM3305074,GSM3305075,GSM3305076,GSM3305077,GSM3305078,GSM3305079,GSM3305080,GSM3305081,GSM3305082,GSM3305083,GSM3305084,GSM3305085,GSM3305086,GSM3305087,GSM3305088,GSM3305089,GSM3305090,GSM3305091
GSM3304957,1.0,0.8730436317890462,0.9189933975783039,0.8826124970847596,0.9233017983134514,0.9374010118912354,0.9115644683450864,0.9157664297957238,0.9060257319360897,0.9115785843240751,0.8997380694440477,0.9100719416190053,0.899185574470508,0.8811575281530154,0.8873950251665197,0.9386588690656968,0.91450175489249,0.9314250319995407,0.8750537531968462,0.9328746572820613,0.8809316907066526,0.886862894088698,0.9227252657932791,0.9260745507293687,0.9211041060556452,0.9028391258040835,0.9410449422958026,0.9102909687908395,0.9103420012959631,0.9070949858201035,0.9163423833850219,0.9056455616201482,0.9224798414765171,0.9157150508611143,0.9005925771077713,0.9194759093077942,0.9462124735733705,0.9333691096074729,0.9289773130995453,0.8866603573987543,0.9173975437722134,0.9196501809014976,0.9359000777317124,0.8950553216393056,0.9190267243097061,0.9346088049206374,0.9276275439524676,0.9271881088718875,0.8998903461878902,0.9317182528612616,0.9038254629491536,0.9318490885747605,0.9116119224417755,0.9241859384424723,0.9279333719008975,0.9211258279330459,0.918987887850119,0.9251329984902132,0.8842462381617282,0.9133157065877776,0.9252409523271518,0.917942205986676,0.8992690083849496,0.9154624321022136,0.8947329753789832,0.8566780269752989,0.9110862163911474,0.9199676538085155,0.8922598387307712,0.9056932343851449,0.857443277575103,0.9297436151941428,0.9269558601130305,0.9378990167640731,0.9041750217164927,0.9206032432846514,0.9160907553299152,0.9322076443972612,0.9080880566916352,0.9466287459700969,0.9354394969158629,0.9322234017369314,0.9482226806219445,0.9222861668756165,0.9244702448528748,0.9435025058499273,0.9064725607012226,0.9315057600531518,0.8200286735338094,0.8841479105288336,0.9265116736125549,0.9123996623762638,0.9385076011004514,0.947128196793552,0.9034565667840003,0.9105986519850012,0.8930955424527592,0.946080942217418,0.9249789464477793,0.9112745785098284,0.8982292033385179,0.9111662160861146,0.9361105686996799,0.9183117526039204,0.9386951354256792,0.9364489653263118,0.8967082239592487,0.9285735729177341,0.9276070091079874,0.8878237144125004,0.8783061615922901,0.8565592272953629,0.894795401453407,0.9410420667674555,0.9248746843289192,0.9299948617006482,0.9004929481978524,0.9280542283713398,0.9234304745761215,0.9362227436270059,0.9324102129029586,0.9072012419185196,0.918148854405516,0.9362936200371217,0.9153518726885383,0.8746773241779291,0.934493875014201,0.9386868108137137,0.8380131655421781,0.9226892841640162,0.9229368538121632,0.9319861983253686,0.8702155724516409,0.8833282566642426,0.913498461480767
GSM3304958,0.8730436317890462,1.0,0.8690263240242277,0.8374907197535387,0.8537434303107992,0.8701171505343057,0.8393788776674891,0.8534153399943447,0.8956118125530108,0.9177372195663293,0.8513884325285834,0.8898248177976859,0.8942965693009637,0.7500847657179976,0.8931682104231999,0.8608580178782627,0.8679590835176952,0.8829778194704547,0.8453862614251071,0.8627421779822773,0.8829423980302371,0.90660098058787,0.8725887706842766,0.8278081517992205,0.873077469346979,0.8492959687594485,0.9020778431124368,0.8986969325806922,0.8482119075768326,0.8921697689298704,0.8324923974866573,0.898185880945032,0.8246863003557751,0.8281455975141909,0.8842346094473347,0.8591949839939712,0.8672216282398094,0.8442504511420319,0.8298656198630614,0.7946963044796396,0.874228372109851,0.8749655103669995,0.8457982882469226,0.8073719989973162,0.8976030625554903,0.8732603423724535,0.8641073783776119,0.8975037034361654,0.8338035694374814,0.86049674175575,0.8586178773658855,0.8611838733664221,0.8446874356940652,0.870499694703376,0.8981306631457187,0.8917336752909385,0.8842870486379959,0.8665275716883793,0.858911433248388,0.8520491584908512,0.8559568988999118,0.8467548903044338,0.8859011673358435,0.8669045436870088,0.8986361883089056,0.8994346384000081,0.8692718599363908,0.88720954085555,0.9069426687419759,0.8294631075284286,0.8758801036621233,0.8235048500228479,0.8981438179254949,0.8969597138995836,0.8437430970596126,0.8690458086770607,0.8609852143976275,0.8497744420678595,0.8738445203729385,0.841222584852414,0.8930013818541395,0.8412086451129897,0.8936688055134072,0.8669662640957686,0.8502844709880588,0.8641910409408523,0.8796558203309904,0.887752881482635,0.8490651940800297,0.7869478391543834,0.8481309245589727,0.9075221932752615,0.8576292198365806,0.867244104247678,0.883252743430515,0.8119034133077985,0.8889400205125141,0.8734612971066551,0.8456357507589233,0.8542098732327053,0.9075673157214885,0.8580527000431453,0.8719646467711564,0.8781558022096805,0.8719889255101005,0.8841925833809794,0.8303018777558844,0.8430343530089479,0.8687221134839587,0.8807755059201152,0.8619420259255988,0.885924102911445,0.8991260396748276,0.878541862787197,0.8689304743051813,0.9140250826750659,0.9139722007577004,0.8865455797356039,0.8623800468960896,0.8807289438856444,0.8595211389955982,0.8295509589400005,0.9056735116304829,0.8844620592215854,0.8651834001410176,0.8920904959537578,0.8726504070157083,0.873954818676323,0.8270438981234332,0.8797699260843636,0.8934109640564889,0.8821453405815949,0.8640180143993814,0.7574909893756084,0.9126852386085667
GSM3304959,0.9189933975783039,0.8690263240242277,1.0,0.9514323497113925,0.9143326782830722,0.9263999605217639,0.9054756578207953,0.8872448314694438,0.9134675337470355,0.9166032927171144,0.8986463579095355,0.8887790842892984,0.8786308505017865,0.8615480046159066,0.865908715429702,0.9155762458708903,0.95207701059562,0.9114625275896026,0.9461321424846647,0.9186738331726327,0.8652843704314725,0.8633507101536234,0.93828932584183,0.8828584958219379,0.9046088402030837,0.8824826344617344,0.9126035137549302,0.9466975029374829,0.9561711604250948,0.8917660461448548,0.9157103375461503,0.8800014116398659,0.8899553742729803,0.8902198443114075,0.8875377520178762,0.9190487880261069,0.9154605051866842,0.9028102102965105,0.9044006626881538,0.8687577137136122,0.9037563618059357,0.8972758247697827,0.9250349871066674,0.8965505656434517,0.8988256868712232,0.9072426226360965,0.9163176708745592,0.9030161499194234,0.8962964514902277,0.9246101242795466,0.8865319298413041,0.9020975117562283,0.8969876914694841,0.9304744475917758,0.9092551161469937,0.8952081191805719,0.929567896660493,0.8839215556047942,0.865585235906068,0.890911723745591,0.9093269242836821,0.8985916408036633,0.8728142495141515,0.8960802841057177,0.8755503599221685,0.8396619424129477,0.9209380942124418,0.8924347320380858,0.8906324855361435,0.9043189132983065,0.8802371361695487,0.8937153253969677,0.9036426203291363,0.9189062950907897,0.9211400743057221,0.9054925218179473,0.8953685599252699,0.9070337603011897,0.9020381683490035,0.9160673478809169,0.90187173608372,0.9063256676057188,0.9171664873727404,0.8983017528402012,0.9355122769394143,0.9134134449306149,0.9059131744243428,0.9089847477090149,0.8048247687064191,0.9045589046239956,0.8968132317611522,0.9050494765338166,0.915407980177534,0.9177986010009114,0.945823783192193,0.903031965037775,0.8632016761527372,0.922371017744947,0.8940983646751204,0.8820173423967941,0.8842626609867498,0.898903881376763,0.908294057416853,0.9243553739706015,0.9278982868579017,0.9235042087737748,0.888001819901524,0.9081295139437752,0.9286019003439505,0.8700756084632213,0.8546047441023027,0.8788524784245906,0.8778191137738696,0.9118501953616729,0.8862245320506288,0.9252971571552516,0.8815251885802134,0.9064551584962532,0.9006972805051624,0.9297995340601792,0.9370728611072856,0.9020872770019821,0.898972549129819,0.9026750581409689,0.884359578884963,0.8546082771592067,0.9273622062811505,0.9159322838342512,0.8352828247360655,0.8943357789263556,0.9383369420937118,0.9148540441857975,0.9386912987994287,0.8586172446807351,0.9087739247055622
GSM3304960,0.8826124970847596,0.8374907197535387,0.9514323497113925,1.0,0.852276173404524,0.8787301568319187,0.8503395811542563,0.855318048222088,0.8552779616785522,0.8680905059384283,0.8456884230795833,0.8321859901002508,0.8306481338618976,0.8344892336790112,0.807720391489521,0.8705389654110626,0.9521167602948973,0.8608071086780733,0.9463477396198045,0.8657571021355713,0.808394372651003,0.8014391119474629,0.8927744523530089,0.8280389894125688,0.8460821357413604,0.8248316284626331,0.86941994032883,0.9193383316391918,0.9387684085457725,0.8266047286069826,0.8616452741821603,0.8184153797876362,0.8476013170114374,0.8407797741880108,0.830191836979001,0.8605361731178954,0.8687274353370776,0.8545618333560174,0.8607008879820959,0.8097480932389203,0.8451915648633088,0.8461066875570984,0.8904404569898647,0.8552485373710654,0.8381569715300997,0.8502547658538758,0.8510356167916676,0.8495531464751872,0.8282858588024623,0.8803782043073212,0.8108418289373813,0.8556889840085544,0.8412996511161971,0.9089654907372499,0.8525690011425641,0.8414098678825203,0.8753643431859375,0.8460362894858371,0.8043387787694959,0.843889399534891,0.8614962644126225,0.8437151771284274,0.8011769395817988,0.8366670012291899,0.8074993297975044,0.7704602626633638,0.8757334524235968,0.8256148627796759,0.8510041919000663,0.8484731905465777,0.8201214790071826,0.8422406255915436,0.8473947336920837,0.867513506330366,0.8637897295505574,0.8593852741742197,0.8443157444469196,0.8581293033267537,0.8339026068014684,0.878101917662518,0.8531883755817969,0.8491537929782674,0.872078223943189,0.8380605232064412,0.8841760258774581,0.8689020042316467,0.8481337159466255,0.8623612076176248,0.7301311992969529,0.8443243231859539,0.8364551378011676,0.8548721702453419,0.8779973744175333,0.879044329894894,0.9309084141809616,0.8496608833895358,0.7999739373259959,0.871745116387807,0.829795651356413,0.8235015972466364,0.8263861955380694,0.825684657300692,0.853315452460917,0.9045725251076331,0.87560288045616,0.8830685320571554,0.8384368931635119,0.8672480281731054,0.8824266206028756,0.7936414626396969,0.8012518926383736,0.8454879243484265,0.8197916253088723,0.8632510080111845,0.8282969422689453,0.876722585594187,0.8249451409104976,0.8518510792556062,0.8521609716216365,0.8710178023957869,0.8866409112482256,0.8541764775783509,0.8461834154286644,0.8527503564600116,0.8225328364417421,0.7795208070082127,0.8775236728327711,0.8704306529411631,0.7862644565077416,0.8427900159041943,0.8894793970660091,0.8963189954513798,0.9213309340375586,0.8194300566730923,0.8532312974949549
GSM3304961,0.9233017983134514,0.8537434303107992,0.9143326782830722,0.852276173404524,1.0,0.9554162977978372,0.9317931674668417,0.9242611257942096,0.9262661354022399,0.906885903562219,0.9081660514968624,0.9109858631008546,0.9026561680440179,0.8845692273367013,0.890608204401254,0.9322214596599138,0.8820857635206081,0.9371475070831565,0.8737005994384976,0.9480839868082674,0.8991207115226418,0.8897389734789586,0.8998712222021344,0.9348103806061177,0.9326442877195398,0.9237438154742229,0.9274311429868143,0.904508714769772,0.9021982087574235,0.9231394016034866,0.95178517655625,0.9177350972257031,0.932461543106147,0.9447200101193782,0.932487788507464,0.95714938540405,0.9494456361912184,0.9374043530282159,0.9420722495014836,0.9295418104239614,0.9310264317072671,0.9210096799211137,0.936341368075492,0.9277388003284213,0.9288570105933263,0.9452969164444663,0.9436187173341849,0.9299516926429228,0.9520850568021131,0.9247459423796752,0.9336532597412918,0.9355136735548478,0.9325393503746394,0.9271274029473117,0.9216357941919953,0.9270980258179429,0.9457491061176146,0.9128391421015637,0.8878078466192066,0.9303256769775238,0.9443451562703329,0.9459463793447015,0.9142697973207885,0.932349764852166,0.9027708108491982,0.8715135903509726,0.9140381073264057,0.9372790260269416,0.8607257681476927,0.9382284327498733,0.886787388338159,0.9268723955049162,0.9322239867341243,0.942799926274802,0.9401218754137306,0.9314961735004601,0.9342433277890256,0.9408234661092906,0.9390856676651705,0.9402962196979879,0.9252467367997741,0.9407749004959184,0.9386841895467309,0.9271173675715506,0.9263267958164513,0.9372314933135519,0.9246555876368681,0.9228144834761064,0.8430403801909153,0.8866589655181852,0.9343129236081031,0.9178084693489129,0.9411741092361002,0.9375196084984796,0.8894502760340353,0.9277825777548818,0.9095013931752916,0.9477555333669055,0.9450417781669634,0.9202656860898663,0.9069265382156015,0.9439380896216869,0.9493186650515169,0.8860774903953939,0.9309432194995862,0.9353671976840907,0.9262521057851558,0.9337724747470516,0.9375059778320339,0.9153417407447106,0.9124315034240491,0.860304569885822,0.8903978175172533,0.9463258600146034,0.9385073373565417,0.92650459912525,0.8979832289588301,0.930967961414391,0.9394154947507716,0.9537992146391107,0.9401049636136469,0.9385827570859443,0.9220436004290792,0.9362800975188676,0.9267903209530834,0.8845631061087026,0.922777370345537,0.943592515877068,0.805880830356296,0.9070634951323596,0.9328945780256549,0.8900366082599052,0.8686896798956814,0.9053344279845715,0.9241979513959339
GSM3304962,0.9374010118912354,0.8701171505343057,0.9263999605217639,0.8787301568319187,0.9554162977978372,1.0,0.9325208002448134,0.9308877449761476,0.9349417415407597,0.9256254573553874,0.9016678272076436,0.9103862127616132,0.9086185915226369,0.8757236595189617,0.895540831982103,0.9355783941615691,0.9059408972758057,0.9499866275197986,0.8974038847473625,0.9511518403634516,0.9008381375443292,0.8933846887123963,0.9101271398518334,0.9355897455229822,0.9322597040432947,0.9233631433930282,0.9350309343563897,0.9173758797537032,0.9119417447555822,0.9249524382508426,0.9427183914303525,0.9172544146448629,0.9297297344575399,0.936882961979593,0.929925190359394,0.948907611283316,0.9509439320533948,0.9311394313116949,0.9348844325448912,0.9103474762288605,0.9348741194944432,0.9233706311229438,0.9452371563354434,0.9310974989608988,0.9398465355464631,0.939066884815992,0.9409674577911209,0.9284035818828198,0.941457009900051,0.9284612303457505,0.9307303130149213,0.9282085643077532,0.9413774062911836,0.9484880709292818,0.9277750001925978,0.9364613805746298,0.9489164748093984,0.9279564106616573,0.8886592694963331,0.9367376757316084,0.9391929380753824,0.9386178597469184,0.908863217553596,0.9319227368986791,0.9043926324820712,0.8776194666324914,0.9263799371061707,0.9337822732794131,0.8809427423205923,0.92755624098714,0.8873724980578778,0.9293268333776904,0.9314257129842294,0.9419097630115618,0.9416687987486155,0.9350198972627096,0.9413535796180499,0.945085751918185,0.933515548924003,0.9450742390054114,0.9313693278299269,0.9439854879042161,0.9518241079206673,0.9307041387739748,0.9284239970474853,0.9430334708834266,0.928755536500476,0.9299168753780813,0.8386176728770712,0.8806748226195722,0.932142048408447,0.9326180322461424,0.9714657109755545,0.9406637558183524,0.9031177285028171,0.9300169879715677,0.9158777987208706,0.9495747005650882,0.9422500243520067,0.914684621478011,0.9114673988641611,0.9331310157312759,0.9463143283120751,0.9085228686186982,0.9314440442138122,0.9364996205304116,0.9294118411403604,0.9481018393105937,0.9396661903543778,0.9100016963096311,0.9081760269931476,0.882347525218793,0.8987906739792758,0.9532034727804712,0.9376585153494336,0.9476591282366567,0.9135054892639828,0.9362012665346483,0.947926536333026,0.9499020734938577,0.9372293640135293,0.9456718183936202,0.9251774284095278,0.9486429415205428,0.926679646751937,0.8967459907807482,0.9230547715579676,0.9474179253333801,0.8235551083529837,0.9250909089754954,0.9388743014647275,0.9213295516843327,0.8860324829959588,0.8914644989312291,0.946094337394025
GSM3304963,0.9115644683450864,0.8393788776674891,0.9054756578207953,0.8503395811542563,0.9317931674668417,0.9325208002448134,1.0,0.9050330033693335,0.9169362808973514,0.9014076849101967,0.9010872126392562,0.9002871953992136,0.8906964598113672,0.8767162320134037,0.8832802088565319,0.9366662088859585,0.8992474397338442,0.9459822351191213,0.8697861409537313,0.9313523590058643,0.8968338670732794,0.8753746399457495,0.9034254877679093,0.9304236949555548,0.9245901393867417,0.9106409621074864,0.9127454429758942,0.894656503257874,0.8969512861126963,0.9086637969990498,0.9319699557718348,0.8986245485043219,0.9111323760183527,0.9233313686308299,0.905011975271961,0.9464374513873259,0.9339222815539603,0.9383664038092594,0.9260884709615408,0.8960175306304594,0.941804836453618,0.9234233709125608,0.9336316597374108,0.9036308868694267,0.9125673717513583,0.9327283722345208,0.9420392249351677,0.922531898216501,0.9199059566665178,0.9296790841183864,0.9198504960530561,0.9286517957840777,0.9403792741301027,0.9267146740617949,0.9136491001968281,0.9259708311508273,0.9361688173730615,0.9133288419016529,0.8934372763175663,0.9105317285750122,0.933448517902803,0.9226002814810402,0.896610291439285,0.9242426732355836,0.8879638384479173,0.8589268523217208,0.8990194451446415,0.9248726445656462,0.8628833512480708,0.927236970720232,0.8767922270824935,0.9275070205508517,0.9191377713059973,0.9185960248134769,0.9252995034712063,0.9242546877840642,0.9175451155685586,0.9235214368069778,0.9456896587532195,0.9272294078905948,0.9212003417051526,0.9495263184901789,0.934208759104259,0.9230423953556244,0.9233577989525542,0.9388502971252969,0.916373086756316,0.9176794622016854,0.8300002785874998,0.8914975248277248,0.9308919506271645,0.9151465070206467,0.9251368297509469,0.9334364359654012,0.8905924063465912,0.9260577072957136,0.8842885989113766,0.9397357566574551,0.9411832728851264,0.9189632981730801,0.8965746878702883,0.9333403038029906,0.9414750139689951,0.906085286427762,0.9253473697814204,0.9351390796975748,0.9162167099303898,0.9203466108586936,0.916696668822787,0.8992282050222723,0.8864472645948446,0.853641153642862,0.8723155127957429,0.9314460733969215,0.9226348727836834,0.9227267082082359,0.8874478370319447,0.9320120775514035,0.92559841909283,0.9241740733067357,0.92959643933833,0.9274038276470099,0.9178085142785634,0.9241964923613445,0.9273799837527008,0.8818432103756367,0.927497902233643,0.9329185491696345,0.8355683585686737,0.9102941595352073,0.916461174704354,0.8944443552014767,0.8644221709062124,0.8888236284993717,0.9079243784883069
GSM3304964,0.9157664297957238,0.8534153399943447,0.8872448314694438,0.855318048222088,0.9242611257942096,0.9308877449761476,0.9050330033693335,1.0,0.8971724578479002,0.8868443152854448,0.870108338460422,0.8971216736718262,0.9046515992070647,0.8757185389563735,0.8721778713326936,0.912848938682662,0.8818395636486298,0.9201826885147075,0.8689051001329772,0.9319549985912279,0.8934214262423185,0.8713473853892164,0.8757370605275909,0.914132030471992,0.9018107730257745,0.9071632967098238,0.9193989112394307,0.8817827162459074,0.8751694442425222,0.8922233197586699,0.9143546775692768,0.8923679976306634,0.924046716601899,0.9177997158157183,0.9072096390725306,0.92730273029863,0.9303590314781112,0.9230228444714916,0.9214319394187377,0.8908630792356098,0.9203320538441883,0.9060428727129248,0.9183690381840808,0.9041858205697899,0.9008817149317002,0.9196441376844059,0.9096390817520025,0.9150250920365538,0.9063492909553932,0.9018274677133128,0.8896136135063635,0.9255477544699088,0.8998871015919789,0.920493972761614,0.8993114001081078,0.9076998332008798,0.9189159024112883,0.9211816521556191,0.8745919037465917,0.9277374411177812,0.9327514143153978,0.9181370727977156,0.8862605291424466,0.9015349920439004,0.8735510364640763,0.8390340423038682,0.8908921307551461,0.9061992583777754,0.8553841220876601,0.9016135245315746,0.8496699334571521,0.9071432720534783,0.9092936435175318,0.9310317102468085,0.9091838285125889,0.9175195113153565,0.9257955552158729,0.925715031487813,0.9007362109262868,0.921793142562562,0.9209091137120382,0.9129852184308102,0.9210024938623363,0.8996101191563352,0.8942050570016148,0.9209777883808484,0.8899954834908964,0.9115595625237229,0.8018620574177239,0.8402283205429238,0.9103140745663193,0.8972780527873895,0.9354561876254496,0.9288096580944666,0.8714474357834381,0.8981719629383734,0.8876308155382758,0.9257353073119741,0.908756901552576,0.8983531317894922,0.8859599166157743,0.9098828636845194,0.9310427365073272,0.8833446051432254,0.9102821676396444,0.9204583886481638,0.9155417516929184,0.928210304999242,0.9196477810929983,0.8791381599042387,0.9037789219220569,0.8486567449851614,0.8683334112436647,0.9272170425281591,0.9130175489420914,0.9112580209464372,0.8754960394147715,0.9100559126073399,0.92923268356314,0.9162449845865783,0.9072317148841846,0.919582647516168,0.9125816731843954,0.9186159293500907,0.9092923410225248,0.8522193836842175,0.906046520588566,0.9290252310727372,0.7927791391545754,0.9128220103992903,0.9205097409742555,0.901156157258949,0.8310828262203497,0.8804794812478172,0.9049888085762687
GSM3304965,0.9060257319360897,0.8956118125530108,0.9134675337470355,0.8552779616785522,0.9262661354022399,0.9349417415407597,0.9169362808973514,0.8971724578479002,1.0,0.948013795197684,0.9060772678628063,0.9217739272007107,0.9247632191145887,0.8220724796687287,0.9147976343191017,0.9236225768813054,0.8945533344643901,0.9385744207720943,0.8811192171708996,0.9239837225552133,0.913676188971723,0.9254354859007461,0.9167915683103065,0.9043673391103688,0.9403679151934937,0.9108093223950322,0.9314350433591679,0.9223165642031983,0.9020327908020718,0.9482855866182606,0.9191908869954016,0.9368396046500058,0.8831611600432495,0.9088784997165777,0.9251121335041571,0.9327765227341812,0.9207718080755823,0.9129334794113536,0.9074504149884765,0.8841054898251495,0.9329710438110456,0.9246561094280477,0.9160539174982579,0.8846503099861224,0.9394498060841225,0.9356823660944806,0.9461491148971304,0.9365793841029366,0.9227044134085091,0.9268758751007627,0.9428963605867782,0.9204412128856876,0.9232947005513343,0.9179120655842715,0.9447155972687239,0.9387716156700178,0.9546590322107621,0.9050005698009216,0.9053515190329756,0.8983768761265067,0.9254625043701966,0.9138903546400173,0.9254385295017188,0.9347602538042888,0.9379464622925505,0.9181865952863488,0.9186692008653312,0.9492710598004085,0.9042399861128404,0.905631797669547,0.9093477325706268,0.9050864063689666,0.9399925774205796,0.9344184289526986,0.9190524403797685,0.9321530160744438,0.911259667630214,0.9101008606874301,0.9428579641344229,0.9039977777644304,0.9357065571990683,0.9225749995831909,0.9429352056701522,0.9265949518706401,0.9161536720315309,0.9219719401297519,0.9319984611494303,0.9371036864329049,0.8805321027051646,0.8736506884065807,0.9190986186362299,0.9541476609396201,0.912953010343365,0.9186503854585194,0.9113609391875324,0.9030106289728538,0.9170080280887395,0.9392750999314673,0.9280276974111163,0.9160096900106234,0.9407983872999612,0.9331812538601749,0.9345739300852545,0.9063741499774932,0.9293303484892486,0.9344294042480168,0.9044262310446815,0.9068342553853616,0.92256037971171,0.9396395967494062,0.899682110333948,0.9020202794301277,0.9120628934276059,0.9298542270691582,0.9217893888803671,0.9469701565728152,0.9372337827983019,0.9359601551866733,0.9225391757397573,0.9376300614732553,0.9261023816235433,0.9032016738561067,0.9368896143904667,0.9302028760980752,0.9197301156918034,0.9331912266306529,0.9211624994674297,0.9260988465975186,0.8678964653510118,0.9212995625525983,0.93163034395068,0.8949839846283344,0.9005443056156316,0.842901272197232,0.9445131733053165
GSM3304966,0.9115785843240751,0.9177372195663293,0.9166032927171144,0.8680905059384283,0.906885903562219,0.9256254573553874,0.9014076849101967,0.8868443152854448,0.948013795197684,1.0,0.8966950475404706,0.9264193913521792,0.9252086408919636,0.8007388798313732,0.9141044987313687,0.9144097729986068,0.9109046293193576,0.938631882314037,0.8834316521300951,0.9123958670595839,0.9012433412845826,0.9256297891167278,0.9193328997850957,0.8833956917523078,0.9259705374719718,0.898863930235354,0.9347926715800682,0.9253858873864684,0.895893652678229,0.9371568837491816,0.8957756787963481,0.9272138381975477,0.8679694970429127,0.8792656141625749,0.9087350506453888,0.9184640020456188,0.9216568000778146,0.8982623127643565,0.8860186329241604,0.8561079073450076,0.9191507835975612,0.9208976405215865,0.9155443140293662,0.8668029413344703,0.9380598791708554,0.9226558884056809,0.9286841528098484,0.9349548755616567,0.9003004928805877,0.9242340045707285,0.9214604797301164,0.9122988052033134,0.9124153857122697,0.9228873258087943,0.9409397485537137,0.9256854998330224,0.9328356847876126,0.9065975605491802,0.898991466403295,0.8899830587887818,0.9010343624110148,0.8962677717639281,0.9132795313461464,0.9280235970819616,0.9394551127139225,0.9198205085685419,0.912212149327484,0.9317027860864658,0.9230194849514457,0.8766839619986972,0.9053065522672831,0.8868564706697418,0.9341264863609868,0.9316281709614558,0.9061613412569423,0.9135730290306117,0.9199683194500686,0.9097370171715639,0.9203835317443975,0.9020886597490662,0.9297951613415152,0.9066414285589797,0.9453688109289489,0.9091233744127294,0.8960977751717134,0.9184450065775219,0.9143317342426511,0.9247724867789265,0.8607268238397655,0.8480641424140148,0.9000568516448681,0.9484569822296836,0.9026951441078885,0.9138140902396292,0.9224814286714801,0.877234035331948,0.9103045169829836,0.9292340455848556,0.9093290150513056,0.9014763915888754,0.937126909261673,0.9139333920544168,0.9185739215814395,0.9316336694096788,0.930936011839295,0.9301493150198887,0.8882964827016172,0.8970237670369529,0.9126606885287295,0.9181935768910627,0.8814727986329165,0.8962169114508154,0.914602308418525,0.9342622363255115,0.9120072949821989,0.9498809217023525,0.9397293862017656,0.9307330063627663,0.9129409703217216,0.9284488986433328,0.9220626803470682,0.8851062168681563,0.9312923712363094,0.9278419653359062,0.909428840782435,0.9266594592309968,0.9265059284066767,0.9233860217253576,0.8560493842908015,0.9201717741398905,0.9235985026214548,0.9215699585664557,0.9117932319167209,0.8166587618518866,0.9474715183492993
