,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
GSM2674167,1.0,0.9676406675544889,0.9622137327417776,0.9388522164349278,0.9393355954110253,0.9041415771501754,0.9730742450366003,0.9720549168020131,0.9398914745385172,0.9531777293502082,0.9131265774794035,0.9309290025744243,0.9265829214163931,0.9300141532323124,0.9339823499840967,0.9456392979645024,0.9133642309441647,0.892764545837895,0.9478542695027028,0.9481634528130147,0.9335930936454869,0.9352092640683537,0.9204314741105876,0.8749195550571116,0.9458843739015005,0.932846303962333,0.8682112980739676,0.9501186285465272,0.9184556800391177
GSM2674173,0.9676406675544889,1.0,0.9569045068553329,0.9321174965184563,0.9288804998810513,0.9190223237267291,0.9621487533538008,0.9522068834544979,0.936410940399719,0.9455530893379803,0.9079184143133556,0.9197034127376884,0.9280714546202693,0.9296183942151067,0.9304195519302693,0.9455032568799256,0.9131368319976906,0.9028945126781316,0.9474584624966957,0.9421289322949745,0.9331125959797458,0.9353743334137421,0.921654931455084,0.8833485633131649,0.938904950650069,0.933218137108286,0.8791281099127805,0.9479114539489247,0.9092896817598977
GSM2674157,0.9622137327417776,0.9569045068553329,1.0,0.9361901554375889,0.9349333561299197,0.9120380672172731,0.9656814557976888,0.948324844601688,0.9567869692498047,0.9559741134374544,0.8976755401381209,0.904681190172258,0.911380919405712,0.9089489372237759,0.9179510169335906,0.936885780814704,0.8954091914557348,0.876085011135299,0.934714476772113,0.9380326746136189,0.9109085837013591,0.9294334756501733,0.903622917598061,0.8531341113022244,0.9238090991334929,0.9140522321757051,0.8523515547940811,0.9428586763514875,0.8829513507228427
GSM2674158,0.9388522164349278,0.9321174965184563,0.9361901554375889,1.0,0.9294156779725904,0.9138559939244151,0.9443113300221231,0.9416332881907397,0.9450419235207272,0.9332859309944578,0.8911644662737943,0.91955628792964,0.8909407121571195,0.8902575282922481,0.9159776885290509,0.9361070855138951,0.8698109967645743,0.8922635600129998,0.9160903570575056,0.9281781404012647,0.9170748476144471,0.916334801128149,0.8745647564834236,0.845726868897624,0.9250803733566942,0.9118625204218448,0.8564816861419384,0.9365854752780268,0.885176021123013
GSM2674159,0.9393355954110253,0.9288804998810513,0.9349333561299197,0.9294156779725904,1.0,0.8948367222777187,0.9499615678479422,0.9542662533557659,0.9334866438770717,0.9283322192289076,0.8155024380762351,0.9090453960616854,0.8726061239991073,0.8780647818555793,0.9087684123867126,0.9365314402135357,0.8411968613573446,0.856615540359557,0.8992148325233839,0.9200195235470319,0.9288018068110154,0.9022765618279325,0.8434782495898094,0.8176684635605059,0.9203874175142015,0.9073878687286214,0.8247705420633883,0.9301447913222985,0.8983235078151255
GSM2674160,0.9041415771501754,0.9190223237267291,0.9120380672172731,0.9138559939244151,0.8948367222777187,1.0,0.9229982566145226,0.9062820996096649,0.92172128466123,0.9238772303989936,0.8734019419869311,0.9003310342454071,0.8991523685304634,0.8804296146954441,0.9212559391875589,0.9283010774343872,0.8795872990212406,0.9221148859217019,0.9151965050991736,0.918702194811905,0.8851033016676005,0.9344618158215889,0.8897595486004964,0.8711189511460564,0.915981050759972,0.9304170524873068,0.8423511254432288,0.9128783579473808,0.8671770819197783
GSM2674161,0.9730742450366003,0.9621487533538008,0.9656814557976888,0.9443113300221231,0.9499615678479422,0.9229982566145226,1.0,0.9754149980335493,0.9610894920700466,0.9651377619605621,0.9063701429312724,0.936355543769636,0.9264581591302344,0.9286179166122462,0.9451513104898047,0.9533182523823166,0.9061798287652595,0.9041149277888306,0.9477683574283096,0.9517073138541686,0.9442592574682475,0.947607139356778,0.913942785064639,0.8804774315465407,0.9483663130108916,0.938018907012489,0.8747249953316206,0.9610311172464513,0.9206137734731392
GSM2674162,0.9720549168020131,0.9522068834544979,0.948324844601688,0.9416332881907397,0.9542662533557659,0.9062820996096649,0.9754149980335493,1.0,0.9420872202974646,0.9523537973128091,0.8981789050778279,0.9397243483282806,0.9211076231407572,0.9247286978429542,0.9348173286228052,0.9466073657221901,0.9037865812487009,0.8964997228520113,0.9412756379193913,0.942318143651719,0.9389230624442011,0.9356612162546494,0.9108552033629209,0.8769353749914363,0.9496174877008523,0.936629854775933,0.8704819319337871,0.9498305611646477,0.9329813073270431
GSM2674163,0.9398914745385172,0.936410940399719,0.9567869692498047,0.9450419235207272,0.9334866438770717,0.92172128466123,0.9610894920700466,0.9420872202974646,1.0,0.9526767111683488,0.9009746500819018,0.9107713853970147,0.8952043352417716,0.8914454470222211,0.920882252429292,0.9390939977758944,0.8689279291339269,0.8852542450005033,0.9189014278272277,0.9244958506683996,0.916406867999915,0.9225626026752554,0.8761123472980559,0.8433934919798722,0.9273044392061928,0.9096579355961429,0.8506137569337611,0.9423119580879369,0.8770602612445236
GSM2674164,0.9531777293502082,0.9455530893379803,0.9559741134374544,0.9332859309944578,0.9283322192289076,0.9238772303989936,0.9651377619605621,0.9523537973128091,0.9526767111683488,1.0,0.9131138617722576,0.9213948607763289,0.917264871119949,0.9082728902505633,0.9338678549215792,0.9440960821316833,0.8956292069847174,0.8921440010800672,0.9335060899928943,0.9381715191254499,0.9130434610577582,0.9375836960544177,0.9053151635506035,0.8636735824974383,0.9344404514016106,0.9264042139915998,0.8522995906691656,0.945078234931093,0.8942326664907929
