,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,GSM2674169,GSM2674170,GSM2674171,GSM2674172,GSM2674174,GSM2674175,GSM2674176,GSM2674166,GSM2674168,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304958,GSM3304961,GSM3304962,GSM3304963,GSM3304964,GSM3304965,GSM3304966,GSM3304970,GSM3304971,GSM3304974,GSM3304977,GSM3304980,GSM3304981,GSM3304982,GSM3304983,GSM3304986,GSM3304987,GSM3304989,GSM3304991,GSM3304994,GSM3304995,GSM3304996,GSM3304997,GSM3304998,GSM3304999,GSM3305001,GSM3305002,GSM3305003,GSM3305007,GSM3305009,GSM3305011,GSM3305013,GSM3305014,GSM3305015,GSM3305016,GSM3305017,GSM3305018,GSM3305019,GSM3305022,GSM3305023,GSM3305024,GSM3305026,GSM3305027,GSM3305028,GSM3305029,GSM3305030,GSM3305031,GSM3305032,GSM3305033,GSM3305034,GSM3305035,GSM3305036,GSM3305037,GSM3305038,GSM3305039,GSM3305040,GSM3305041,GSM3305042,GSM3305044,GSM3305045,GSM3305046,GSM3305047,GSM3305048,GSM3305049,GSM3305052,GSM3305053,GSM3305054,GSM3305055,GSM3305056,GSM3305057,GSM3305058,GSM3305059,GSM3305063,GSM3305065,GSM3305066,GSM3305067,GSM3305070,GSM3305071,GSM3305072,GSM3305073,GSM3305075,GSM3305077,GSM3305079,GSM3305080,GSM3305081,GSM3305082,GSM3305087,GSM3305090,GSM3305091,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
GSM2674196,1.0,0.9778776774993083,0.9795913531544891,0.9252380620454242,0.9328380493970804,0.9342731799770735,0.9157658117041982,0.9624291238476745,0.9657341458671085,0.9689138225786887,0.9703222044956914,0.9752352844120817,0.9721165645987947,0.9647467072759958,0.9723990111011336,0.9262135890165158,0.9660531082360707,0.9344017504460055,0.9691763033819333,0.9432828334472584,0.9412409048662773,0.9167569463440864,0.9350591894095058,0.919843993438079,0.9092995462221598,0.8839152952756545,0.8952490765910316,0.8995509515100001,0.9203375223134533,0.9134819430398678,0.9490582663143061,0.9441343730483533,0.9350513478317579,0.8877479525420666,0.9072494965345991,0.9284883515587041,0.9257168939017636,0.9133118966136143,0.9210359281697776,0.9341188436575687,0.861521009658455,0.8905717897188741,0.9474123222995535,0.8863153106267435,0.913591410928964,0.9183448854979253,0.8957512462722124,0.9398255287816448,0.9088379060460551,0.9112318128053896,0.9055131990048652,0.8957923991016253,0.93368593463798,0.9163630458866076,0.8706602889757273,0.9290091095262053,0.925384930598464,0.9434626246481365,0.920928872983789,0.9322214472635557,0.9339059669417847,0.8970068547883833,0.9118184999261126,0.9302451548948375,0.9307163711200115,0.926744169409834,0.8911384856027964,0.9032858663167516,0.924425924949717,0.9048676938253544,0.8887826925477755,0.8533540677825082,0.9055315142834416,0.921993340850944,0.8934679976302624,0.8686934464087015,0.9223328251330061,0.9289457099090269,0.9355138296423178,0.9075968705599037,0.9184993453315823,0.922351550312476,0.9313866855214188,0.9114764947880662,0.9358664828885427,0.9362252240092304,0.9322203315943266,0.9539406912594018,0.9138193546982462,0.9198810241835144,0.9430687968889153,0.9324769021495896,0.8070136258568433,0.875992173483414,0.9135243626168199,0.926218357875347,0.926399383152065,0.9135776540564317,0.8822632242433469,0.9453767827502338,0.9147426828349553,0.9111296894722978,0.9078771679248298,0.9110622746595569,0.936051756237097,0.9076866023297446,0.9266122314588763,0.8888097149197616,0.8721415859255608,0.9424132181692502,0.9140432218047773,0.9388040629609704,0.9075115171290491,0.9237735130878563,0.9356638207693988,0.9231914149466433,0.929168871965039,0.911819285935302,0.8746320252260057,0.9242396127880059,0.8601002694572839,0.9172107949908261,0.7153418110394407,0.762497298195424,0.677590054636961,0.7949795229099094,0.9548976560947843,0.9493771513192026,0.9332915791289429,0.9558773116709413,0.9534021739402031,0.9509799352905168,0.9520881974859547,0.9511659350418735,0.9580946154560505,0.9550821284869987,0.9444703976752151,0.9328640837165874,0.9201050880987952,0.9324412085805462,0.9294317759874359,0.9034122483063988
GSM2674188,0.9778776774993083,1.0,0.9778940940701226,0.9285107700261163,0.9450078684288378,0.9404067118336766,0.9265296048311134,0.969624247280271,0.9597672188042771,0.9757936012723943,0.9680367179610655,0.9730894662936718,0.9713101808197928,0.9710369742516557,0.9717030359430271,0.9371553076450676,0.9722148744704,0.936619262099762,0.9679392610488529,0.9504850862233958,0.9393622868861184,0.9195860911728735,0.9371112940735049,0.9143668132184598,0.9126763370151644,0.8858930088053082,0.8940657572268229,0.8956522958818013,0.9252022309427181,0.9088696916282076,0.9469439400916645,0.9415958654180445,0.9318253741905391,0.8918257501888436,0.9067305906664753,0.9314512445449445,0.9285826280077267,0.9161167171001043,0.9211049138579125,0.9344651101801885,0.8579491243444973,0.89211660536614,0.9476473599853661,0.8909043094625674,0.9156944579832357,0.9187750708065553,0.8947505562563732,0.9421576735506182,0.9117817926288423,0.9086421955169727,0.9057811284779236,0.9022709529193643,0.9356748525174261,0.9119435836505497,0.8710998394112979,0.9308127342619235,0.9206104490987619,0.9394112696480852,0.9252337695076097,0.9313486961374206,0.9281005653637311,0.8985351986868242,0.9166862113920862,0.9294568939864302,0.9280746152772426,0.9282336048981474,0.8917452404906143,0.9107926354743285,0.920757022452481,0.9050142663232152,0.8887051443234533,0.854634423324527,0.9000496474557316,0.9219355400652928,0.890931186189563,0.8666870879102201,0.9224624974559582,0.9295537861647063,0.937747514400059,0.9117373204994632,0.9198823022118175,0.9281177294301128,0.9329198020665539,0.91352364712483,0.9355640475402844,0.9378603314502924,0.9314493592658747,0.9519089692520799,0.9158464020187547,0.9157428546092876,0.9410826602727551,0.9313135684011253,0.8126470188403712,0.8698017891542066,0.9154635041825137,0.9299809287978057,0.9277207663252365,0.9088872211350263,0.8898205614553553,0.942689357145243,0.9136555389201796,0.9096557721355278,0.9085410075872723,0.9127879228221725,0.9343931058247278,0.914741660045674,0.9254012476412443,0.8928680319237368,0.8759547165150398,0.9422471154108947,0.9134971854228342,0.9457784916775498,0.9084292209020463,0.9281679410223367,0.9355345156427733,0.9246738608889615,0.9299988195596381,0.9123985672757854,0.8782435685604566,0.9259772264400186,0.8538755743940833,0.9243258736218825,0.7245739740372079,0.7676725213590365,0.6842947122557055,0.8030061307106883,0.9538181437632677,0.9433330246369254,0.9269417893366243,0.9535463931480852,0.9456079259882814,0.9505115775270443,0.9584082297544362,0.9502076119980724,0.9557019046620155,0.9592827625842257,0.9474183487620444,0.9225340302059054,0.9135050384304312,0.9265674561071955,0.9195826544436315,0.898296145672929
GSM2674189,0.9795913531544891,0.9778940940701226,1.0,0.9330372556378436,0.9401797875958927,0.9367645344771329,0.9153644558984818,0.9647728699190263,0.9571309764888135,0.968582861557202,0.9737391179518816,0.979976725696628,0.9780307446914358,0.9694954705991915,0.9750114019718835,0.917619292823351,0.967593399684015,0.9195391955123994,0.9758711615891656,0.9429980171230719,0.9463437151926039,0.9196444822356892,0.9323266631493893,0.9218129368389814,0.9124209045139654,0.8853532127675979,0.8972510936739091,0.898270997774112,0.9196135390444601,0.9258317212636771,0.9454749779699614,0.9421512840109635,0.9295818392661297,0.8943604241318026,0.9108641671972457,0.9327426247727795,0.9231249105131023,0.9160130124170177,0.9191753485124599,0.9382686564104906,0.8625146263480571,0.8889343820676109,0.9465502495071978,0.8851688920942069,0.9130819352385309,0.9187692623560125,0.8983724200764577,0.9427120860076013,0.9097859062078195,0.9118365365924538,0.908556033835657,0.8984660510426967,0.9342045941403994,0.9192440524134015,0.871440325246313,0.9261290414065891,0.9218543347862022,0.9455439312459155,0.9170686512337208,0.9297429176395053,0.9260661328643196,0.8934130312870647,0.9118239825652171,0.9297029558831956,0.9287290472627844,0.9305204254342072,0.8833376836815209,0.9091279744963454,0.9235973071876937,0.9079025045100256,0.8885467161621369,0.8549111719587329,0.909342484565177,0.9187233110274641,0.8982038263950708,0.8695697951709547,0.9184701941916101,0.9323140036362407,0.9373385857671339,0.9083978345087546,0.9203441346026459,0.9267126422306181,0.9309257492307615,0.9088281748492076,0.9374983460083445,0.9361502501403165,0.9281763050546227,0.9539313283963444,0.9113232793226351,0.9157005625165656,0.9433952131594386,0.9316975625862853,0.8064793858687902,0.8710337546243913,0.9133253099998548,0.9258620159793796,0.9301322793922453,0.9014651869982498,0.8848259377706903,0.9472260593469319,0.9162441654836311,0.909503246596772,0.9063988184459578,0.9069959460326003,0.9337352452102282,0.903662922428889,0.924985582719068,0.882266964139674,0.8758808825223399,0.9488389961992227,0.9170469329301532,0.9394124652986499,0.9096936388998839,0.9256996374799923,0.9383098280025255,0.9253675810869215,0.9351510702339345,0.9118482480907254,0.8707204815152844,0.928436260799895,0.8639756599533773,0.9187385431346096,0.7162102165314188,0.7408144651048476,0.6676308417968985,0.7907993706384852,0.958911497004824,0.957342613662308,0.9428092054024433,0.9623753426141806,0.9554937393466039,0.9642238541674559,0.9573019649168495,0.9580425371651637,0.9617789687846751,0.9595089591326591,0.950279509879243,0.932697560908516,0.9259391867757275,0.9354456782337787,0.939300762255624,0.9037450290371687
GSM2674190,0.9252380620454242,0.9285107700261163,0.9330372556378436,1.0,0.9813659707111174,0.9848916311642244,0.9791542991249647,0.9619802202561358,0.953863348402412,0.9552957733217735,0.9585032053071433,0.9555449738440639,0.958947142932931,0.9577314503763701,0.9145249085282134,0.9575584832426715,0.9558417284634412,0.9325830435550319,0.9653232956998531,0.95827523180921,0.881308508310843,0.8850887322487507,0.9155361918993885,0.8875094852830914,0.9258218638084095,0.9182591229005588,0.8754581562228122,0.8528562310025222,0.8746798492828768,0.9003586399869532,0.9110501961306087,0.9083780228144533,0.9014508999187599,0.9180360728846765,0.8865610795273332,0.9098471163352481,0.881459628176937,0.8728928970858548,0.9292943360439334,0.9534513454051137,0.7638414576013283,0.903488004794199,0.9245216970193444,0.898476545046692,0.861604621737992,0.9052711187871482,0.8812538772376978,0.922789363797497,0.9243847030884327,0.8670831643569747,0.8457120225672121,0.9006909629550267,0.8788587949321854,0.8620441873636665,0.8247936231252277,0.9100931917269658,0.9058407894687581,0.8878613913760921,0.9251323289672004,0.9043167527018956,0.906197442002625,0.8979556621017972,0.8904154387918327,0.9260232105838295,0.9202756323529554,0.8918251661069885,0.8830556829212111,0.8745686967113235,0.8880371914669158,0.8817175873760431,0.9027613352566659,0.9080291502751908,0.903933575331301,0.9118559909300376,0.8626514309520767,0.9003380512893001,0.8610554270071322,0.9234533978888512,0.9197004462942818,0.8908066656529958,0.897634607424411,0.9031338594004974,0.8886885584362654,0.9064042169514338,0.8732573490947645,0.9190743290984914,0.8812227299104677,0.9300958505581253,0.894525694946227,0.883191725822416,0.8960721215617057,0.9134200580102179,0.851455734146389,0.8267789419053142,0.8823921551556079,0.9359659604766031,0.8875118584952421,0.8502933877160221,0.8997478398270568,0.9114594604808411,0.88119531858679,0.8861038912940257,0.9272031933210835,0.8962385258085596,0.9014991065111464,0.8694571680549966,0.8973645050928616,0.903659337398735,0.8690341435910136,0.9156374380881894,0.8912851664688789,0.9414111801379882,0.9291280938469404,0.8957389103342271,0.8989709511381389,0.9245571899586449,0.9150561906148775,0.8960913855895407,0.9093771810648604,0.917163488463167,0.7818758805668542,0.9372378779849649,0.7284040823147463,0.7753337468716207,0.6160000019169458,0.8090357054501893,0.9128054174486254,0.9074540661851277,0.890240412623271,0.9200196661551059,0.9193947295964696,0.9253449359771968,0.9169551771272915,0.9383633449856381,0.903723447781357,0.917043301529046,0.940207239227734,0.8969386151160093,0.9190771759370856,0.9023303298922524,0.904939319725811,0.9193392459946217
GSM2674191,0.9328380493970804,0.9450078684288378,0.9401797875958927,0.9813659707111174,1.0,0.9832024049943844,0.9801882875325082,0.9704230491599666,0.955358097285238,0.9634952503736735,0.9599115135264666,0.9592547077324343,0.9631171038263217,0.9687888824562255,0.9268751958330852,0.9613433522050016,0.9650764604219488,0.9320937414709921,0.9663638695944211,0.9607459680375722,0.8918407242630039,0.8980081513095639,0.9226594832911624,0.8904189954351005,0.9280276599882947,0.9176711022698302,0.877249109579321,0.8595791567779434,0.8904342683473596,0.9022316532329236,0.9172890489006591,0.913915576358504,0.9050170452397929,0.919675196730546,0.8936600610325323,0.9176524227324534,0.8916723861022439,0.8881400977722806,0.9269007778729105,0.9538102480124523,0.7802066519947745,0.9036716157567847,0.9298085315497582,0.9001820521089634,0.8712988108597692,0.9076705231658676,0.8858637707708744,0.9297254516263268,0.9238989034690716,0.8762341429806796,0.8616215411062127,0.9049442396132571,0.8911705612546417,0.8694633177113832,0.8356236302626044,0.9165331920341534,0.9097365961822163,0.897313143746163,0.9306130145669381,0.9104209745546673,0.9101269271861616,0.8988666026674201,0.8967425993713036,0.9279318885370939,0.9219051439331466,0.9016605599989183,0.8871004621799786,0.8902193680292447,0.893937613306608,0.8868026094392276,0.9031284423035711,0.9028475241763613,0.902006256072677,0.9136445680153927,0.8667585897112279,0.8958388588431146,0.871305607213706,0.9240120869039467,0.9263053636316944,0.9000190328754255,0.9002700517486693,0.9172121612829642,0.9024629031109113,0.9081251503344173,0.8876820728740176,0.92477208600299,0.8907273445817717,0.9345468033040134,0.8972602660670894,0.8862718038337085,0.905242540001012,0.916703201167073,0.8447039954882697,0.8288182411295694,0.8889079562564456,0.9351454943007571,0.8985365070677267,0.8602063974616423,0.9028125838564616,0.9172937898143374,0.8865105866669527,0.8888681644735877,0.9250560473247673,0.9020577011223142,0.9091114305627777,0.8825876475788738,0.9064670067171408,0.9049704239674793,0.8743118999720464,0.9219318797969146,0.8975647218427204,0.9489124505608035,0.9255068032862451,0.9067001315100307,0.907603589809293,0.9261231369177054,0.9179876943752115,0.8995554669574807,0.906831589694452,0.9223940622613827,0.7949425963914459,0.9420495188849258,0.7292981436215322,0.7751775159524735,0.6236224519314306,0.8124377840279035,0.91975720301015,0.9079933004816445,0.8956869497486997,0.9292823875667902,0.9214901015788389,0.9325649565034863,0.9306391144120585,0.9425071797286902,0.9145246211420506,0.9271973279035101,0.947702012007713,0.8937455131410843,0.9126497249637184,0.9015236269775068,0.9041006499305233,0.9097409865473916
GSM2674192,0.9342731799770735,0.9404067118336766,0.9367645344771329,0.9848916311642244,0.9832024049943844,1.0,0.9805143980683717,0.9706621571254842,0.9630188125792964,0.9668710705737078,0.9635170820536142,0.9611151256601479,0.9614835285206433,0.9669184785398975,0.9211234075912202,0.9649556207992699,0.9616769982360882,0.9405162311791806,0.9661330608036979,0.9613408336405088,0.8866700117595874,0.8910820489558335,0.9245291304686537,0.8895845858151415,0.9269661221933307,0.9198784449745613,0.8794868676095102,0.8585339969021301,0.8849048819992368,0.8994742620317767,0.9174022894019548,0.9138533420503342,0.9092291374736361,0.9189362116078895,0.8895381525113901,0.9131429967558342,0.8917862916385434,0.8794858682155289,0.9325954900312535,0.955803327516528,0.7695816329066641,0.908176139310988,0.9301280465602079,0.9026396591236381,0.8695084285263747,0.9098255264269854,0.884939039352385,0.9291671938699297,0.9294627336896039,0.8722514863599037,0.8530054220180782,0.9047016193324083,0.8880005177027247,0.8657446403470714,0.8322546899482737,0.9188175933018445,0.9132251659411574,0.8934398887655317,0.9333232563042221,0.9103738115075054,0.914736011232024,0.9042091525219272,0.8963627908576297,0.9313670060544591,0.9253208322199444,0.8960530976324838,0.8946476188585059,0.8819732616875717,0.8936487089892113,0.8854020402547883,0.9063108005792316,0.9098307956316031,0.9041397875063648,0.9174769742779009,0.8654677059640131,0.9018369689031401,0.8715987728328511,0.9264620730473948,0.9254063554033843,0.8986339064773072,0.9021475447445482,0.9097842348822732,0.8966442932323447,0.9136344169952176,0.8815715119164906,0.924159215764898,0.890135454185126,0.9352525730697824,0.9009160635686662,0.8911357020480191,0.9014030493358043,0.9194285241706242,0.8533554331580497,0.8352560069896006,0.8880531959447352,0.9398865444801617,0.8922248078108103,0.8644360992719862,0.9027854388482683,0.915702039418722,0.885098022253422,0.8894504257910816,0.930168474864185,0.9045092515372436,0.9087545966421747,0.8801920449004915,0.9043133930937659,0.9117548669301888,0.8711976165580659,0.9176940596960408,0.8960316804695495,0.9504936776710275,0.92914545925536,0.9026161541910895,0.9058758769686714,0.9284514145545966,0.9172654039717847,0.9007177328598671,0.913808499555192,0.9221053111039642,0.786457924350532,0.943534584222884,0.7333352096039888,0.793487082834519,0.6295511162822632,0.8195966907853617,0.918103947839952,0.908719215792699,0.8889398614599756,0.9236422509612382,0.9211367989736208,0.9252874713892382,0.9241505005988124,0.9405880958861805,0.9105869350749004,0.9224335692090874,0.9432686466025757,0.8983311579787915,0.9156424931405035,0.9038930625458305,0.903166432620731,0.9219951976216509
GSM2674193,0.9157658117041982,0.9265296048311134,0.9153644558984818,0.9791542991249647,0.9801882875325082,0.9805143980683717,1.0,0.9558864233368364,0.9457038667337692,0.9514166094901422,0.9485076718852273,0.9425203671352183,0.9450396838114231,0.9492131682622573,0.9080665846765151,0.9662937276417669,0.9546977988771795,0.9381334925364646,0.9521110150759678,0.9606703089353994,0.8661839912351457,0.8834198813972935,0.9148976785518427,0.8791541523436153,0.9263818042373769,0.9187540138936916,0.8672805155000958,0.8449169217444431,0.876867523227159,0.8856218743583832,0.9047690315223578,0.8952679273718435,0.8943404814138831,0.9148251335755617,0.8833435872317213,0.9014628700021833,0.8761014042776835,0.8706531849379827,0.9244651116904747,0.943370117153241,0.7575670231311926,0.900378013934598,0.9188576688707388,0.8991453277765356,0.8580075373890663,0.8979859306171932,0.873209642290476,0.9213585936386831,0.9247672494374874,0.8611794206221333,0.8432252985751144,0.901469111721311,0.8785863471679883,0.8543455026353899,0.8234855214698636,0.9066096863519547,0.8995644412222331,0.8756721416229174,0.9256260923532618,0.9024076244843575,0.899491937426539,0.8980772143286346,0.8843182143589522,0.9228706947883629,0.9145759786014962,0.8868372542892451,0.881709113528859,0.8701921727630663,0.8817536684666666,0.8774540325667941,0.9019230743573285,0.9058777109293752,0.8908698847227314,0.9113905777055217,0.8563281023537608,0.8951997967137261,0.8556538882148321,0.9200950383183707,0.9175931919070274,0.8850711892359365,0.893117135916258,0.8991364388601784,0.884705190271491,0.9058933042142312,0.8654845296141493,0.917089377823945,0.8752102913971072,0.9234585607793069,0.8899152687268648,0.8736377544563857,0.8885057972249842,0.910185581599327,0.8520552157794786,0.8169160902359287,0.8773249536352262,0.9342765074988005,0.87832523596436,0.8451777963501947,0.8987806872468971,0.9066481058737532,0.8737973322396569,0.8780125674335332,0.9255997168996927,0.8963346676034368,0.9004511736766333,0.8709890654714423,0.8916562748630078,0.9069140853979867,0.8675644478607336,0.9076582352222055,0.8854634050109584,0.9386224646954248,0.922433725240332,0.8911556801432541,0.8939877789585687,0.9220813012426462,0.9083216273701641,0.8910844249122523,0.9089411735125653,0.9113926521568769,0.7694339945450036,0.9345730197004648,0.7345576122274081,0.7893820339206036,0.6255273194490817,0.8162029957645455,0.9036330117782038,0.8903535987140676,0.8756593844094064,0.9082834272849037,0.9088554265636011,0.9144687454245962,0.9117988111109719,0.9286171372456212,0.8925259824301456,0.9142357079623795,0.9381038351922181,0.8852918549797707,0.9087636046222212,0.8879708896453959,0.8827283407445623,0.9092706236184318
GSM2674194,0.9624291238476745,0.969624247280271,0.9647728699190263,0.9619802202561358,0.9704230491599666,0.9706621571254842,0.9558864233368364,1.0,0.9754742312056834,0.9843451196208146,0.9801828301053317,0.9794607930856469,0.9821668837281189,0.9838216369263683,0.9606494878694659,0.9533243030076191,0.9746809995994572,0.9357943928699517,0.977370005096723,0.9581842480898957,0.9223704277132407,0.9191288823989676,0.9385279123176967,0.9086892382083755,0.9295073658368707,0.9215717023417526,0.9014227800548701,0.8910489220836476,0.922343056195255,0.9162869647248323,0.9402984203410949,0.939122039359122,0.9293923642553438,0.9154322786519246,0.9098879904419925,0.9319389328171136,0.9192558931241848,0.9120563739924835,0.9368148279280588,0.9596249996488193,0.8184885319002991,0.908878007991949,0.9504955522325432,0.9108195830553453,0.8990433109287773,0.9225747337649447,0.9015660576088347,0.9430535224692415,0.9297921104346125,0.9015251890789732,0.8890760573113354,0.914670277744567,0.9178531906384714,0.89601801483703,0.8616634626178264,0.9352174558798696,0.9263482289230672,0.9237093450645604,0.939565650024965,0.9289963876789664,0.9316596420685084,0.9121162023891951,0.9168806981266712,0.9379960805105066,0.9373641888610725,0.9209116729161433,0.9034514340090832,0.9120608561111867,0.9182851616594856,0.9040284639011998,0.9082769458315928,0.8943315010642546,0.9102857009596114,0.9295326626329394,0.8846673475374264,0.8985471315818253,0.902759408454666,0.9366723692095895,0.9430944916149052,0.9201478968427841,0.9194625981742206,0.9386881255067107,0.9266638887282337,0.9231915364509089,0.9162230901173588,0.9403025460528073,0.9186405472415117,0.951768371567044,0.9129088345025959,0.9063388486448953,0.9290486320063571,0.931056235657141,0.8412535091141728,0.8509900375554833,0.9065705056739866,0.9440468674210828,0.9189390779048354,0.8944648328439,0.9057209382740313,0.9359120450555761,0.908391490296458,0.9089931226075054,0.9304912363990397,0.9214006078038565,0.9302387820747882,0.9110312894539694,0.9258055191628196,0.913412835571384,0.8872008500533707,0.9416319907372146,0.9142972427913916,0.9573134560122913,0.928663912605553,0.9264368045498654,0.9287046423648986,0.9366641791594851,0.9310086693129985,0.9178227106874316,0.9046654451685787,0.936211619010128,0.828666223909886,0.9467945014680293,0.7422472892241133,0.7866618631893441,0.6593540592641675,0.824858838652783,0.9475712139605775,0.9347093554929339,0.9163363906888616,0.9507227418471285,0.9466980709617893,0.9479316890390718,0.9555899457781062,0.9547300355076823,0.9452047752600414,0.9540010729215492,0.9577279763537943,0.9237009534018565,0.9190593845376371,0.9254099313614407,0.9268740068140418,0.9219574801300201
GSM2674195,0.9657341458671085,0.9597672188042771,0.9571309764888135,0.953863348402412,0.955358097285238,0.9630188125792964,0.9457038667337692,0.9754742312056834,1.0,0.9753877685880359,0.9719639284721073,0.9730540562953198,0.9740627833669351,0.9715574505313536,0.9509994736457741,0.9467132590391681,0.9648336129797509,0.9443840400907029,0.9730286650014549,0.9487559404165162,0.9131431705778875,0.9095702737719777,0.9432788623422008,0.907700996822208,0.9265178559180313,0.9164486394602487,0.8986713242915461,0.8906847742964612,0.914146691032972,0.9093655746715058,0.9423309085293028,0.941300669537439,0.9382618909116248,0.9046092971391103,0.9061367033702767,0.9237699557046852,0.9208637338429645,0.8988239897272379,0.940183844054867,0.9546557309751503,0.817270684734354,0.9112142921332369,0.9477023313532801,0.9067013936635435,0.898677409007616,0.9241952785235896,0.9013830316667872,0.9386872683563734,0.9294368555780348,0.9018844415832582,0.8823469421180091,0.9074260416748922,0.9180135130791736,0.8958065967908605,0.8648957251166377,0.9361756702407142,0.9307939579021292,0.9235165254645771,0.936562415314474,0.9300736520407662,0.9436031298894362,0.9151345170849265,0.9134753440578909,0.9423654152934908,0.9398377127412884,0.9131978964414771,0.9115166006543431,0.8995364138793828,0.9196203754746504,0.9026776814222888,0.9098267851349786,0.8938853594432998,0.9129000304542488,0.9328657031163844,0.8853797469911582,0.8985018586783212,0.9073036558255373,0.9359573800226088,0.9395868132022954,0.9163541455514446,0.9189673909331754,0.9269147188157087,0.9211174325740936,0.9272445314355289,0.9118158993096595,0.9382753425298824,0.9203326362959079,0.9518456139131432,0.9150929286788722,0.9165174272353005,0.9273942271203359,0.9316830016487148,0.8433706290569792,0.8677742366454103,0.9080011568850662,0.9420577116240817,0.9107284126484952,0.9080407616822185,0.8984102038943435,0.9364633299966267,0.9084704213116572,0.9119850804466396,0.9316152416987038,0.9245852763722806,0.9303197066820622,0.9067557077267864,0.9271834913919855,0.9169226551260339,0.8795697480185753,0.9340902432265008,0.912250653371936,0.9524865322610722,0.9258102312257919,0.9204983211745622,0.9284715208629217,0.9367027272919336,0.9272880104324961,0.9166212938081197,0.908389709051102,0.9296287259980694,0.8289948580625669,0.938056034265607,0.7439895354712776,0.8112438662229041,0.6809635948526576,0.833315907928329,0.9405551253268442,0.9316314508702124,0.9017585044853034,0.9456858199848653,0.9486093817669942,0.9357183173678844,0.943765500288539,0.9506936895339387,0.9401895399407217,0.9448245891085699,0.9475702719035783,0.9299848430352226,0.9241432872817712,0.924497585355066,0.9242685038630197,0.9339511998960335
GSM2674177,0.9689138225786887,0.9757936012723943,0.968582861557202,0.9552957733217735,0.9634952503736735,0.9668710705737078,0.9514166094901422,0.9843451196208146,0.9753877685880359,1.0,0.9811245206093869,0.9817124454336846,0.9757709668194854,0.9800807670522703,0.9578815454543397,0.9603163406657075,0.9778112764258378,0.9471480803719046,0.9745163624404072,0.9667618753279256,0.9265651925166848,0.9167211713691177,0.9437090414279129,0.9139677046812086,0.9314166277284267,0.9124367666542724,0.9054417470976335,0.8934287971350341,0.9210432632340378,0.9135889447650839,0.9426089912146377,0.9385685324554024,0.9330913178634109,0.9136224431901913,0.9120501568502922,0.9354356128104737,0.9268617551366835,0.9097344775244011,0.9410171442395581,0.9558114377509468,0.8239066670267797,0.9116567252927106,0.9542410899079368,0.9078988626674477,0.9077358771050306,0.9283018476295245,0.9014412777306474,0.9480319244758239,0.9361381891868319,0.9050597717275197,0.8927442728746393,0.9186037000473055,0.9248188594800336,0.9021228426981934,0.8675847952781369,0.9402145602448753,0.9307319567960115,0.9274501794895611,0.9450450036110685,0.9347273270091351,0.9362383956514012,0.9178129811746925,0.925535545960957,0.942266861540931,0.9415970601740992,0.9244740721676264,0.9064104152481782,0.9081528913015697,0.9218031262571383,0.9073255105749995,0.910140961218731,0.8936939673872982,0.9127977107430972,0.933265088145551,0.8904525091220934,0.8952315944545877,0.914339099738162,0.9407720015953102,0.9443399268917161,0.9190354231952004,0.9266823039986641,0.9320541730560987,0.9281821509807142,0.9304216852757167,0.9229299491692172,0.944294212646951,0.9264533316092212,0.9568912492573837,0.9219519496843294,0.9197714728675629,0.935830090806633,0.9397345544602064,0.8437871432776836,0.869091798472156,0.9146187385891721,0.9495764235107474,0.922605080146878,0.9057690534331466,0.9081519270419506,0.9430798216962081,0.9145960048180525,0.9139297399017551,0.9309429075546104,0.9239503898815105,0.9363175105546512,0.9111476033919985,0.9289335242211019,0.9193843940863821,0.8867367340946432,0.9436126863531554,0.9188450144209581,0.9624171423344021,0.9299101988760433,0.9290215302383322,0.9334496631082374,0.940613856596082,0.9373538063119103,0.9223670471172577,0.9083134811786546,0.9357253131312757,0.8336639002422109,0.9469306953647193,0.7467763516594338,0.8005801489731518,0.6760629937473663,0.831191621243736,0.9534475394033984,0.9408569703868944,0.9158382078660523,0.9515471712375709,0.9444399070397512,0.9448477775778611,0.9535204537460208,0.955638711748413,0.945262129271112,0.9526468367563591,0.9591043483212582,0.9252609812837912,0.9227105302286637,0.925691949371436,0.9197062659096337,0.9252028409543178
