,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
T1,1.0,0.9153400306474819,0.9507267132441473,0.8973804473922462,0.9233707395308035,0.8985804284832176,0.9621717106628687,0.8751144240313264,0.9041073618994088,0.878246118594391,0.9591045059693992,0.891786845319963,0.8937083592185212,0.9048002651835834,0.9023353573278852,0.8872748999497008,0.8888376024060145,0.9114013377509284,0.8475614625916394,0.8774466295257186
T2,0.9153400306474819,1.0,0.9343510225724134,0.9190031829664634,0.9296816927062183,0.9187122971725206,0.8887633121100079,0.9104825921098816,0.9055789060715362,0.9027658663010898,0.902958683173366,0.9086303928191316,0.904004137994567,0.8915736052551465,0.9200412440388477,0.9233627012985817,0.9250274364013316,0.9389547921694356,0.8841489574157149,0.929117868121606
T3,0.9507267132441473,0.9343510225724134,1.0,0.9259545787162946,0.93465024380916,0.9361568829522909,0.9327506831780966,0.9085552453534422,0.920204491467346,0.9177239432273794,0.9356585920599901,0.9121702695841595,0.9174236513769025,0.9065096589904378,0.9342100907572675,0.9207771601451445,0.9281371922647552,0.9414889324258766,0.8973826238724865,0.9166928149105744
T4,0.8973804473922462,0.9190031829664634,0.9259545787162946,1.0,0.8895020668063397,0.937628210363754,0.8566883751979458,0.9196832450139258,0.9151816114660015,0.9298243950400421,0.8932475726819249,0.9040432092814029,0.9061406024315818,0.8855057192520986,0.9155486471949729,0.8980334626892141,0.9211497796343205,0.9157067821468015,0.8861783555322151,0.9193897117527265
T5,0.9233707395308035,0.9296816927062183,0.93465024380916,0.8895020668063397,1.0,0.9045519400427022,0.8994929681195576,0.9020339497324327,0.895230437546997,0.9111687652870474,0.9058770430986205,0.9135678624360708,0.9209974046461915,0.9008541990913522,0.9174919916352288,0.9217361440773011,0.9235226450804029,0.9510143505109456,0.8949095369436727,0.9076373998937637
T6,0.8985804284832176,0.9187122971725206,0.9361568829522909,0.937628210363754,0.9045519400427022,1.0,0.8628418105044123,0.9223769028944073,0.9145579591369533,0.9270372919474075,0.8819820981860893,0.8910646822069581,0.9222269068154455,0.8707555542185622,0.9273329086423756,0.9033129451675593,0.934970945552764,0.9246356107202375,0.9011051459353089,0.9173867402727602
T7,0.9621717106628687,0.8887633121100079,0.9327506831780966,0.8566883751979458,0.8994929681195576,0.8628418105044123,1.0,0.8312065485023401,0.8821763964383597,0.8411487892236283,0.9579352593387062,0.864166695844217,0.8595089342928806,0.8855397369541742,0.8754048431652297,0.8489616998248162,0.8591998651922208,0.8713880888752366,0.8210394440512184,0.8369655654175768
T8,0.8751144240313264,0.9104825921098816,0.9085552453534422,0.9196832450139258,0.9020339497324327,0.9223769028944073,0.8312065485023401,1.0,0.8997794008999214,0.9236912309383152,0.8607627082093828,0.8952771803108545,0.89907482813859,0.8704134903065192,0.9036688383990055,0.9046658103967316,0.9149676575049477,0.922355532385007,0.888729908558572,0.9196126690869312
T9,0.9041073618994088,0.9055789060715362,0.920204491467346,0.9151816114660015,0.895230437546997,0.9145579591369533,0.8821763964383597,0.8997794008999214,1.0,0.9048339923632212,0.8999555927042213,0.8970711979313386,0.8988305902939031,0.9034421889950938,0.9125976870039274,0.899709182783146,0.9029113223107773,0.9084564860099358,0.8934866765797913,0.8896630074950289
T10,0.878246118594391,0.9027658663010898,0.9177239432273794,0.9298243950400421,0.9111687652870474,0.9270372919474075,0.8411487892236283,0.9236912309383152,0.9048339923632212,1.0,0.8694374857065053,0.8964443730004077,0.9182794339506211,0.8751072894069112,0.908062498883198,0.9071918266117323,0.9370614467900698,0.9246023170344729,0.9201656680152365,0.9190227044566043
T11,0.9591045059693992,0.902958683173366,0.9356585920599901,0.8932475726819249,0.9058770430986205,0.8819820981860893,0.9579352593387062,0.8607627082093828,0.8999555927042213,0.8694374857065053,1.0,0.8946268245011326,0.8855744054379318,0.9047315700088406,0.8970952053211794,0.8676234350462034,0.8786768701144051,0.8854916818863864,0.8403449214083303,0.8598688258923649
T12,0.891786845319963,0.9086303928191316,0.9121702695841595,0.9040432092814029,0.9135678624360708,0.8910646822069581,0.864166695844217,0.8952771803108545,0.8970711979313386,0.8964443730004077,0.8946268245011326,1.0,0.8944326328418456,0.9042084956933197,0.9162406411661014,0.9004444660965624,0.8979976511587959,0.9213077234633705,0.8721750581883837,0.9080447169529857
T13,0.8937083592185212,0.904004137994567,0.9174236513769025,0.9061406024315818,0.9209974046461915,0.9222269068154455,0.8595089342928806,0.89907482813859,0.8988305902939031,0.9182794339506211,0.8855744054379318,0.8944326328418456,1.0,0.8869874698835841,0.9057831729422168,0.8967838075822552,0.9290067018204861,0.9207251108825448,0.8987220909424167,0.9119784789905762
T14,0.9048002651835834,0.8915736052551465,0.9065096589904378,0.8855057192520986,0.9008541990913522,0.8707555542185622,0.8855397369541742,0.8704134903065192,0.9034421889950938,0.8751072894069112,0.9047315700088406,0.9042084956933197,0.8869874698835841,1.0,0.8730311470659243,0.8764004057271852,0.8842494753842045,0.8902052750709576,0.8552538277524823,0.8642670249632383
T15,0.9023353573278852,0.9200412440388477,0.9342100907572675,0.9155486471949729,0.9174919916352288,0.9273329086423756,0.8754048431652297,0.9036688383990055,0.9125976870039274,0.908062498883198,0.8970952053211794,0.9162406411661014,0.9057831729422168,0.8730311470659243,1.0,0.9129889377077973,0.9168320092908424,0.9319851498775281,0.8916276917055793,0.9145594845005552
T16,0.8872748999497008,0.9233627012985817,0.9207771601451445,0.8980334626892141,0.9217361440773011,0.9033129451675593,0.8489616998248162,0.9046658103967316,0.899709182783146,0.9071918266117323,0.8676234350462034,0.9004444660965624,0.8967838075822552,0.8764004057271852,0.9129889377077973,1.0,0.9225209956813135,0.9433771770300793,0.895441868984991,0.9289577516066571
T17,0.8888376024060145,0.9250274364013316,0.9281371922647552,0.9211497796343205,0.9235226450804029,0.934970945552764,0.8591998651922208,0.9149676575049477,0.9029113223107773,0.9370614467900698,0.8786768701144051,0.8979976511587959,0.9290067018204861,0.8842494753842045,0.9168320092908424,0.9225209956813135,1.0,0.9375455973423015,0.9402545723632254,0.9421184928791372
T18,0.9114013377509284,0.9389547921694356,0.9414889324258766,0.9157067821468015,0.9510143505109456,0.9246356107202375,0.8713880888752366,0.922355532385007,0.9084564860099358,0.9246023170344729,0.8854916818863864,0.9213077234633705,0.9207251108825448,0.8902052750709576,0.9319851498775281,0.9433771770300793,0.9375455973423015,1.0,0.9094529974152735,0.9431621658206011
