,spearman,pvalue,index1,index2
0,0.9999999999999999,2.3152321882724258e-189,AP.10,AP.10
1,0.28478632478632476,0.15850693426664988,AP.10,AP.7
2,-0.02358974358974359,0.9089330600136662,AP.10,AP.8
3,-0.2676923076923077,0.1861284492408197,AP.10,AP.9
4,0.3244444444444444,0.10586182023267644,AP.10,NS_1
5,-0.3244444444444444,0.10586182023267644,AP.10,NS_2
6,0.31897435897435894,0.11222397359967826,AP.10,T1
7,0.4673504273504273,0.016071677656712646,AP.10,T10
8,0.5268376068376068,0.005688595687707637,AP.10,T11
9,0.6184615384615384,0.0007582285649365327,AP.10,T12
10,0.06188034188034188,0.7639492368746058,AP.10,T13
11,-0.1699145299145299,0.40662553022789316,AP.10,T14
12,-0.3907692307692307,0.048401216038767694,AP.10,T15
13,0.18017094017094015,0.3784521584692998,AP.10,T16
14,-0.35794871794871796,0.07258210771708078,AP.10,T17
15,-0.5104273504273503,0.007715317854425542,AP.10,T18
16,-0.1747008547008547,0.3933351478333905,AP.10,T19
17,0.12615384615384614,0.5391585073042711,AP.10,T2
18,0.17128205128205126,0.40280293925139,AP.10,T20
19,0.04957264957264957,0.8099520587665144,AP.10,T3
20,0.20410256410256405,0.3172533184570911,AP.10,T4
21,0.35794871794871796,0.07258210771708078,AP.10,T5
22,0.7661538461538462,5.051302067949874e-06,AP.10,T6
23,0.46871794871794875,0.01572311535511007,AP.10,T7
24,0.0030769230769230765,0.9880978710589009,AP.10,T8
25,0.4242735042735042,0.030756195782354917,AP.10,T9
26,0.9999999999999999,2.3152321882724258e-189,AP.7,AP.7
27,-0.4646153846153846,0.016787869254013446,AP.7,AP.8
28,-0.19247863247863245,0.34617585560141473,AP.7,AP.9
29,0.2834188034188034,0.16060304171913053,AP.7,NS_1
30,-0.14666666666666667,0.4746359847360758,AP.7,NS_2
31,-0.032478632478632474,0.8748464667916028,AP.7,T1
32,0.3818803418803418,0.05421290785715785,AP.7,T10
33,0.6533333333333332,0.0002959489300446758,AP.7,T11
34,0.3011965811965812,0.13484965036938648,AP.7,T12
35,0.3182905982905983,0.11303864906635508,AP.7,T13
36,0.17743589743589744,0.38585263819604465,AP.7,T14
37,-0.5268376068376068,0.005688595687707637,AP.7,T15
38,-0.13914529914529913,0.49782248280054353,AP.7,T16
39,-0.6841025641025641,0.00011635745447086373,AP.7,T17
40,-0.6697435897435897,0.00018228435902982885,AP.7,T18
41,-0.4523076923076923,0.020342518612027457,AP.7,T19
42,0.27794871794871795,0.169183408053848,AP.7,T2
43,0.33196581196581193,0.09755612861441441,AP.7,T20
44,0.12410256410256408,0.5458290014621017,AP.7,T3
45,-0.2834188034188034,0.16060304171913053,AP.7,T4
46,-0.03658119658119658,0.8591835535388535,AP.7,T5
47,0.19999999999999998,0.3272868812797852,AP.7,T6
48,0.5617094017094016,0.0028258238773439326,AP.7,T7
49,0.0030769230769230765,0.9880978710589009,AP.7,T8
50,0.5234188034188034,0.006068916179581472,AP.7,T9
51,0.9999999999999999,2.3152321882724258e-189,AP.8,AP.8
52,0.0776068376068376,0.7063028899263866,AP.8,AP.9
53,0.0605128205128205,0.7690253590768366,AP.8,NS_1
54,0.15008547008547007,0.46428345473964194,AP.8,NS_2
55,0.28478632478632476,0.15850693426664988,AP.8,T1
56,0.08170940170940172,0.6915062731609445,AP.8,T10
57,-0.4441025641025641,0.02303671143540106,AP.8,T11
58,-0.05641025641025641,0.7843086478542027,AP.8,T12
59,0.018803418803418803,0.9273564412292927,AP.8,T13
60,-0.388034188034188,0.0501346758807918,AP.8,T14
61,0.5548717948717948,0.003260615383693003,AP.8,T15
62,0.018803418803418803,0.9273564412292927,AP.8,T16
63,0.3456410256410256,0.08371687370692052,AP.8,T17
64,0.3449572649572649,0.08437136984701651,AP.8,T18
65,0.13435897435897434,0.5128654568168938,AP.8,T19
66,-0.3811965811965812,0.054681570328788155,AP.8,T2
67,0.030427350427350425,0.8826955404852086,AP.8,T20
68,0.11931623931623932,0.5615407062932042,AP.8,T3
69,0.4133333333333333,0.03583116275026307,AP.8,T4
70,0.025641025641025637,0.9010507897194637,AP.8,T5
71,-0.14119658119658116,0.49144351516315854,AP.8,T6
72,-0.08512820512820513,0.6792591630063669,AP.8,T7
