,CA.1,CA.2,CA.3,CA.4
CA.1,1.0,0.8214114452808008,0.8491477070197522,0.9091783816116049
CA.2,0.8214114452808008,1.0,0.8207542275890106,0.8961113870474176
CA.3,0.8491477070197522,0.8207542275890106,1.0,0.8549272706948926
CA.4,0.9091783816116049,0.8961113870474176,0.8549272706948926,1.0
