,AD2,AD3,AD4,AD5,AD7,AD8,AD9,AD19,AD20,GSM3304958,GSM3304961,GSM3304962,GSM3304963,GSM3304964,GSM3304965,GSM3304966,GSM3304967,GSM3304970,GSM3304971,GSM3304974,GSM3304977,GSM3304980,GSM3304981,GSM3304982,GSM3304983,GSM3304986,GSM3304987,GSM3304989,GSM3304991,GSM3304992,GSM3304995,GSM3304996,GSM3304997,GSM3304998,GSM3304999,GSM3305000,GSM3305001,GSM3305002,GSM3305003,GSM3305005,GSM3305007,GSM3305009,GSM3305011,GSM3305013,GSM3305014,GSM3305015,GSM3305016,GSM3305017,GSM3305018,GSM3305019,GSM3305022,GSM3305023,GSM3305024,GSM3305026,GSM3305027,GSM3305028,GSM3305029,GSM3305030,GSM3305031,GSM3305032,GSM3305033,GSM3305034,GSM3305035,GSM3305036,GSM3305037,GSM3305038,GSM3305039,GSM3305040,GSM3305041,GSM3305042,GSM3305043,GSM3305044,GSM3305045,GSM3305046,GSM3305047,GSM3305048,GSM3305049,GSM3305052,GSM3305053,GSM3305054,GSM3305055,GSM3305056,GSM3305057,GSM3305058,GSM3305059,GSM3305063,GSM3305065,GSM3305066,GSM3305067,GSM3305070,GSM3305071,GSM3305072,GSM3305073,GSM3305074,GSM3305075,GSM3305077,GSM3305079,GSM3305080,GSM3305081,GSM3305082,GSM3305087,GSM3305090,GSM3305091
AD2,1.0,0.9538593040036558,0.9405380625898808,0.9532567367922156,0.9308731193580861,0.906133526122436,0.927603552141453,0.9320703993564545,0.9451894278382799,0.8648339828679822,0.9392283442300008,0.9578882579135531,0.9299043890671055,0.934829808311787,0.9180762129206202,0.9091268666076676,0.8896898393468232,0.8930977200438542,0.8800739855267675,0.9416338743071855,0.8910415712522047,0.9271777797933838,0.9196699521422038,0.9150542504735184,0.9300159084000775,0.9017975544865223,0.9340844405622164,0.9301530147078334,0.9124506062193997,0.9454535881228746,0.936157067388263,0.9023365438215619,0.9339898991291518,0.9177013643019802,0.9512606929160482,0.9267593269199981,0.9140422341117874,0.929018175249518,0.9332445900070054,0.9195198401781136,0.9015621220068748,0.9211482042250373,0.9156035547068224,0.9411413805469606,0.9248293727268363,0.8842742784638027,0.9370787385298589,0.9428740134587773,0.9226559271144532,0.8911397140568589,0.8469315639806172,0.9160226426366481,0.916322391655621,0.9267597182257002,0.8716873323381431,0.9259761317410339,0.9215721391870897,0.9379104314221619,0.9347056347269539,0.9299811682802487,0.9290595386416141,0.9373903864056085,0.9135620445294829,0.945024839740469,0.9247805374873554,0.9402041337685738,0.9435490661028781,0.9209760432826086,0.922848003956218,0.9418031552025538,0.9138675276361747,0.9256201462823704,0.8054876118949463,0.8690993649284676,0.9235839022834811,0.915437482757144,0.9570513808650079,0.9234939747558002,0.8919619433969621,0.9446450532261245,0.9299273437326594,0.9120526833648863,0.8951775061780556,0.9191219776470544,0.9402887633939269,0.91877812183114,0.9361896519466957,0.8805384302238668,0.8931395977636463,0.9442721906744431,0.9241427991947222,0.9325482312244451,0.894249210220496,0.9274912434709538,0.9404183987127892,0.9302929610836537,0.9199807705228442,0.9345992880932651,0.9188694404788127,0.8646300292003902,0.9444397565754901,0.8981744112421495,0.9243878462768623
AD3,0.9538593040036558,1.0,0.9516279174464031,0.9485834277442488,0.9535977035429927,0.933235911030888,0.9385591887617063,0.9420243286404527,0.9631169156016388,0.8617847550529503,0.9525390590130833,0.9532478778676566,0.9217671840994613,0.9423013464767788,0.9179403987712755,0.9012115637665206,0.8894590313113949,0.8835164716292299,0.8897730341038022,0.9408794946080565,0.9082290556638123,0.9299024425308196,0.9202199162342687,0.9238612131293041,0.9296868768139739,0.9184303282834507,0.9371354778706603,0.9405474910256875,0.9267829655446075,0.9519679902443872,0.9342602392482969,0.9140369087793044,0.933737775588752,0.9199820005928525,0.9341700873531964,0.925451298197339,0.9244543019945654,0.9407657155251169,0.9315538513064868,0.9397975927149993,0.9160409502986075,0.9189512903001853,0.9170111713889686,0.9409898801309178,0.9211341686361486,0.8908537436033629,0.9416574669950271,0.9446460431140538,0.943842034516513,0.9086803190257869,0.8691357418378756,0.9092805107660173,0.9302150750032501,0.9224119025551866,0.8840800019827066,0.9152946359079692,0.9307292617792277,0.9467952729648893,0.934075206868003,0.9302157221656507,0.9472343120400746,0.9492713914613429,0.9199669476669428,0.937546597252271,0.9292415618869565,0.9329368934687441,0.9382947408581415,0.9173694798433941,0.9111164514014901,0.9335386766381727,0.9119705624667804,0.9232518852231029,0.8298220834518343,0.8567750316226417,0.9270994380866588,0.9146944486546783,0.94808216901259,0.9135383667497492,0.9110758096469436,0.9433071609836441,0.9331388235280859,0.9127739731918848,0.9072659475103292,0.9348233715562335,0.9485464904140928,0.9385215633344405,0.935497598292426,0.9061318761466172,0.9200982182150969,0.947716681866227,0.9335685217131242,0.9267532549225932,0.8976705851494723,0.9260260257877616,0.9471106161114206,0.9270054838350491,0.9229800017199146,0.9317121168011939,0.9239330139420728,0.8774054483066044,0.9382365570342442,0.890848675555313,0.9301927125836771
AD4,0.9405380625898808,0.9516279174464031,1.0,0.956358422408246,0.9625998977256097,0.9454538442632554,0.9388161486937366,0.9349784250932303,0.95040752316855,0.8807297640678093,0.9565695384490631,0.9511985629906747,0.9372264572745681,0.9248488146496899,0.9458844554715155,0.9287532634431063,0.9254446794399609,0.8775521273698701,0.9165948002787684,0.9454590828436278,0.9164969889349703,0.9417921093851919,0.9513180562684297,0.9277047276336172,0.9495409447768736,0.9419301222916076,0.9438979743110623,0.9293160308614955,0.9316872652420847,0.9522967698193603,0.9427932471495214,0.923885254104162,0.9419610989730544,0.937448162591953,0.9407360471493854,0.9095852587369558,0.9422898877549436,0.9622263715471059,0.9573252741025522,0.9431988684081819,0.9465577663742457,0.9317206939590861,0.9501210695242919,0.9524042253291805,0.9184479087891796,0.9190283978208017,0.9282856144922194,0.9460119791409699,0.944063331670159,0.9331862024274664,0.9001440177664929,0.9190580414852567,0.9519877808364016,0.934190490224107,0.9049364346261535,0.9381607184764692,0.9518470427291746,0.9550979611520864,0.9412106435242392,0.9458649765198308,0.9345340617093916,0.9442900225801213,0.9497502205730439,0.9393734513966024,0.943959276219651,0.949480945432509,0.9536986780203865,0.9414311164544155,0.9323270486163302,0.9469774951884882,0.9341498483552376,0.9465650652683374,0.8594609554060736,0.89696611472085,0.9449436749937524,0.9389445526759752,0.9411341748902038,0.9291783928865248,0.9211605361552471,0.9572582169203894,0.9441178832716978,0.934063252937578,0.9335540793563867,0.951440698692665,0.9606824193612695,0.9324643196748913,0.9491817373060221,0.937502971889156,0.9137847668575577,0.9431086932406281,0.939640608030376,0.9462616954851552,0.9188794417491077,0.9478270148531741,0.948835371423034,0.9499467794354953,0.9395212150858696,0.9359366828991467,0.9352197052384084,0.9156939561563258,0.9450042570464334,0.8906221198833489,0.9407336429569167
AD5,0.9532567367922156,0.9485834277442488,0.956358422408246,1.0,0.9484111082800831,0.9313315597657579,0.9403715792131978,0.9377785328648858,0.9374712015385669,0.8584085455399239,0.9496083009796842,0.9514502293695691,0.9186990800817195,0.9249782414989938,0.9292471572104692,0.9062178374959364,0.9097074733660776,0.8896506354563953,0.8958487729570913,0.9305862931056683,0.9003263367408886,0.9321339480707601,0.9339511642634389,0.9300059702723293,0.9308025863962437,0.9211776653537787,0.9401456257617504,0.9237277386391971,0.9236728084449033,0.947024052422825,0.9475719445586742,0.9122245055192365,0.9306799119660818,0.9223950241002495,0.9383507428975203,0.9302870211970372,0.9130785048776184,0.939867406567685,0.9358758574020003,0.938550466299681,0.9219465994889577,0.9144004025953663,0.9293119966390964,0.9479131301118904,0.9094373308396989,0.8887090129309028,0.9246088460881111,0.944988309241973,0.9409573605780671,0.9083087452675294,0.8708252032570805,0.9249579314025687,0.9278491346225789,0.9421618838833429,0.8903672100876553,0.9217689249158851,0.9343141605993223,0.9426713027043985,0.9350439052168569,0.945565174671429,0.9205464368046088,0.9306776617623259,0.9258025445673382,0.9293190666071245,0.9274169742309982,0.9321360756187139,0.9385481911589382,0.9372639985114183,0.9274050844386912,0.9332870373425847,0.9233465206493735,0.9338549709459706,0.8305577368442473,0.8929593709138169,0.935996743217467,0.9168120005129237,0.9458777229785211,0.9194717360505079,0.9013704052181428,0.9509753541774022,0.9326723368368012,0.9204105053910092,0.9079673475777021,0.9310155563640611,0.9454545861879747,0.9213092932772663,0.939637163391238,0.9026848866559233,0.9041672187068432,0.9367415250935576,0.926312224101815,0.9259379224477126,0.896969118256882,0.928262420635423,0.9419750509603814,0.9400231108957685,0.925081046363666,0.9285779104647419,0.9204356615839062,0.8870156937891838,0.9448695429587214,0.8990791055766959,0.9227455594007892
AD7,0.9308731193580861,0.9535977035429927,0.9625998977256097,0.9484111082800831,1.0,0.9612949213692911,0.952318787509064,0.9450410759246253,0.9470674146760164,0.888974826636662,0.956560003536146,0.9539164206728061,0.9258830416931078,0.9257212582024905,0.9423310986525844,0.9300489394047305,0.9112007303517992,0.8555468460389303,0.9182308530510264,0.9507562689666806,0.9200844549868834,0.9400800399125477,0.9428307508597914,0.9320762380397484,0.946558515328879,0.9490044098349502,0.9333484703164214,0.9287419392477444,0.9486066456795847,0.9532108148811431,0.9350691555015606,0.9178563272938476,0.9428618908546296,0.9324608313106341,0.9278836474829182,0.9128205343882546,0.9500214569870951,0.9542229575330297,0.9436111103516066,0.9445447226175161,0.9494182675072728,0.9378557994107256,0.9409308207345763,0.9490265148253709,0.9304808872686738,0.9011636371900088,0.9339297174943973,0.943182773371297,0.9410366914318972,0.9391178467980911,0.9137322366360706,0.9233592785442674,0.9590417997615697,0.930926111305158,0.8992948418331956,0.9273867068858882,0.953128977098482,0.9558022977307794,0.9294646045275682,0.9435075579280531,0.9414172071991672,0.9416871924455738,0.9473934075274195,0.9335520023107996,0.9440183874378658,0.9395384164043585,0.9518033106919055,0.9407488776415928,0.9208651178250173,0.9419779758057226,0.9328499608052526,0.9379133479409913,0.8707693058183809,0.8711862737971474,0.9371192705187987,0.9405697193282324,0.9391965971705913,0.9141028479456615,0.9395662610388245,0.9553104762102468,0.9512314700021315,0.9325109712631415,0.9341005298396587,0.9477050359716738,0.9582947477901218,0.9206799250575055,0.9316825237972726,0.9405714100228378,0.9311432566326391,0.9572521608960229,0.9584952012628106,0.9416658475247929,0.9284783408437948,0.9459175535130427,0.9507351733654357,0.9374758666653243,0.9458515361183722,0.9539260421742315,0.944343917923091,0.923600100670624,0.9389772064729502,0.8821613891658967,0.9459689469284189
AD8,0.906133526122436,0.933235911030888,0.9454538442632554,0.9313315597657579,0.9612949213692911,1.0,0.9304099142602175,0.917074163501171,0.9290125006000505,0.8741570653348005,0.9350134677089091,0.9310647948625224,0.9093841206932373,0.9034133273689133,0.9343019605806389,0.9222640139493006,0.8941053268576437,0.8241945903648921,0.904942221097474,0.9305060240346917,0.9140595053088384,0.9049504295229918,0.9260372721845483,0.9234229569690992,0.9227515002176881,0.9332971063472265,0.9147240494858621,0.8922044545585891,0.9279221778250091,0.9369763568381901,0.9081930595979195,0.8901080210332295,0.9295102409464432,0.92226481041344,0.9008500355012888,0.8922211237911405,0.9277038336464277,0.9319814859290889,0.9300867392092956,0.9280977802796133,0.9317163289612687,0.9124599537845024,0.9288740323788015,0.939272240331555,0.8990167830154926,0.8996191687535557,0.912985350984444,0.9283387621694744,0.9201978788082759,0.9274044909917234,0.9067979452757342,0.912218733759826,0.9364012508589374,0.9110537668256661,0.9025203844852614,0.8914038070832334,0.9323186376246991,0.9341839154391237,0.9218366457351569,0.9261547191018982,0.9177511669937557,0.9130565999844994,0.9324464026732573,0.8955937666965218,0.9234711777724232,0.913954022599818,0.9271038794513583,0.9207611264319248,0.8984011921240938,0.9130192440501865,0.9163662854677267,0.9203755625681127,0.8618681389060338,0.848880483477604,0.915829299372661,0.9257553569190735,0.9135781965764515,0.8880428051879338,0.9188143589262828,0.9278884764265606,0.9233944672210477,0.9133168352779327,0.9221998470696141,0.9355015407616962,0.9332405924929451,0.9070123006491528,0.9190866121910731,0.925656872620791,0.9075861964736969,0.9262411543038732,0.9237548577289273,0.9274129634275732,0.9126129664197424,0.9267042143003212,0.9257725188115155,0.9166262931835868,0.930154790017562,0.9213297888095617,0.923646955168597,0.9185290459799095,0.9324938222403353,0.8446122386577588,0.9343790719115491
AD9,0.927603552141453,0.9385591887617063,0.9388161486937366,0.9403715792131978,0.952318787509064,0.9304099142602175,1.0,0.9855858329137165,0.9348799084625176,0.844648634437646,0.9430160270919686,0.9381392751450588,0.9310986217936612,0.9103666878113312,0.9188690868248524,0.8971898392401966,0.9006633632970314,0.8583706508686039,0.8995862515643077,0.929457040098142,0.9091085703283666,0.9303406214062746,0.9270946370953185,0.9352127271522187,0.9099902500571062,0.9237274171233881,0.9178126460920616,0.9075688964529147,0.9256055615506323,0.9472397886108652,0.926435997780501,0.9058097429706938,0.9402704812382268,0.9263391210088476,0.9196553126065742,0.9276335552502466,0.9188824487403888,0.9380911136424895,0.9385488895088947,0.9439600209812657,0.9235921076421231,0.9284886176911422,0.9146681227744715,0.9390064399882344,0.9140421296863978,0.8903978233488997,0.9167665709586085,0.9346770042232165,0.9331915214046167,0.9150997609114018,0.8831964621822845,0.9041047901601387,0.9332204134286434,0.9316612645652643,0.8893092727235666,0.9111832426611173,0.9276378108495473,0.9292107264915354,0.9241552655957003,0.9279074262069613,0.9217979562975771,0.9308603779981368,0.9298636210333938,0.9204370849556408,0.9157250455972612,0.9323877335976325,0.9296519220330589,0.9311643407113446,0.9159900273948064,0.9238241879010619,0.9073144041203302,0.9130148932573378,0.838634157603617,0.8756053761664868,0.9339538697700104,0.9125291984383799,0.9264664586844991,0.9118074873123652,0.9101917505050116,0.9322729143695994,0.9426900570550496,0.9247488721885803,0.9054336633178584,0.9336834073840791,0.9385671358222959,0.9101868507659903,0.9104258181886551,0.9165312907326268,0.9238363599746768,0.9415719893055418,0.9402136245554511,0.9110614144554662,0.8959116911736241,0.9234668395767444,0.9348077659757504,0.9153424688697486,0.9185966554813234,0.9326907577790707,0.9342059120276897,0.8940899877682288,0.920819949789679,0.8889511970380901,0.916503965401515
AD19,0.9320703993564545,0.9420243286404527,0.9349784250932303,0.9377785328648858,0.9450410759246253,0.917074163501171,0.9855858329137165,1.0,0.9358578257659272,0.833225277887571,0.9422404600209277,0.9348603376331305,0.930622729455023,0.9133004280310542,0.9066783572437419,0.8842213926588257,0.892458827516048,0.8734728500232601,0.8852437470491612,0.9255608137583667,0.8989863019264588,0.9352416216576384,0.9202002317404314,0.9319442474904592,0.9068007246836564,0.9082222944428154,0.9222359843314403,0.919079451862075,0.9202139496103033,0.9483853433163127,0.9299547485216295,0.9143675949576462,0.9341853869816525,0.9197984048056359,0.9239957594715169,0.927719757006086,0.9108563143976476,0.9347674302051715,0.9358586635238653,0.9425394817990759,0.9154589262678802,0.9235649553882324,0.9038424379069157,0.9310493556017783,0.915681362534531,0.8833910462148438,0.923312777994104,0.935871166476637,0.9315048851248611,0.9073512353622833,0.8599511568739922,0.8982233839452329,0.9294159442081379,0.9347225764817548,0.8711766881781241,0.9171405435311294,0.9200968391252179,0.9266086812677977,0.9196964672318668,0.921880416926772,0.9224096321357554,0.9342089422719472,0.9228992546503902,0.9283292863611903,0.9107209144249364,0.9359026708932163,0.922585191356957,0.9247933533766179,0.9162438796737636,0.9248918224365942,0.8999128841492466,0.9032882581246597,0.8242955416747562,0.8774112670898643,0.931990973537504,0.8974757514030833,0.9288706512455909,0.9207401544727472,0.9027661609082802,0.9293459971628999,0.9456567882417707,0.9219234156472994,0.8885419686188732,0.9314031917181117,0.9359916140350077,0.9100542696465659,0.9095641025192706,0.9030634450510364,0.9192679839804173,0.9424478097599783,0.9404491130059452,0.901539245445418,0.8837236584640001,0.9203731091770861,0.9333106452435641,0.9169460850309328,0.9090540137271124,0.9296397806259898,0.9325314928801942,0.8759620715492724,0.9166970532303715,0.9053409682365854,0.9045840947195435
AD20,0.9451894278382799,0.9631169156016388,0.95040752316855,0.9374712015385669,0.9470674146760164,0.9290125006000505,0.9348799084625176,0.9358578257659272,1.0,0.8545950055906157,0.9477903502171985,0.9455635878534799,0.9295552990187376,0.9420477812500551,0.9176076221368301,0.9013723308731417,0.887317134476157,0.8860598293108575,0.8889806910931441,0.942800323239718,0.9082305144205904,0.9346651046841802,0.9211512224105224,0.9166523914480884,0.9314647200739402,0.9180630755534295,0.936909202087264,0.9413274799698774,0.9205958719640275,0.9507948542447947,0.9356990888425232,0.9129542208147543,0.9363668105633001,0.9203610934517666,0.9335958336944163,0.9129668714994582,0.9262838813300037,0.9436640217207224,0.9365690509125993,0.9323277057982331,0.9256914516867645,0.9244510241596121,0.9203637020675572,0.937288058256855,0.9207893064100898,0.8963809106589588,0.939416819135246,0.9402388501214463,0.9315824253780022,0.9090315010474305,0.865224078974921,0.8953369775340242,0.9336205238540332,0.9175732985226875,0.872415980121283,0.9266067426630543,0.9288749823724427,0.946119197930316,0.9333128398343586,0.9278310522264125,0.9422692184596578,0.9470496430019283,0.9267741197784166,0.940317493870353,0.9329283172625971,0.9396358108700018,0.9388445625716466,0.9175784580308569,0.9104141057466296,0.9394345153478689,0.9100910532698938,0.9245517794112261,0.8275374581881334,0.855595830016214,0.9281681394206749,0.9173408429144924,0.9403434714803033,0.9186492321692036,0.9076294422581831,0.9472607988208275,0.9342085763573863,0.9142006901195927,0.9088691888338273,0.9426539828843035,0.9529815902171389,0.9402265818044988,0.932286555614609,0.910312818938213,0.9113982368899772,0.9455158706208298,0.9291000791084856,0.9285883341852248,0.8937436957662552,0.9264468827058335,0.9429585222949584,0.925400639979588,0.9243924176683838,0.9284839791445479,0.924394965813886,0.8801210523401838,0.9308856746575981,0.88725021535,0.9245532672379122
GSM3304958,0.8648339828679822,0.8617847550529503,0.8807297640678093,0.8584085455399239,0.888974826636662,0.8741570653348005,0.844648634437646,0.833225277887571,0.8545950055906157,1.0,0.8537434303107992,0.8701171505343057,0.8393788776674891,0.8534153399943447,0.8956118125530108,0.9177372195663293,0.8513884325285834,0.7500847657179976,0.8931682104231999,0.8829778194704547,0.8829423980302371,0.8278081517992205,0.873077469346979,0.8492959687594485,0.9020778431124368,0.8921697689298704,0.8324923974866573,0.8246863003557751,0.8842346094473347,0.8591949839939712,0.8298656198630614,0.7946963044796396,0.874228372109851,0.8749655103669995,0.8457982882469226,0.8073719989973162,0.8976030625554903,0.8732603423724535,0.8641073783776119,0.8338035694374814,0.8586178773658855,0.8446874356940652,0.8981306631457187,0.8842870486379959,0.8665275716883793,0.858911433248388,0.8520491584908512,0.8559568988999118,0.8467548903044338,0.8859011673358435,0.8994346384000081,0.8692718599363908,0.88720954085555,0.8294631075284286,0.8758801036621233,0.8235048500228479,0.8981438179254949,0.8969597138995836,0.8437430970596126,0.8690458086770607,0.8609852143976275,0.8497744420678595,0.8738445203729385,0.841222584852414,0.8930013818541395,0.8412086451129897,0.8936688055134072,0.8669662640957686,0.8502844709880588,0.8641910409408523,0.8796558203309904,0.887752881482635,0.8490651940800297,0.7869478391543834,0.8481309245589727,0.9075221932752615,0.8576292198365806,0.8119034133077985,0.8889400205125141,0.8734612971066551,0.8456357507589233,0.8542098732327053,0.9075673157214885,0.8580527000431453,0.8719646467711564,0.8303018777558844,0.8687221134839587,0.8807755059201152,0.8619420259255988,0.878541862787197,0.8689304743051813,0.9140250826750659,0.9139722007577004,0.8865455797356039,0.8623800468960896,0.8595211389955982,0.9056735116304829,0.8844620592215854,0.8651834001410176,0.8920904959537578,0.8934109640564889,0.7574909893756084,0.9126852386085667
