,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088,AP.7,AP.8,AP.9,AP.10
GSM2674167,1.0,0.9676406675544889,0.9622137327417776,0.9388522164349278,0.9393355954110253,0.9041415771501754,0.9730742450366003,0.9720549168020131,0.9398914745385172,0.9531777293502082,0.9131265774794035,0.9467448958841972,0.9162880437854143,0.9272445762714587,0.8769079715030029,0.9416812868316539,0.8843355968293205,0.9375960674967168,0.8649387397801257,0.8845784505883046,0.8744113319180137,0.9329851782580317,0.8671660749253808,0.8947405429244676,0.8991396868367816,0.8830602558602806,0.8785646519670721,0.9017951769795113,0.9031156640745984,0.8621845945401738,0.8621271141878579,0.9408874846164382,0.9380277870886586,0.9309290025744243,0.9265829214163931,0.9300141532323124,0.9339823499840967,0.9456392979645024,0.9133642309441647,0.892764545837895,0.9478542695027028,0.9481634528130147,0.9335930936454869,0.9352092640683537,0.9204314741105876,0.8749195550571116,0.9458843739015005,0.932846303962333,0.8682112980739676,0.9501186285465272,0.9184556800391177,0.9300995018814041,0.9469554152405343,0.9512132630819444,0.9520091546404492
GSM2674173,0.9676406675544889,1.0,0.9569045068553329,0.9321174965184563,0.9288804998810513,0.9190223237267291,0.9621487533538008,0.9522068834544979,0.936410940399719,0.9455530893379803,0.9079184143133556,0.9470537775955773,0.9148289830438336,0.9347167032735915,0.8826503858771296,0.9365002583924567,0.9001814504406014,0.9410458463797181,0.8720735488265561,0.9056219463220385,0.8832948120678403,0.9293969314629238,0.8758207462430402,0.8964071816252568,0.9082263045156937,0.8981366231394502,0.8881051055542399,0.905390678344029,0.9140059270519139,0.8710062730430324,0.8728257115823912,0.9299125331217953,0.9304056280107681,0.9197034127376884,0.9280714546202693,0.9296183942151067,0.9304195519302693,0.9455032568799256,0.9131368319976906,0.9028945126781316,0.9474584624966957,0.9421289322949745,0.9331125959797458,0.9353743334137421,0.921654931455084,0.8833485633131649,0.938904950650069,0.933218137108286,0.8791281099127805,0.9479114539489247,0.9092896817598977,0.918136801522179,0.9356876497243657,0.9420994953314711,0.9475622898656846
GSM2674157,0.9622137327417776,0.9569045068553329,1.0,0.9361901554375889,0.9349333561299197,0.9120380672172731,0.9656814557976888,0.948324844601688,0.9567869692498047,0.9559741134374544,0.8976755401381209,0.9300986354988409,0.9010804138661115,0.9177247761400457,0.8702564360516698,0.9430082635300313,0.8860785418323043,0.9133442161850658,0.8658467039909511,0.8869549882949198,0.8702901543660919,0.9090830918918197,0.8745177387389089,0.9011469855314607,0.9047541852637275,0.8779146545310789,0.8701871406367104,0.9029949426707937,0.9036312911000046,0.8680992263989818,0.8576400116452533,0.9094777752718766,0.9043405112390529,0.904681190172258,0.911380919405712,0.9089489372237759,0.9179510169335906,0.936885780814704,0.8954091914557348,0.876085011135299,0.934714476772113,0.9380326746136189,0.9109085837013591,0.9294334756501733,0.903622917598061,0.8531341113022244,0.9238090991334929,0.9140522321757051,0.8523515547940811,0.9428586763514875,0.8829513507228427,0.8957982026047552,0.9200901438195459,0.9296465266021355,0.9335796386479696
GSM2674158,0.9388522164349278,0.9321174965184563,0.9361901554375889,1.0,0.9294156779725904,0.9138559939244151,0.9443113300221231,0.9416332881907397,0.9450419235207272,0.9332859309944578,0.8911644662737943,0.9245137188907904,0.9184877601303826,0.9212740387456786,0.8880255470127157,0.9502582779074729,0.8809982546531384,0.9038456368661354,0.8820329505904292,0.8825966713564072,0.8861621322834746,0.9156032149996045,0.9005696060626542,0.8941571285450208,0.9106431549633333,0.8873111529454009,0.8950247701917777,0.9033546469467673,0.9217624831934745,0.864081589956306,0.8832003655625408,0.9148486628531367,0.9112539587840943,0.91955628792964,0.8909407121571195,0.8902575282922481,0.9159776885290509,0.9361070855138951,0.8698109967645743,0.8922635600129998,0.9160903570575056,0.9281781404012647,0.9170748476144471,0.916334801128149,0.8745647564834236,0.845726868897624,0.9250803733566942,0.9118625204218448,0.8564816861419384,0.9365854752780268,0.885176021123013,0.8998421721939934,0.9174928672622354,0.919039905838462,0.9279176339415665
GSM2674159,0.9393355954110253,0.9288804998810513,0.9349333561299197,0.9294156779725904,1.0,0.8948367222777187,0.9499615678479422,0.9542662533557659,0.9334866438770717,0.9283322192289076,0.8155024380762351,0.8911473351993683,0.8928047783711955,0.897890346300783,0.8435112691208037,0.9331758679249573,0.8418260881623039,0.8713715767413515,0.8412374792366888,0.8498976598465356,0.856739673374544,0.8736202377101379,0.855110657778023,0.8703515665257666,0.8779707573381007,0.8537645419187709,0.8827123125235781,0.9040608990797774,0.9135171856875592,0.8746745637120403,0.874098695379721,0.8944552044659997,0.9167607610534694,0.9090453960616854,0.8726061239991073,0.8780647818555793,0.9087684123867126,0.9365314402135357,0.8411968613573446,0.856615540359557,0.8992148325233839,0.9200195235470319,0.9288018068110154,0.9022765618279325,0.8434782495898094,0.8176684635605059,0.9203874175142015,0.9073878687286214,0.8247705420633883,0.9301447913222985,0.8983235078151255,0.8791327900660435,0.9258545873228765,0.9197870577263563,0.9143422883513315
GSM2674160,0.9041415771501754,0.9190223237267291,0.9120380672172731,0.9138559939244151,0.8948367222777187,1.0,0.9229982566145226,0.9062820996096649,0.92172128466123,0.9238772303989936,0.8734019419869311,0.9146466417994435,0.9290531107789306,0.929487559310849,0.9007854998058292,0.932870323354047,0.9100619420335654,0.8920686254215877,0.8962169532659372,0.9268682181476292,0.8954508923712606,0.8980982874641537,0.9186289356577907,0.9081988887194663,0.9067491670425617,0.9311344168300646,0.9194512384723486,0.9134650613073243,0.9293400227963223,0.887762528702871,0.9146742523669259,0.877585002365358,0.8920226854621499,0.9003310342454071,0.8991523685304634,0.8804296146954441,0.9212559391875589,0.9283010774343872,0.8795872990212406,0.9221148859217019,0.9151965050991736,0.918702194811905,0.8851033016676005,0.9344618158215889,0.8897595486004964,0.8711189511460564,0.915981050759972,0.9304170524873068,0.8423511254432288,0.9128783579473808,0.8671770819197783,0.871848973411723,0.8982277032615356,0.900731692222944,0.9179768347651294
GSM2674161,0.9730742450366003,0.9621487533538008,0.9656814557976888,0.9443113300221231,0.9499615678479422,0.9229982566145226,1.0,0.9754149980335493,0.9610894920700466,0.9651377619605621,0.9063701429312724,0.9519674907973905,0.9205348626451519,0.9383236525651644,0.8856778867536421,0.9568074702578762,0.8921864675470091,0.9331942080455102,0.8700364856010455,0.8910746809217042,0.8906430392846463,0.9340251533555043,0.8900018970552379,0.9146857038885858,0.9052823099180715,0.8999825697241498,0.8988082622548489,0.9146085594361075,0.9295993835434054,0.8757466267746739,0.8826751892681465,0.9436154750375607,0.9398149235105531,0.936355543769636,0.9264581591302344,0.9286179166122462,0.9451513104898047,0.9533182523823166,0.9061798287652595,0.9041149277888306,0.9477683574283096,0.9517073138541686,0.9442592574682475,0.947607139356778,0.913942785064639,0.8804774315465407,0.9483663130108916,0.938018907012489,0.8747249953316206,0.9610311172464513,0.9206137734731392,0.9211336116746078,0.9498045294789754,0.9489272285937257,0.9533799238615247
GSM2674162,0.9720549168020131,0.9522068834544979,0.948324844601688,0.9416332881907397,0.9542662533557659,0.9062820996096649,0.9754149980335493,1.0,0.9420872202974646,0.9523537973128091,0.8981789050778279,0.9404951928246372,0.9139077435602054,0.9323879248602239,0.8708127788555626,0.9458896685389128,0.8759860141751549,0.9315824504886087,0.8570107141629661,0.8750439355200496,0.8771290192798811,0.9331621394006594,0.8736525608982807,0.9007911565596354,0.8962388966105344,0.8869322328181303,0.884425648463765,0.9079096396568379,0.9162723529879324,0.8666275773074872,0.8726892162303328,0.9500528024055107,0.9472769338262315,0.9397243483282806,0.9211076231407572,0.9247286978429542,0.9348173286228052,0.9466073657221901,0.9037865812487009,0.8964997228520113,0.9412756379193913,0.942318143651719,0.9389230624442011,0.9356612162546494,0.9108552033629209,0.8769353749914363,0.9496174877008523,0.936629854775933,0.8704819319337871,0.9498305611646477,0.9329813073270431,0.9316173029753635,0.9547002650410596,0.9517756452193322,0.9528539057394169
GSM2674163,0.9398914745385172,0.936410940399719,0.9567869692498047,0.9450419235207272,0.9334866438770717,0.92172128466123,0.9610894920700466,0.9420872202974646,1.0,0.9526767111683488,0.9009746500819018,0.9247496151736169,0.9110103476236735,0.9240993952199957,0.8927107566918533,0.9570121560566541,0.8939231182977325,0.8916537237759008,0.8894381278145519,0.8881357824631145,0.8941661963744076,0.9072571317952879,0.9079767820140013,0.9101520475152991,0.9060124152130333,0.9011647379589888,0.8963264723187928,0.9112698738330073,0.9269375411819631,0.8768014763133611,0.8889546642299625,0.9065671991953295,0.9033782243125336,0.9107713853970147,0.8952043352417716,0.8914454470222211,0.920882252429292,0.9390939977758944,0.8689279291339269,0.8852542450005033,0.9189014278272277,0.9244958506683996,0.916406867999915,0.9225626026752554,0.8761123472980559,0.8433934919798722,0.9273044392061928,0.9096579355961429,0.8506137569337611,0.9423119580879369,0.8770602612445236,0.8999186245718684,0.9148402687388131,0.9284484042305083,0.9221262161213112
GSM2674164,0.9531777293502082,0.9455530893379803,0.9559741134374544,0.9332859309944578,0.9283322192289076,0.9238772303989936,0.9651377619605621,0.9523537973128091,0.9526767111683488,1.0,0.9131138617722576,0.9378451761660893,0.9162569426082706,0.9361160202932122,0.895160744961143,0.9532190745158213,0.9063788316982717,0.9099686481816154,0.8892104917953376,0.8973631883852864,0.8988641754368086,0.9204437051645225,0.8868886274191794,0.9290465716462941,0.9042655050407832,0.9064970931776791,0.9013684485431618,0.9235995276098178,0.9262890117085485,0.8893342052465153,0.8890576879093866,0.9235007278725484,0.9176824005045136,0.9213948607763289,0.917264871119949,0.9082728902505633,0.9338678549215792,0.9440960821316833,0.8956292069847174,0.8921440010800672,0.9335060899928943,0.9381715191254499,0.9130434610577582,0.9375836960544177,0.9053151635506035,0.8636735824974383,0.9344404514016106,0.9264042139915998,0.8522995906691656,0.945078234931093,0.8942326664907929,0.911185722871975,0.9356088110811212,0.9336522289736953,0.9394420378301028
