,spearman,pvalue,index1,index2
0,1.0,0.0,CA.1,CA.1
1,-0.04425651867512333,0.7754502736285909,CA.1,CA.2
2,0.649753347427766,1.8197217224350248e-06,CA.1,CA.3
3,0.3768851303735024,0.011677000632854123,CA.1,CA.4
4,0.18604651162790697,0.22660278827228394,CA.1,CL.1
5,-0.383368569415081,0.010206671505941753,CA.1,CL.10
6,0.45229034531360107,0.002053716259695759,CA.1,CL.2
7,0.18407329105003523,0.2316549393607493,CA.1,CL.3
8,0.017899929527836506,0.9081869923571572,CA.1,CL.4
9,0.2463706835799859,0.10692905958803003,CA.1,CL.5
10,0.24073291050035234,0.11545972872400151,CA.1,CL.6
11,-0.40775193798449605,0.0060073268358689655,CA.1,CL.7
12,0.3601127554615926,0.016344830296054103,CA.1,CL.8
13,-0.048907681465821,0.7525595728779046,CA.1,CL.9
14,-0.6379140239605356,3.196918774558213e-06,CA.1,HP.1
15,0.0057787174066243835,0.9703028587368264,CA.1,HP.2
16,-0.2945736434108527,0.05225351886594973,CA.1,HP.3
17,-0.01014799154334038,0.9478731032265204,CA.1,HP.4
18,0.06723044397463002,0.6645722864467618,CA.1,HP.5
19,0.25933756166314303,0.08914049803309684,CA.1,HP.6
20,0.24256518675123326,0.11263253063291022,CA.1,N1
21,0.22100070472163494,0.1494024411856686,CA.1,N10
22,0.7019027484143763,1.1039473222288021e-07,CA.1,N11
23,0.43692741367159965,0.0030224755456278026,CA.1,N12
24,-0.008456659619450317,0.956551809617139,CA.1,N13
25,0.06553911205073995,0.6725310243694023,CA.1,N14
26,0.25243128964059197,0.09830452447927054,CA.1,N15
27,0.25130373502466524,0.0998671563117471,CA.1,N16
28,0.38632840028188864,0.009590111066580545,CA.1,N17
29,0.5281183932346722,0.00022915485733198554,CA.1,N18
30,0.24876673713883013,0.10345282268243876,CA.1,N19
31,0.1744890768146582,0.2572873559823273,CA.1,N2
32,0.0009866102889358704,0.9949286604858447,CA.1,N20
33,-0.001973220577871741,0.9898575184251405,CA.1,N3
34,0.624383368569415,5.9164723346681e-06,CA.1,N4
35,0.36067653276955597,0.016165510269103567,CA.1,N5
36,0.3932346723044397,0.008274590804874717,CA.1,N6
37,0.16631430584918958,0.2805960651377046,CA.1,N7
38,0.38153629316420007,0.010605144377196753,CA.1,N8
39,0.38224101479915434,0.010450335767250277,CA.1,N9
40,0.10105708245243128,0.5139412301469206,CA.1,SSP_3
41,0.6250880902043692,5.733910422371148e-06,CA.1,SSP_4
42,0.5227625088090204,0.0002721993348291807,CA.1,SSP_7
43,0.4307258632840028,0.003515274093146235,CA.1,SSP_8
44,1.0,0.0,CA.2,CA.2
45,-0.3124735729386892,0.03891628057217576,CA.2,CA.3
46,-0.09584214235377025,0.5360019455337093,CA.2,CA.4
47,-0.07089499647639182,0.6474538153294382,CA.2,CL.1
48,0.07625088090204368,0.6227564703259348,CA.2,CL.10
49,0.14559548978153627,0.34567774741429735,CA.2,CL.2
50,0.4607470049330514,0.0016474779309873628,CA.2,CL.3
51,0.2545454545454545,0.09542538956013834,CA.2,CL.4
52,-0.19464411557434813,0.20547582426827118,CA.2,CL.5
