,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088,AP.7,AP.8,AP.9,AP.10
GSM2674167,1.0,0.9691039461292839,0.9635773815956805,0.9401940660779845,0.9458788852253536,0.9037795599532715,0.9735049461740257,0.973189097829538,0.9416797899055476,0.9548657486256938,0.9231484322427183,0.9486764581501939,0.9201013210474001,0.9310038626403186,0.8817479901342626,0.9451609402028195,0.8923926694594678,0.938570037366712,0.8734478670450035,0.8864140978636734,0.8816932251234313,0.9342589242066307,0.8722963172990242,0.9003480584258746,0.895827873082007,0.8891977442163043,0.8833997927033814,0.906169718745459,0.9066157679815721,0.8694072634656009,0.8709508569257578,0.9416128174198434,0.9392358779040278,0.9329141584651345,0.9303762743706204,0.93343637909997,0.9381548064730512,0.9462899506541994,0.9195141356920363,0.8926458871869174,0.9498313774925158,0.9506676256591097,0.9337487344963581,0.9370007615543677,0.9284452847478831,0.8792344518098907,0.9498348693351193,0.9354792060892801,0.8704876389622893,0.9515830785590128,0.9119452046770165,0.9338538558651189,0.943879149258509,0.95255254331781,0.95187840309048
GSM2674173,0.9691039461292839,1.0,0.9585992498378533,0.9348514646237425,0.937284599289843,0.9170029030177062,0.9628893862208574,0.9543475030147154,0.9395926909478123,0.9463183823728517,0.9161362977602628,0.9472052961649647,0.9192034808272306,0.9366755290550645,0.8874605221462427,0.9406715452697783,0.9066518489759657,0.9396098868421602,0.8816999024918322,0.9068175496694867,0.8899942289966931,0.929453689842699,0.8821910465339634,0.9017280044037709,0.9061751138871227,0.9026922822436885,0.8931540994335907,0.9109926116103068,0.9175013620368447,0.878647553816103,0.8820626005055088,0.9299717113131633,0.9312769614893794,0.9212547473700377,0.9301719010978563,0.9320198389094064,0.9342947613684696,0.9471034469996178,0.9171518050394548,0.9016676791680293,0.9481911226843421,0.9445394627676974,0.9340522987222518,0.9358731935064967,0.9269302042922204,0.8836072834470284,0.9424159037166813,0.9340384665452145,0.8813751777818097,0.9486211445379733,0.9018701060150798,0.9220031643713295,0.9328815522115348,0.9426966847496144,0.9462314000925841
GSM2674157,0.9635773815956805,0.9585992498378533,1.0,0.939366675919643,0.9412634376253318,0.9106481098589003,0.9657016860790592,0.9501573613953787,0.9590053655044234,0.9565791957266382,0.910088056497024,0.9326233107707486,0.9060903745277031,0.920443929317591,0.8745690625051,0.9471748608008179,0.8925842459523294,0.9140819943298235,0.8747018365685544,0.8871280883443416,0.8777339416187503,0.9100020898069316,0.8816232674785304,0.9043318964228779,0.9025381160258393,0.8829026848984209,0.8750413106884347,0.9066489994978535,0.9067600065455365,0.8742064077882784,0.866614655421122,0.9106577332561662,0.904871218386019,0.9060833756400725,0.9138057012194789,0.9115588420308651,0.9220151204907495,0.9381561700042321,0.9006642408923428,0.8764888062870759,0.9374677223726648,0.9412936020652188,0.9111249152311004,0.9293213968323946,0.9108593127740883,0.8549138282031349,0.9278489606101018,0.9158523565874065,0.8544138232485908,0.9438636005217403,0.874149185062135,0.8995525565349947,0.9167767989145043,0.9308577041519062,0.9334551016492085
GSM2674158,0.9401940660779845,0.9348514646237425,0.939366675919643,1.0,0.9340101289648064,0.9179801605974413,0.9450955361324584,0.9426778553070034,0.946891187430853,0.935421293532096,0.9028220670234053,0.9271636850651176,0.9215424400767733,0.9248002939493233,0.8938864695450467,0.9512516095859941,0.8881662929650668,0.9059071905808629,0.8900794886539939,0.8877583525638029,0.8927537217610229,0.9179489799671883,0.905208795334917,0.8992446932421381,0.9104308150610236,0.8928936301354254,0.8961008580162141,0.9063867646788453,0.9236497116691665,0.8690471496124375,0.8892741409350753,0.9129412275934206,0.9078390911034684,0.9192093545570379,0.8969521427608614,0.8936596061065064,0.9185226082875662,0.936870162397789,0.8770618559686939,0.8949338372568917,0.9188239342369304,0.9294427947621523,0.915016365022498,0.9182002332903025,0.8839184472150168,0.8527705261790209,0.925645740779508,0.9135292746247621,0.8627288531766557,0.9362438298353525,0.8722585403938707,0.8999433339992228,0.911477314892434,0.9171104410164428,0.9259028974967648
GSM2674159,0.9458788852253536,0.937284599289843,0.9412634376253318,0.9340101289648064,1.0,0.8992273444736851,0.9538153014983405,0.9580722616336373,0.9375567819910694,0.9339730029204304,0.8402434768446609,0.9020608221824014,0.8995282179724885,0.9074080653488508,0.8548662424473109,0.937951008615086,0.8565300237595814,0.8814621163519256,0.8536486513029069,0.8598806401531047,0.8682560727673915,0.8844214058907676,0.864025016114958,0.8794928025826687,0.8807884723922167,0.8661740676570825,0.8867174940547919,0.9095925941131713,0.916127951441399,0.8808105532827575,0.8828161768565119,0.901532609460151,0.9192811822801328,0.9126729931947641,0.8842451040768898,0.8886761618183887,0.9161446052183079,0.940342641411314,0.8577484502498152,0.8638137661115807,0.9078644788680786,0.9250861319211692,0.9300335258118919,0.9097693463551102,0.8630078456125365,0.832015066867794,0.9269094203403961,0.9138426602853172,0.8375480144331118,0.9334754470623405,0.8923321976861877,0.8894932080330523,0.9244886338127882,0.9244698017371887,0.9196274275952997
GSM2674160,0.9037795599532715,0.9170029030177062,0.9106481098589003,0.9179801605974413,0.8992273444736851,1.0,0.921323882483199,0.9056552927343935,0.9206390317361501,0.9239001493846263,0.8845650855247537,0.9122346592545231,0.929520255406897,0.9276812945883265,0.9036947637454141,0.9335136776599662,0.9131354587300192,0.8888081280003142,0.9023255405546803,0.9256601885481888,0.8999361774532249,0.8965616725718866,0.9177455711777229,0.9097575540897241,0.9018970404601171,0.9334121859390835,0.9197090941916538,0.9138453378399091,0.930922736278888,0.8907261298605216,0.9173282672262703,0.873254069059975,0.8876064202861221,0.8984034236875538,0.9010652960011677,0.8792372939167303,0.9185703419412248,0.9277024866603641,0.8803296862706721,0.919181006335559,0.9125233205896465,0.9182728999596927,0.8795946098569543,0.9334940962047027,0.8914055213550502,0.8692354934750918,0.9134104890255373,0.9295587796024188,0.8416341429217765,0.9104746211075904,0.8493092712620725,0.8722336320656895,0.8907767635991758,0.8956667493476027,0.9133272996157381
GSM2674161,0.9735049461740257,0.9628893862208574,0.9657016860790592,0.9450955361324584,0.9538153014983405,0.921323882483199,1.0,0.97575703845964,0.9633499247563945,0.9671329777878174,0.9193850963656273,0.955452130611069,0.9220612913278506,0.9411978366777053,0.8911457516493042,0.9589672449281715,0.8980075465180953,0.9345822468422521,0.8769678811979376,0.892238237797459,0.8964496293198575,0.9373133465385312,0.8953921058549761,0.9188150183515553,0.9013355823509653,0.9061188067718574,0.9020167236841669,0.9153735790359776,0.932108084145007,0.8800142676549918,0.888580390201543,0.9454586580399238,0.940066730189312,0.9384875498686633,0.9292129947662424,0.9326425717801788,0.9488056416627886,0.9552745671211749,0.9115505176556817,0.9053430147986777,0.9484384114337936,0.9523133662966761,0.9458016820595339,0.948431688616866,0.9212551160978449,0.8870022888522774,0.9501212749232287,0.939118577886048,0.880683175307458,0.9625577558402679,0.9144337258379596,0.9255844806805621,0.9489993128919989,0.9492719266360045,0.9526620974879928
GSM2674162,0.973189097829538,0.9543475030147154,0.9501573613953787,0.9426778553070034,0.9580722616336373,0.9056552927343935,0.97575703845964,1.0,0.9434818512258062,0.9536847899071216,0.9104403165671051,0.9434771750342928,0.9168041159300826,0.9364435810541467,0.8769430717837361,0.946837886762493,0.8839150240630194,0.9334050985496826,0.8651657107574181,0.8781329567313914,0.8830456623764728,0.9366456252200092,0.8781085522936892,0.9057377391668633,0.8926826301324414,0.8929000264332659,0.8862310795810998,0.9109448620427563,0.9175334557727274,0.8715811178203388,0.8793291145962121,0.9496798382719314,0.9472180775900536,0.9417914997065112,0.9250692083446791,0.9289801408967648,0.9380060163933395,0.9475855538993813,0.9112218511012573,0.8981109357793671,0.9431961744467497,0.9434965368062762,0.9398613205727439,0.9362384786621668,0.9201685301607795,0.8845867944341953,0.9518020665299267,0.9393954527135532,0.8756235379715329,0.9502819341689772,0.9264783961430867,0.9353846151224406,0.9512322009586082,0.952198348957115,0.952240260249635
GSM2674163,0.9416797899055476,0.9395926909478123,0.9590053655044234,0.946891187430853,0.9375567819910694,0.9206390317361501,0.9633499247563945,0.9434818512258062,1.0,0.9545788199536067,0.9144478523213361,0.9291387962980565,0.9134197840043166,0.9261076880883262,0.896327342919738,0.958477482449946,0.8979057217021579,0.8946375865118575,0.8937204267152825,0.8904310861873787,0.8985535577477527,0.9106293114577697,0.9124620624106825,0.9129418437935485,0.9049267676287815,0.9060912886294377,0.8982644811891756,0.9122033368961259,0.9279545744409762,0.8811660675295774,0.893268972520655,0.9083060209070257,0.9032844633083553,0.9119107775663101,0.898678924930105,0.8970467345066356,0.9249910651915991,0.9422651113820807,0.8751161816665232,0.8872742682641863,0.9217719440424333,0.926555284991496,0.9182079573983485,0.9246706517022968,0.8850755507092728,0.850370280279448,0.9281834165895123,0.9109671179639878,0.8565444232578335,0.9437064072038022,0.8686426160555899,0.9016568354428173,0.9135712398883963,0.9273427097007363,0.9223021696187961
GSM2674164,0.9548657486256938,0.9463183823728517,0.9565791957266382,0.935421293532096,0.9339730029204304,0.9239001493846263,0.9671329777878174,0.9536847899071216,0.9545788199536067,1.0,0.9246494326866279,0.9399178484252921,0.9188097835927539,0.936403673135005,0.8992121195815761,0.9557048571900935,0.909823082495364,0.9095464028357967,0.8934067139379507,0.8983470736936566,0.9049355706946162,0.9218162703194541,0.8901657686688785,0.9325866205982832,0.8999405587931206,0.9107739398274798,0.9044976472066141,0.9232057686257873,0.9283362042470452,0.8922374300933629,0.8939583972761631,0.9238183312203088,0.9161829598243635,0.9228697269574291,0.9194759418738477,0.9121510741491299,0.9363569806508443,0.9467885275630324,0.9005169706514629,0.891843432501823,0.9339077671444069,0.9403562333976857,0.9133125013884384,0.94017183745412,0.9123942697212011,0.8672032645901728,0.9349720940361865,0.9273436670496401,0.856096249771816,0.9456907605818978,0.8849968403809892,0.9126587445354717,0.934717533113621,0.9329604945001184,0.9384708130363443
