,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM2674196,1.0,0.9778776774993083,0.9795913531544891,0.9252380620454242,0.9328380493970804,0.9342731799770735,0.9157658117041982,0.9624291238476745,0.9657341458671085,0.9689138225786887,0.9703222044956914,0.9752352844120817,0.9721165645987947,0.9647467072759958,0.9723990111011336,0.9262135890165158,0.9660531082360707,0.9344017504460055,0.9691763033819333,0.9432828334472584,0.9134819430398678,0.9490582663143061,0.9441343730483533,0.9350513478317579,0.9331924727017655,0.907521830298475,0.9429105779932279,0.9035808708661002,0.9209835596104182,0.9183561818607638,0.9419100767797226,0.9308607959657879,0.8945460586138941,0.7153418110394407,0.762497298195424,0.677590054636961,0.7949795229099094,0.9548976560947843,0.9493771513192026,0.9332915791289429,0.9558773116709413,0.9534021739402031,0.9509799352905168,0.9520881974859547,0.9511659350418735,0.9580946154560505,0.9550821284869987,0.9444703976752151,0.9328640837165874,0.9201050880987952,0.9324412085805462,0.9294317759874359,0.9034122483063988,0.8978841927019269,0.9318398636611834,0.9144831756201535,0.9182294758928716,0.9358007908522341,0.9319441288154803,0.9309595614466397,0.9284373556358774,0.9104599554587508,0.9109315786804218,0.9055838293433768,0.8882123662235161,0.9566989958435351,0.9538015468272256,0.934359365915069,0.9032762581150197,0.8848576461709922,0.9095558211474122,0.9274535966113663,0.8351420095562098,0.8898877957758701
GSM2674188,0.9778776774993083,1.0,0.9778940940701226,0.9285107700261163,0.9450078684288378,0.9404067118336766,0.9265296048311134,0.969624247280271,0.9597672188042771,0.9757936012723943,0.9680367179610655,0.9730894662936718,0.9713101808197928,0.9710369742516557,0.9717030359430271,0.9371553076450676,0.9722148744704,0.936619262099762,0.9679392610488529,0.9504850862233958,0.9088696916282076,0.9469439400916645,0.9415958654180445,0.9318253741905391,0.9298659096739452,0.9059734912428503,0.9421607262921464,0.8997231854823767,0.9217055700708884,0.9115939735436757,0.9405593860101661,0.9262664280273607,0.8882585319197132,0.7245739740372079,0.7676725213590365,0.6842947122557055,0.8030061307106883,0.9538181437632677,0.9433330246369254,0.9269417893366243,0.9535463931480852,0.9456079259882814,0.9505115775270443,0.9584082297544362,0.9502076119980724,0.9557019046620155,0.9592827625842257,0.9474183487620444,0.9225340302059054,0.9135050384304312,0.9265674561071955,0.9195826544436315,0.898296145672929,0.8982520376035702,0.9314183921768742,0.9106606398330019,0.9153764215203988,0.9378162772889611,0.9282671231570799,0.935510497962776,0.929515417629974,0.9066962295251911,0.9076205388619913,0.9062307141443281,0.8836265832392413,0.960775671929465,0.9483840487795526,0.934116424703935,0.8988200281580979,0.878198904663609,0.9163469053770187,0.9299765169036537,0.8435250850199482,0.8805143457848184
GSM2674189,0.9795913531544891,0.9778940940701226,1.0,0.9330372556378436,0.9401797875958927,0.9367645344771329,0.9153644558984818,0.9647728699190263,0.9571309764888135,0.968582861557202,0.9737391179518816,0.979976725696628,0.9780307446914358,0.9694954705991915,0.9750114019718835,0.917619292823351,0.967593399684015,0.9195391955123994,0.9758711615891656,0.9429980171230719,0.9258317212636771,0.9454749779699614,0.9421512840109635,0.9295818392661297,0.9368399279871595,0.9192371928198213,0.9491817225220969,0.9122620728292801,0.9325325199941871,0.9247334773806878,0.9421331962526446,0.9410071446566014,0.9047572556193711,0.7162102165314188,0.7408144651048476,0.6676308417968985,0.7907993706384852,0.958911497004824,0.957342613662308,0.9428092054024433,0.9623753426141806,0.9554937393466039,0.9642238541674559,0.9573019649168495,0.9580425371651637,0.9617789687846751,0.9595089591326591,0.950279509879243,0.932697560908516,0.9259391867757275,0.9354456782337787,0.939300762255624,0.9037450290371687,0.902398164064501,0.9313613634140319,0.9165920579271358,0.9236723183223331,0.9359249760027938,0.9224816268269187,0.9296579074906409,0.9189465243907987,0.910322117325809,0.9124341386613981,0.9084048158385104,0.8862623702878015,0.959208086852159,0.9585657350134137,0.9362760560048298,0.9071487757102544,0.8835270936581218,0.902300182881122,0.9352665178004436,0.8330513613482667,0.8929540151171913
GSM2674190,0.9252380620454242,0.9285107700261163,0.9330372556378436,1.0,0.9813659707111174,0.9848916311642244,0.9791542991249647,0.9619802202561358,0.953863348402412,0.9552957733217735,0.9585032053071433,0.9555449738440639,0.958947142932931,0.9577314503763701,0.9145249085282134,0.9575584832426715,0.9558417284634412,0.9325830435550319,0.9653232956998531,0.95827523180921,0.9003586399869532,0.9110501961306087,0.9083780228144533,0.9014508999187599,0.9113404584742091,0.8740609352773917,0.9081675518886508,0.8912911999162777,0.9294713098974369,0.888461159594703,0.9012341205168848,0.9261582816441677,0.9209634915396318,0.7284040823147463,0.7753337468716207,0.6160000019169458,0.8090357054501893,0.9128054174486254,0.9074540661851277,0.890240412623271,0.9200196661551059,0.9193947295964696,0.9253449359771968,0.9169551771272915,0.9383633449856381,0.903723447781357,0.917043301529046,0.940207239227734,0.8969386151160093,0.9190771759370856,0.9023303298922524,0.904939319725811,0.9193392459946217,0.8979571321073924,0.9135877707042344,0.8624246108584397,0.8842038639033519,0.9277166388576343,0.882424998396364,0.945612656935352,0.9244939647156865,0.9263196246157896,0.92517844058972,0.9362079852347044,0.9050462462845845,0.9082008445378223,0.8833709064374412,0.9259121086238692,0.8824030837368231,0.8285180883608321,0.9108997033491062,0.93763996501942,0.9006158176825494,0.8967700298220332
GSM2674191,0.9328380493970804,0.9450078684288378,0.9401797875958927,0.9813659707111174,1.0,0.9832024049943844,0.9801882875325082,0.9704230491599666,0.955358097285238,0.9634952503736735,0.9599115135264666,0.9592547077324343,0.9631171038263217,0.9687888824562255,0.9268751958330852,0.9613433522050016,0.9650764604219488,0.9320937414709921,0.9663638695944211,0.9607459680375722,0.9022316532329236,0.9172890489006591,0.913915576358504,0.9050170452397929,0.9139168436085148,0.8793515567597723,0.9126959180749883,0.8926002390346146,0.9273893898756684,0.8876528084625842,0.9126884523901915,0.920409875400789,0.908996586144437,0.7292981436215322,0.7751775159524735,0.6236224519314306,0.8124377840279035,0.91975720301015,0.9079933004816445,0.8956869497486997,0.9292823875667902,0.9214901015788389,0.9325649565034863,0.9306391144120585,0.9425071797286902,0.9145246211420506,0.9271973279035101,0.947702012007713,0.8937455131410843,0.9126497249637184,0.9015236269775068,0.9041006499305233,0.9097409865473916,0.9010324363842224,0.917078082427398,0.8699911843824369,0.8905765600630334,0.9316362081777178,0.8917590336570589,0.9463533164756879,0.9260200943983562,0.919130656709111,0.9191056777456726,0.9308556249253527,0.8988919744035432,0.921843167227272,0.8916744319458464,0.9270398201045662,0.8846053416937191,0.8336299336902396,0.9185617306462803,0.9420071988470511,0.8969354653532834,0.8861599632349333
GSM2674192,0.9342731799770735,0.9404067118336766,0.9367645344771329,0.9848916311642244,0.9832024049943844,1.0,0.9805143980683717,0.9706621571254842,0.9630188125792964,0.9668710705737078,0.9635170820536142,0.9611151256601479,0.9614835285206433,0.9669184785398975,0.9211234075912202,0.9649556207992699,0.9616769982360882,0.9405162311791806,0.9661330608036979,0.9613408336405088,0.8994742620317767,0.9174022894019548,0.9138533420503342,0.9092291374736361,0.9147686441249047,0.8745582937761696,0.9125143039401739,0.8902667459796567,0.9288740250703048,0.8899201421329245,0.9086188662562357,0.9238336893219329,0.9161943627818357,0.7333352096039888,0.793487082834519,0.6295511162822632,0.8195966907853617,0.918103947839952,0.908719215792699,0.8889398614599756,0.9236422509612382,0.9211367989736208,0.9252874713892382,0.9241505005988124,0.9405880958861805,0.9105869350749004,0.9224335692090874,0.9432686466025757,0.8983311579787915,0.9156424931405035,0.9038930625458305,0.903166432620731,0.9219951976216509,0.9026782985457946,0.9175422450662919,0.8684227939590662,0.88781862527041,0.9315650283285035,0.8967525643389347,0.9509994115767239,0.9372964614502408,0.9306566608703924,0.9307785731485204,0.9368637925789604,0.9078438675011522,0.918185719973299,0.8870376961960881,0.9285722718134775,0.8846104267342025,0.8352289481856607,0.9206238353625779,0.9395512219165976,0.9016176577675983,0.8950826467788631
GSM2674193,0.9157658117041982,0.9265296048311134,0.9153644558984818,0.9791542991249647,0.9801882875325082,0.9805143980683717,1.0,0.9558864233368364,0.9457038667337692,0.9514166094901422,0.9485076718852273,0.9425203671352183,0.9450396838114231,0.9492131682622573,0.9080665846765151,0.9662937276417669,0.9546977988771795,0.9381334925364646,0.9521110150759678,0.9606703089353994,0.8856218743583832,0.9047690315223578,0.8952679273718435,0.8943404814138831,0.8980698002272438,0.854779505679276,0.8919774134034608,0.8719235237854011,0.9179919578635399,0.8723368670953978,0.8959126702853297,0.9094030208671091,0.897197261768084,0.7345576122274081,0.7893820339206036,0.6255273194490817,0.8162029957645455,0.9036330117782038,0.8903535987140676,0.8756593844094064,0.9082834272849037,0.9088554265636011,0.9144687454245962,0.9117988111109719,0.9286171372456212,0.8925259824301456,0.9142357079623795,0.9381038351922181,0.8852918549797707,0.9087636046222212,0.8879708896453959,0.8827283407445623,0.9092706236184318,0.8893169264399091,0.9088864902817608,0.8511593371653343,0.8757573498615582,0.9260628585493684,0.8780345479168573,0.9424717128185245,0.9182828131512697,0.9132926544405343,0.9121298833774684,0.9253274710683517,0.8905575792801116,0.9051751805926702,0.8672248166913061,0.9191905822926701,0.865594953866882,0.8173243749652667,0.9194367174509033,0.9292616076151835,0.9085625394131277,0.8780928221136071
GSM2674194,0.9624291238476745,0.969624247280271,0.9647728699190263,0.9619802202561358,0.9704230491599666,0.9706621571254842,0.9558864233368364,1.0,0.9754742312056834,0.9843451196208146,0.9801828301053317,0.9794607930856469,0.9821668837281189,0.9838216369263683,0.9606494878694659,0.9533243030076191,0.9746809995994572,0.9357943928699517,0.977370005096723,0.9581842480898957,0.9162869647248323,0.9402984203410949,0.939122039359122,0.9293923642553438,0.9268416942661498,0.891494474515206,0.9308450089367067,0.9037187215829193,0.9288100060546941,0.903069720735901,0.9354779244167641,0.9295477140877305,0.9079972781519632,0.7422472892241133,0.7866618631893441,0.6593540592641675,0.824858838652783,0.9475712139605775,0.9347093554929339,0.9163363906888616,0.9507227418471285,0.9466980709617893,0.9479316890390718,0.9555899457781062,0.9547300355076823,0.9452047752600414,0.9540010729215492,0.9577279763537943,0.9237009534018565,0.9190593845376371,0.9254099313614407,0.9268740068140418,0.9219574801300201,0.915171677451477,0.9292541410358767,0.8984598422658298,0.9077972350916378,0.9388548795621644,0.9245658701615399,0.9486983326848818,0.9415385275799344,0.9277105980277678,0.9318736722327619,0.9315044670686399,0.9040691672338508,0.9520089522989897,0.9252820660479394,0.9377141412615587,0.9038507252914003,0.8618957202937715,0.928538142306092,0.9484334027465758,0.8769493153489378,0.8957580310306499
GSM2674195,0.9657341458671085,0.9597672188042771,0.9571309764888135,0.953863348402412,0.955358097285238,0.9630188125792964,0.9457038667337692,0.9754742312056834,1.0,0.9753877685880359,0.9719639284721073,0.9730540562953198,0.9740627833669351,0.9715574505313536,0.9509994736457741,0.9467132590391681,0.9648336129797509,0.9443840400907029,0.9730286650014549,0.9487559404165162,0.9093655746715058,0.9423309085293028,0.941300669537439,0.9382618909116248,0.925982558514328,0.881546661155099,0.9247707139075807,0.8962200304242737,0.9244197954694989,0.9051321259026236,0.930994378141954,0.9298449007167529,0.9106624587250786,0.7439895354712776,0.8112438662229041,0.6809635948526576,0.833315907928329,0.9405551253268442,0.9316314508702124,0.9017585044853034,0.9456858199848653,0.9486093817669942,0.9357183173678844,0.943765500288539,0.9506936895339387,0.9401895399407217,0.9448245891085699,0.9475702719035783,0.9299848430352226,0.9241432872817712,0.924497585355066,0.9242685038630197,0.9339511998960335,0.911531304542331,0.9303548206914951,0.9016702097898402,0.9054396505596133,0.9342620870600276,0.9317572285852711,0.9492027515947193,0.9485753602689221,0.938045779266935,0.9425056747543828,0.9309474127870085,0.9127653692616741,0.9461113745591453,0.9191039279517274,0.9371255325071153,0.9057308232658486,0.8730192800638802,0.9273033347349028,0.937905138352774,0.8729733267917053,0.9068437669563144
GSM2674177,0.9689138225786887,0.9757936012723943,0.968582861557202,0.9552957733217735,0.9634952503736735,0.9668710705737078,0.9514166094901422,0.9843451196208146,0.9753877685880359,1.0,0.9811245206093869,0.9817124454336846,0.9757709668194854,0.9800807670522703,0.9578815454543397,0.9603163406657075,0.9778112764258378,0.9471480803719046,0.9745163624404072,0.9667618753279256,0.9135889447650839,0.9426089912146377,0.9385685324554024,0.9330913178634109,0.9306951768777868,0.8965304666724374,0.9381339363459104,0.90138117897107,0.9340927197655918,0.9143397902004388,0.9385208898460058,0.9353390840185745,0.9120308905640956,0.7467763516594338,0.8005801489731518,0.6760629937473663,0.831191621243736,0.9534475394033984,0.9408569703868944,0.9158382078660523,0.9515471712375709,0.9444399070397512,0.9448477775778611,0.9535204537460208,0.955638711748413,0.945262129271112,0.9526468367563591,0.9591043483212582,0.9252609812837912,0.9227105302286637,0.925691949371436,0.9197062659096337,0.9252028409543178,0.9093841307444253,0.934514736867829,0.8987889250594144,0.9130579747961257,0.9445427543185039,0.928783833113756,0.9569199109237301,0.9497298392525347,0.9332042172969045,0.9351390151555027,0.9338353647251193,0.9079769364384411,0.9554718003586015,0.9305509285596802,0.9420921366841744,0.9011538863277143,0.8658699459375798,0.9348185722014327,0.9465592805457225,0.8822393284154801,0.9003335169632426
