,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
AP.1,0.9548125567102718,0.9605636657595807,0.9516625459346506,0.9179904359266738,0.9350409047209604,0.9282919050853801,0.921505651253575,0.9532226495131078,0.9475279464876006,0.959226931111883,0.9529330443527018,0.9572563443637172,0.9536838135007158,0.9511490925904638,0.9467114198384031,0.9327704086874519,0.9626556863445381,0.9230182411645855,0.9512214056125892,0.9426240175458473,0.9167638401388672,0.9429829034667107,0.9353405185143341,0.9332084879910074,0.9193311281016517,0.915577022561663,0.9377702096299482,0.9348829680983728,0.9257907167406977,0.9448115104567802,0.9358869132689812,0.9033988082449886,0.9471608104188176,0.9165017220593998,0.9472675425707662,0.8504670426174245,0.948015843903922,0.7783865714568033,0.8025852464114104,0.7170010625624837,0.8497183083525053,0.9492239968957918,0.9333066610522882,0.9172351368202402,0.9552740597392304,0.9416517380323224,0.9448063842909267,0.9517756458653672,0.9493019149392323,0.9474668082909181,0.9521033742163095,0.9566808624541663,0.9259723088274988,0.9149988870331848,0.9137108705381642,0.9076183380914774,0.9058061254751238,0.9079279996940408,0.9069170792067711,0.874902687338557,0.9431883117920813,1.0,0.9477232523227209,0.9677087236701121,0.9553992409542067,0.8729820083253217,0.9119801209025865
AP.2,0.9431316176422133,0.9464708195100637,0.9459760334285895,0.9306433777844318,0.9363021726855105,0.9343089733391907,0.9296124039637029,0.9455688397197626,0.9382140952140317,0.9492296932012932,0.9540832210638023,0.955863293601509,0.9493008146809737,0.9431399533704381,0.9406761514438005,0.9360591317033891,0.9566937423646229,0.9314218356977657,0.9567845442278597,0.9505383539364076,0.9197251026598916,0.9368582142935532,0.926433728037564,0.9144723508904369,0.9298018076566475,0.9152719979329326,0.9247732999026615,0.9345526288772431,0.9211977795653837,0.9475456581100152,0.924702475024805,0.9020718423580337,0.9418838218089108,0.9127819454969894,0.9372446295581883,0.8255320993545584,0.9229335803384142,0.7707391942997178,0.7864495701081602,0.6895344561003934,0.8391696636984294,0.940654934910609,0.9331186917225831,0.9434133832789313,0.9460176692381487,0.9513159642021917,0.9562010429539514,0.9499069004532764,0.9675525443067625,0.9317241953163713,0.9528887960992805,0.9656000173110244,0.9317149145770559,0.9541220951346875,0.9269961886323074,0.9009897515022507,0.9037844139836578,0.932308336418877,0.9449023883478395,0.886042063187233,0.9491752752092483,0.9477232523227209,1.0,0.9543349673613567,0.9322848013049009,0.8552774789824598,0.9320843493596686
AP.3,0.9617670627801884,0.9648163847295207,0.9625220402937369,0.9041702199931616,0.923387362642334,0.9136204958972879,0.9042080110886034,0.9493671584616354,0.9380109316282031,0.9522629464171761,0.9547788082309869,0.9579016261476552,0.9544872653798552,0.9486576575569021,0.9600316444211968,0.913740367980478,0.9589456327240841,0.9084696878300788,0.9517432731092265,0.9298886431358514,0.921288727305521,0.9417131875902426,0.9330993721799157,0.9211346280808429,0.9084309306473463,0.9252914397555493,0.9344385660065857,0.9196896990169776,0.9310133569702059,0.9478802669043495,0.9388186401819347,0.8781968669368558,0.939233427484957,0.9259613998978938,0.9477321739825589,0.8151841847830866,0.9303037670451695,0.7572469390026033,0.7531650662777936,0.7055796844074312,0.8205105313024863,0.9654067007942093,0.9521562491124632,0.95410872722489,0.9639085023277023,0.9525305452859899,0.9615426217074949,0.9646618876411817,0.9548969484656471,0.9646733739935123,0.9657261888589278,0.9542721101153666,0.9382838406779197,0.9122089068032738,0.9230116278041898,0.9181314090960575,0.8847938887111897,0.899433034731651,0.9001362569828312,0.8584725512038546,0.9309300190910927,0.9677087236701121,0.9543349673613567,1.0,0.9534182226686557,0.8741984047452436,0.8901710357858212
AP.4,0.9347029558099783,0.9293430987454138,0.923681483841039,0.8872686459880805,0.8961448788405318,0.8965133950442702,0.8878034702843769,0.9177330764964766,0.9199393454248604,0.9305897771204673,0.9261201215909876,0.9295728372273961,0.9180618691430653,0.9130502345243884,0.9154264082427649,0.9058498830456746,0.93212630168218,0.9006147971737163,0.920227186020864,0.9146504832060828,0.909017431853567,0.9281886390765897,0.9190556055479131,0.9196642602478263,0.9102398724660501,0.9224345779678147,0.9270636620796221,0.9228327141175541,0.9002101448504286,0.9361093810582883,0.9295830958538029,0.8872132487947876,0.9457982340638964,0.9137093225279901,0.931962279377231,0.8320295573862734,0.9237969650455389,0.7950604436244086,0.7973395719051407,0.735513290370993,0.851070203629379,0.9463720176359096,0.9332258003472577,0.9206549204054127,0.9325770042822752,0.9176828753457236,0.9227342074040689,0.919209221328625,0.9264587323785803,0.9308173277084615,0.9259247964410788,0.9346195820786862,0.9413226260732966,0.9048321470221997,0.8943363154160939,0.8833123848093055,0.8936321523061163,0.8968837612767612,0.9099431089567902,0.8779127656408393,0.9271867476013931,0.9553992409542067,0.9322848013049009,0.9534182226686557,1.0,0.8986683905584903,0.9153555860208298
AP.5,0.8292871936814077,0.830591474934551,0.8195014837533624,0.7745600442890358,0.7874126299630417,0.7868587408882366,0.7823368811131415,0.822053740078616,0.8299994664294643,0.8257372367041582,0.8191630179923336,0.8296253034992657,0.8213528205665602,0.8080146010667437,0.827119299991059,0.8013625363968314,0.8227125967630539,0.8031195022245589,0.8265837943598001,0.8059298470387335,0.8532401102210694,0.8634004916689474,0.8649679381027358,0.8665057643199616,0.8602971873097333,0.8962954652584504,0.8673783292996843,0.8742453900554908,0.7877839390807817,0.8737154807765309,0.8798442145315587,0.8172984127311124,0.8851476501392642,0.8869480001238195,0.8630391306280614,0.7436001063045143,0.8617548842107955,0.8752703025223199,0.8258436288484646,0.8340536107157824,0.8983898233248561,0.8811828358111344,0.8693534302529559,0.8264248608003727,0.8673315498647629,0.8712282784590517,0.8522704601912686,0.8731405217190782,0.8686992339431726,0.8655414605385875,0.871327979111385,0.8550551168226278,0.9036061808092564,0.8457329017818128,0.8013672742183766,0.8142588937989403,0.8529293070416188,0.8313436269838752,0.8363066392121326,0.8298047114854633,0.8607211268242458,0.8729820083253217,0.8552774789824598,0.8741984047452436,0.8986683905584903,1.0,0.8212870506361061
AP.6,0.8850713113199771,0.8882166644376035,0.8764119152947298,0.8824086871458116,0.8837622598607161,0.8895063516231788,0.8878791104085828,0.8876293132647333,0.8904786649127361,0.9041582698153451,0.8925919059678329,0.8963821628726915,0.8798737689022513,0.8798942681930847,0.8636797271677602,0.9067122727485425,0.9045059257327547,0.9044526257124736,0.8901359486337729,0.9101343971447281,0.8711365093710611,0.8935007745116337,0.8802751617528267,0.8850059627147437,0.8977684417198577,0.8718584387403407,0.8840560337852662,0.9047073741233986,0.8713022510290094,0.9000680279617513,0.8833192894320739,0.8979968349527719,0.9170336514675624,0.8599184150802929,0.8936542367292858,0.8444689681445379,0.8908282435019393,0.7629682571551245,0.815056713782815,0.6991681365782646,0.8377587162551625,0.880114720452737,0.8657571878973936,0.8629867037930364,0.8744858211061082,0.8693550436175717,0.8796013965640151,0.8591802398811624,0.9005737937385051,0.8520061920743567,0.8864115154459193,0.9164316703031636,0.8825140044591324,0.9183641663778858,0.8735962972119912,0.8207598357204487,0.870410766440905,0.8870999351038059,0.9179628730387794,0.8744817778383944,0.9157010237082168,0.9119801209025865,0.9320843493596686,0.8901710357858212,0.9153555860208298,0.8212870506361061,1.0
