,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305069,GSM3305076,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
GSM3305006,1.0,0.927691849423933,0.9218498149904346,0.9395845741396043,0.8930937075518469,0.9381744492372731,0.9469428829593127,0.870412166670985,0.9234321137235585,0.9218201751888319,0.9231140590655368,0.9057009211472157,0.9455508886970215,0.9355336387867704,0.9281131920789997,0.9320298389562075,0.926475980054207,0.8668330166685657,0.8946734324750973
GSM3305012,0.927691849423933,1.0,0.8914942409832576,0.934341312973775,0.9228963097233294,0.9332241718990693,0.9129429546085917,0.8713604901382451,0.9298465354676407,0.9301736368909749,0.9328674852783743,0.9144546649628321,0.9546940652627405,0.9343867438155772,0.9361311869472109,0.9222442934396431,0.9232053858591023,0.8714245727867136,0.909201495858818
GSM3305060,0.9218498149904346,0.8914942409832576,1.0,0.9302739965474295,0.8696910858201438,0.911616488331582,0.9378792486738824,0.841755069065378,0.8999416771033657,0.902069273381876,0.9002877427610944,0.8564632926123885,0.9223268708130935,0.9215027408748117,0.923190747542872,0.9273259620658021,0.8941848728765369,0.7702041030158584,0.8765050440469446
GSM3305062,0.9395845741396043,0.934341312973775,0.9302739965474295,1.0,0.9035634244575316,0.9450186348395873,0.9449296856489704,0.8454904862883427,0.9209647900484215,0.9351165914838676,0.9366696489179981,0.9067729722462619,0.9471607751924529,0.9437501863081437,0.9495002748311717,0.9477789823180045,0.935089466947625,0.8658379050759251,0.9081348840010575
GSM3305069,0.8930937075518469,0.9228963097233294,0.8696910858201438,0.9035634244575316,1.0,0.9161308277988491,0.8945808840833932,0.8744842127897752,0.9095619419978002,0.9064966637875121,0.9050586165955996,0.8881623399573402,0.9306086477682315,0.9107747601002216,0.9081270236044503,0.8892413325356233,0.8977224032136428,0.8198046679370962,0.906480192410093
GSM3305076,0.9381744492372731,0.9332241718990693,0.911616488331582,0.9450186348395873,0.9161308277988491,1.0,0.9408474488372698,0.8404867044870992,0.9240908531080055,0.9306205626097104,0.9255872969909267,0.9150832105750597,0.9514375745428024,0.946491066958479,0.9427533802721075,0.9396839183397437,0.9472109929744169,0.8840971840212781,0.9241262616644644
GSM3305083,0.9469428829593127,0.9129429546085917,0.9378792486738824,0.9449296856489704,0.8945808840833932,0.9408474488372698,1.0,0.8645314924810014,0.927833767862793,0.9073210199838344,0.9117803945959329,0.8779179216427163,0.9344099766876222,0.9449651946602744,0.9407463011560123,0.9470327579891109,0.933975422236857,0.8620959822679288,0.9050135572023016
GSM3305085,0.870412166670985,0.8713604901382451,0.841755069065378,0.8454904862883427,0.8744842127897752,0.8404867044870992,0.8645314924810014,1.0,0.8729425241537955,0.8312308115727678,0.8469143815236055,0.830859893754556,0.8717941945133678,0.8581899843842635,0.8369705127778179,0.828441016159096,0.8445939721682919,0.753706105405007,0.856477475266694
GSM3305086,0.9234321137235585,0.9298465354676407,0.8999416771033657,0.9209647900484215,0.9095619419978002,0.9240908531080055,0.927833767862793,0.8729425241537955,1.0,0.8973113599598066,0.8977385663453439,0.8737789993843594,0.9351263592045479,0.9466291584059262,0.9247045965319929,0.9315334071968633,0.9264723702050264,0.8619736335874677,0.8994193817041769
HP.7,0.9218201751888319,0.9301736368909749,0.902069273381876,0.9351165914838676,0.9064966637875121,0.9306205626097104,0.9073210199838344,0.8312308115727678,0.8973113599598066,1.0,0.9772445572906905,0.9478087018476864,0.9456493354349707,0.905725897589354,0.9316712195265539,0.8993665077638168,0.8945450523641137,0.8296835126671697,0.8878438535533539
HP.8,0.9231140590655368,0.9328674852783743,0.9002877427610944,0.9366696489179981,0.9050586165955996,0.9255872969909267,0.9117803945959329,0.8469143815236055,0.8977385663453439,0.9772445572906905,1.0,0.9344897813937859,0.941783616100145,0.906654428755447,0.9449855086894585,0.902746863007095,0.9086680973077551,0.8369784673578485,0.9171997479747147
HP.9,0.9057009211472157,0.9144546649628321,0.8564632926123885,0.9067729722462619,0.8881623399573402,0.9150832105750597,0.8779179216427163,0.830859893754556,0.8737789993843594,0.9478087018476864,0.9344897813937859,1.0,0.9303269132155031,0.868063840042223,0.8825390776120039,0.8547116223694162,0.8741581861832252,0.8277684916193677,0.8736792007582166
HP.10,0.9455508886970215,0.9546940652627405,0.9223268708130935,0.9471607751924529,0.9306086477682315,0.9514375745428024,0.9344099766876222,0.8717941945133678,0.9351263592045479,0.9456493354349707,0.941783616100145,0.9303269132155031,1.0,0.9383965824072724,0.9478386208090116,0.928651728123048,0.9241573142639118,0.8550521286099388,0.9178557571697158
AP.1,0.9355336387867704,0.9343867438155772,0.9215027408748117,0.9437501863081437,0.9107747601002216,0.946491066958479,0.9449651946602744,0.8581899843842635,0.9466291584059262,0.905725897589354,0.906654428755447,0.868063840042223,0.9383965824072724,1.0,0.9471974880389191,0.9657292017331324,0.9544211285771566,0.867455015520583,0.9201233208838022
AP.2,0.9281131920789997,0.9361311869472109,0.923190747542872,0.9495002748311717,0.9081270236044503,0.9427533802721075,0.9407463011560123,0.8369705127778179,0.9247045965319929,0.9316712195265539,0.9449855086894585,0.8825390776120039,0.9478386208090116,0.9471974880389191,1.0,0.9542860162990947,0.9328993776841976,0.8539818976113164,0.9347880425837236
AP.3,0.9320298389562075,0.9222442934396431,0.9273259620658021,0.9477789823180045,0.8892413325356233,0.9396839183397437,0.9470327579891109,0.828441016159096,0.9315334071968633,0.8993665077638168,0.902746863007095,0.8547116223694162,0.928651728123048,0.9657292017331324,0.9542860162990947,1.0,0.9516868575870984,0.8672909690606435,0.901321178151579
AP.4,0.926475980054207,0.9232053858591023,0.8941848728765369,0.935089466947625,0.8977224032136428,0.9472109929744169,0.933975422236857,0.8445939721682919,0.9264723702050264,0.8945450523641137,0.9086680973077551,0.8741581861832252,0.9241573142639118,0.9544211285771566,0.9328993776841976,0.9516868575870984,1.0,0.8996635289774436,0.9254205446311469
AP.5,0.8668330166685657,0.8714245727867136,0.7702041030158584,0.8658379050759251,0.8198046679370962,0.8840971840212781,0.8620959822679288,0.753706105405007,0.8619736335874677,0.8296835126671697,0.8369784673578485,0.8277684916193677,0.8550521286099388,0.867455015520583,0.8539818976113164,0.8672909690606435,0.8996635289774436,1.0,0.8321772889209899
