,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6,AP.7,AP.8,AP.9,AP.10
GSM2674214,1.0,0.9151311423695181,0.950562937283503,0.8968373080121863,0.9230856035601488,0.8980974014355019,0.9622033112869549,0.8745290660893383,0.9037502965576781,0.8777089076723509,0.9590257966997465,0.8915299000570484,0.8931024668478975,0.9043459814709733,0.902009495534871,0.8866817508275384,0.8883662745200188,0.9111091682935796,0.8468768196400553,0.8768630268459918,0.9523476820398383,0.9397888976171087,0.936400497642308,0.9072548256327304,0.9435525284234024,0.9485042113244737,0.9237501181634643,0.94737481340543,0.9213682000403518,0.9266073241608291,0.9513296205527901,0.9085889275941376,0.9309059544934973,0.8568146312306257,0.9302839591000797,0.9571001952756636,0.9502038347366298,0.9357620384512646,0.9678100043085887,0.9421056108860468,0.9461248874292465,0.9304842692710096,0.9296706304090829,0.8557925539185451,0.9107051000245386,0.9243355943551723,0.9344728025072979,0.9336926033641232,0.9568126732853238
GSM2674208,0.9151311423695181,1.0,0.9341440637079984,0.918570034166626,0.9294385520271624,0.9183587705062445,0.8886537643300878,0.9099796902220285,0.9053173084032033,0.9023278041164635,0.9027283663980028,0.9084308928791491,0.9034724030777587,0.8910672561469326,0.9198505684505027,0.9228764268742616,0.924648701714902,0.9387312237074873,0.8835123252991589,0.9286679090108853,0.9004389168806903,0.9068787091977539,0.8952337058403684,0.9167305650541161,0.9189799468322569,0.9122839763129686,0.8839053816263894,0.9269649609206602,0.9094214157570695,0.8757354289570127,0.923884199443042,0.8968805587766011,0.914100580973084,0.8305182977716588,0.9016172639181885,0.8988173532255389,0.8986078929965685,0.8956518961407738,0.9144919144465788,0.9216588802857401,0.9080378863573482,0.9173368682972437,0.9232150301634315,0.8879818584022547,0.8874556111309979,0.8902705141082633,0.911699304379557,0.9138115690881073,0.9224572143422634
GSM2674209,0.950562937283503,0.9341440637079984,1.0,0.9256111838212797,0.9343547886525347,0.9358366316565078,0.9326604108177864,0.9081538410668148,0.9199795224654151,0.9174049599779192,0.9355538670399334,0.9120357405527688,0.9169620362625733,0.9061260628985627,0.9340188628966286,0.9204486933936318,0.9278752097650663,0.941306019998897,0.8969393841571184,0.9163269259234538,0.9347402553501263,0.9369263320420149,0.9226883783086459,0.9267380887687539,0.9436897299192699,0.9407100232660657,0.9176690041691783,0.9523276189716815,0.9235612946816867,0.9073227319786784,0.9510308188419139,0.9137280623453972,0.9374255254843531,0.8616220362726762,0.9239229130211761,0.9306295757612346,0.9288388486881299,0.9220062660114554,0.9520701790576771,0.9449625206128878,0.9348712430444106,0.9356700581650619,0.9384429329907733,0.8757418308155048,0.9108396556870281,0.9196041931770914,0.9329331062397578,0.9363322807247205,0.9450291559043971
GSM2674210,0.8968373080121863,0.918570034166626,0.9256111838212797,1.0,0.888857108960309,0.9373967591327365,0.8561627380961784,0.9193742675713619,0.9150227238951777,0.929512451887819,0.8928473294300642,0.9037779219508344,0.905732505159864,0.885112217728469,0.9151724073826241,0.897640339090663,0.9208708052863134,0.9152431408492961,0.8856727553422056,0.9190595707447877,0.8723719397365074,0.8670238639530323,0.8802977089247572,0.9009499328675299,0.8824825374716003,0.8968281705325015,0.8474495538193993,0.9011892636267587,0.8825015970983944,0.8699328058427602,0.9052869053413659,0.8809622968005838,0.8716171427372718,0.8169717624634171,0.8669103857163967,0.8881818014486396,0.8855436975696627,0.8993727528791426,0.9011865655142447,0.8809626920028018,0.8787826047561537,0.8710503429466341,0.8892896873093931,0.8580015378115683,0.8810507668310368,0.870778495840334,0.8755683906517027,0.8828425512204017,0.8858508278250761
GSM2674211,0.9230856035601488,0.9294385520271624,0.9343547886525347,0.888857108960309,1.0,0.9040586080410637,0.899359891134968,0.901427798813272,0.8948301653432302,0.910703466936531,0.9055287551233857,0.9133957987849307,0.9205067578278026,0.9002786598386031,0.9172448994077601,0.9212062922022733,0.9230841892902527,0.9508349478808189,0.8943133975802302,0.907036998080561,0.9176539160229151,0.9220069572578089,0.9101620167843081,0.9398287400833409,0.9283462636698179,0.9248317467453496,0.8867784534359693,0.9329251412638128,0.937138795323039,0.8725724273958769,0.9416462401755057,0.9330462519616525,0.918336156560804,0.7997268903945308,0.907141273670807,0.9080365139803338,0.9099597195755212,0.9013451506123591,0.9313747158852504,0.932201537156597,0.9271873849838923,0.9386357794260546,0.9391173016866617,0.9233265575456893,0.8891397416421902,0.906475994349847,0.9334392306432123,0.9338051964169222,0.9313148632649889
GSM2674212,0.8980974014355019,0.9183587705062445,0.9358366316565078,0.9373967591327365,0.9040586080410637,1.0,0.8623714221880802,0.9220882556321924,0.9144025738426179,0.9267661120034845,0.8816004400584498,0.8908533885294899,0.9219552593103362,0.8702632644809657,0.9270539575192926,0.9029096608393852,0.934708635683001,0.9242790600685853,0.9006308095751268,0.9171009628429296,0.8724846011972294,0.8696723164947057,0.8980498928645533,0.9059701712802843,0.8916022667442479,0.9092863215775148,0.84233756005656,0.9104075376737369,0.8820406728173612,0.8749496154664287,0.9075451419174884,0.8776996484509688,0.8801448925653621,0.8291290229236065,0.8759859983555811,0.8876269645411724,0.8945761599332364,0.8953768725468833,0.9124911797485994,0.8935359282163252,0.8861181229691165,0.8789631172302063,0.9017309241986387,0.8830977314974083,0.8831298482635804,0.8759970972912432,0.8824232074273536,0.895224079483398,0.8987578117787784
GSM2674213,0.9622033112869549,0.8886537643300878,0.9326604108177864,0.8561627380961784,0.899359891134968,0.8623714221880802,1.0,0.8306283828394775,0.8817965286449765,0.8407046397364529,0.957905737607947,0.8639694197968811,0.8589266678391436,0.8851839505062975,0.875070463835427,0.8484840950009503,0.8588282857054922,0.8711909694658111,0.8205022030561193,0.8364270587961389,0.9537845814083086,0.9443318359555208,0.9228097722182689,0.8809581320286045,0.9362713191716628,0.9284852311049827,0.9328999467455678,0.9389516895062652,0.9018626690403629,0.9084362363336127,0.9327133884003673,0.8799985191511775,0.9333196121370227,0.8559720660323248,0.921875544726524,0.9487877480356387,0.9404140133206845,0.913858435555532,0.94867216589508,0.9374656708691953,0.9419774796435777,0.927884808392229,0.9121713632551729,0.8167612198222134,0.8921034844239086,0.914860785224115,0.92369108140252,0.9243741395280077,0.9463911206353921
GSM2674215,0.8745290660893383,0.9099796902220285,0.9081538410668148,0.9193742675713619,0.901427798813272,0.9220882556321924,0.8306283828394775,1.0,0.899604261193197,0.9234118871726407,0.8603023199138498,0.895094607950317,0.8987086250519823,0.8699450619540166,0.903317892748464,0.9042759153363182,0.9146811232302269,0.9219426727107903,0.8882357186752514,0.9193422549824667,0.8504274269978064,0.8526168943075022,0.8666690763785035,0.8954666850987012,0.8723718247422863,0.8837029585236122,0.821993248706482,0.8934729008422766,0.873441788892583,0.841866070293562,0.8913871070900348,0.8761293421032806,0.8608424802600553,0.7941631630757706,0.8493067312634108,0.8599320171473906,0.8743836554715313,0.8767608733535591,0.8818168987012114,0.8682402946790666,0.8765005136376629,0.8654617221895239,0.8844144959292888,0.8782285317325593,0.8743707754119897,0.8699256552518475,0.8609754388413228,0.8838016186952456,0.869776584503704
GSM2674216,0.9037502965576781,0.9053173084032033,0.9199795224654151,0.9150227238951777,0.8948301653432302,0.9144025738426179,0.8817965286449765,0.899604261193197,1.0,0.9046663740287955,0.8997047150670656,0.8970599445491354,0.8985532112676572,0.9031814139282741,0.9124480160774262,0.8995416706768163,0.9027200071419581,0.9082120921995647,0.8931691138619041,0.8895775955955031,0.8684700617853667,0.873494136414394,0.8898490287259201,0.882338043439346,0.9031354008067587,0.9111063177996424,0.8568803418639062,0.9063600540629725,0.8802627264966308,0.8799068556650538,0.902726052731501,0.8793070836475365,0.8935719025841836,0.8666053106251584,0.8977054709649747,0.893064066188111,0.8930161522992519,0.9005891078700027,0.9196933964019963,0.9016731897889374,0.8856053695955157,0.8807446711039671,0.8945177265468489,0.8677802555763485,0.8750289078194666,0.8642648805849463,0.8807289509919592,0.8767008459725611,0.8991772567066654
GSM2674197,0.8777089076723509,0.9023278041164635,0.9174049599779192,0.929512451887819,0.910703466936531,0.9267661120034845,0.8407046397364529,0.9234118871726407,0.9046663740287955,1.0,0.8690094781753928,0.8961953359591668,0.9179452798781924,0.8746306720754332,0.9077904449827056,0.906829138797979,0.936863652604721,0.9242647369547015,0.9198315192265277,0.9186856763000885,0.8682787325824919,0.8677145182513335,0.8781614546304475,0.8996119081101233,0.8816789551541394,0.8908655480999337,0.8378972742477322,0.9017747021496595,0.886108090725504,0.8493853059434008,0.9002322711223066,0.8844460321088206,0.8716527350941728,0.7988106995194322,0.8655742068961878,0.8716849450605494,0.8767820627091093,0.877755604823402,0.8954365355255177,0.8818661547083537,0.8816133922309526,0.8804410527939335,0.8941797870116562,0.8813411469628215,0.8664376965425793,0.8729182602799602,0.8826778550071313,0.8878244141135159,0.8827925631452274
GSM2674198,0.9590257966997465,0.9027283663980028,0.9355538670399334,0.8928473294300642,0.9055287551233857,0.8816004400584498,0.957905737607947,0.8603023199138498,0.8997047150670656,0.8690094781753928,1.0,0.8944699343665572,0.8850954490575635,0.9044952916937818,0.896799626278866,0.867203700558572,0.8783999559194517,0.885200632089483,0.8398268455510628,0.8594451761969929,0.9524407471457208,0.9346354323032374,0.9234922216849651,0.898932743366719,0.9237242694105946,0.9291467811864315,0.9156513993728062,0.9345261433326925,0.9118178363874804,0.9147389226630698,0.9444549564128741,0.8965671389899521,0.9213101240769418,0.8451448913882533,0.9188324799625066,0.94165488740301,0.9294857555094862,0.919859811421621,0.9531394818283132,0.937844335624924,0.9395332879919001,0.9245324010288719,0.9200497209102367,0.8288002913356031,0.9065804453523862,0.9198049650476657,0.9283262809087749,0.9206607263932923,0.945540167683727
