,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,NA_3,NA_1,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
CL.8,0.9536583890724021,0.9510873691884669,0.9590256361892598,0.9402987433773834,0.9424559972678941,0.9427783739259623,0.9299531096184472,0.9547935646912886,0.9516845599764675,0.9559936700282151,0.9561400209505627,0.9668429165015802,0.9619977991941635,0.9533662832994676,0.9452162474366758,0.9368411654468594,0.9565835294957455,0.9272176955245574,0.9682011286461942,0.9488715013487851,0.9537634307643447,0.9568192394514581,0.9308612000098163,0.935424908809566,0.933079098314826,0.9177428690458995,0.7813472457702848,0.782739465362617,0.7073073915832886,0.8524114088520051,0.9595756820768641,0.9583780473229198,0.9409877207143844,0.9712994410116924,0.9617416292189582,0.9677035800191398,0.966827448823048,1.0,0.952677965642164,0.9615629359836548,0.9591655601671407,0.9374659903197867,0.9448631813106528,0.9211374332596857,0.9190992912321883,0.9139587766145024
CL.9,0.957273693621428,0.9539885201533758,0.9588652530744667,0.9100250065859534,0.9186568768158173,0.9177856737715883,0.8992438090250441,0.9463802799396386,0.9427836934962357,0.9462291153002401,0.9471245187164565,0.9559493039749732,0.9559073429520258,0.9451702354622503,0.9505735885637867,0.9053936210578775,0.9409000751058315,0.9037302238858741,0.9502982256372359,0.9217196855579772,0.9280671154127554,0.9421453789017511,0.9151794319470349,0.9320872376688671,0.9327348794987484,0.914799149201405,0.7494759398450763,0.7494612663259205,0.7057425941635621,0.8212571162909026,0.9595892769328136,0.960242526160858,0.9419194524204787,0.9615154322721221,0.9521572268756547,0.9537384451704517,0.9597820879563148,0.952677965642164,1.0,0.9556411244389876,0.9354694049312978,0.936570695786717,0.906125801876221,0.9265938377437113,0.9317863516083954,0.8894898984030044
CL.10,0.9547230458391274,0.956857369195562,0.9571569773661717,0.9206527744627365,0.9289743634019928,0.9259712252249096,0.921103178358874,0.9537850338750459,0.9455268598885856,0.9516399142816896,0.9558815989639876,0.9606920490540858,0.9575232581311998,0.9455713309193313,0.9614446883352479,0.918324635245461,0.9560891826031114,0.9163750456411082,0.955287886590923,0.9331580297118519,0.9339462182192233,0.9593169188404764,0.9191011917913103,0.9339240348532208,0.9241744292474013,0.9136537188517234,0.7651640223273972,0.7603258991738061,0.7157979993578547,0.8376981411892721,0.9607663893968004,0.9547939709020432,0.9464565522263494,0.9595652475066723,0.9629004297048946,0.9684056793911324,0.9651335019804682,0.9615629359836548,0.9556411244389876,1.0,0.9561489598644843,0.9403413186872172,0.9255184695952843,0.9364971329508043,0.9229219429076183,0.8978948483262851
HP.1,0.9452639376818496,0.9472799949771693,0.9494757495019304,0.940453834404017,0.9468375349760042,0.9436017913625816,0.9409359702106096,0.956083599567036,0.9459715200096288,0.957232153129334,0.9590577985359201,0.9615815005910668,0.9574724928958402,0.9521008123411938,0.9448193165924517,0.9389997608762174,0.9603323586325128,0.9219647519403047,0.9585324214506469,0.9479002383791645,0.9559124712501934,0.9647050676002173,0.932855450264121,0.935365456722017,0.9261455649027076,0.9163789092394943,0.7772163155939225,0.7752805619338734,0.6856044784316679,0.8472481428123538,0.9455459338236407,0.9344817716565939,0.9410333777639267,0.9516603100970508,0.9456841415335971,0.958567676146477,0.9446442048853539,0.9591655601671407,0.9354694049312978,0.9561489598644843,1.0,0.9338940929750491,0.9455139374909923,0.926089777999136,0.9134685396318647,0.9146044195121312
HP.2,0.9324249199919196,0.9197737462517281,0.9301899225154562,0.9006887241294026,0.8940859365651104,0.9022205827881037,0.8913649613617001,0.9229170321510819,0.9309999115256864,0.9240982847001781,0.9363085933717311,0.934980739833118,0.9306260627691875,0.9139944371948663,0.9314899029226517,0.8926965384938237,0.9200582549919368,0.906229369283386,0.934665948584037,0.9076229600693976,0.9126284939259374,0.9191373451159086,0.9400266673241969,0.9450552258817172,0.9400956885943537,0.9367694367627633,0.8073280055032076,0.7891574266512316,0.7461530925342598,0.8557245072170817,0.9392434375340126,0.9482551546642459,0.9304541904266206,0.9282671042511584,0.956041312259567,0.9428933245279943,0.9258185817209471,0.9374659903197867,0.936570695786717,0.9403413186872172,0.9338940929750491,1.0,0.9465698187708019,0.933374201564576,0.9420426012849971,0.9355719965871747
HP.3,0.9234927073475057,0.9140673328563672,0.9274594201612596,0.9205605477112301,0.9121673244672353,0.9170187021572245,0.9109548505836628,0.9196127406917654,0.9261700740552982,0.922322846877587,0.934335491122416,0.9361876010708757,0.9297176345575512,0.915417649562237,0.9219005372346853,0.909449486629818,0.9242050892408934,0.9208706927214559,0.9426416646449021,0.9275525333290229,0.9172006911907247,0.9207680366762394,0.9357461568866033,0.9365053808891951,0.9314036049908793,0.9256447558919549,0.7870665332871932,0.7998676107768584,0.7121113153155624,0.8469905863059959,0.9126286676951632,0.924484367509684,0.9151239665071355,0.9166929013049824,0.9476568359916634,0.9381817286871416,0.9095305854916093,0.9448631813106528,0.906125801876221,0.9255184695952843,0.9455139374909923,0.9465698187708019,1.0,0.924127267093205,0.9213590414761431,0.9377310792415947
HP.4,0.9336704000603668,0.9264295566808131,0.9343658878530846,0.9095126352911159,0.9058313756608806,0.9114444515347905,0.8981886581070919,0.9287298036619154,0.9282376131573096,0.928133985479447,0.9426054181944602,0.9370369171779809,0.933371460652856,0.9260787524189482,0.9357051408515418,0.8873802438849788,0.9247077035680504,0.904457601915199,0.9313644146816694,0.9042486725147166,0.9116095459718179,0.9228645303506666,0.9128734488926252,0.9239979473411112,0.9154689957620086,0.9050853369341536,0.709173080399844,0.7179982275573719,0.6568588399314623,0.7863500305576558,0.9092559650494746,0.9267532147119311,0.9403307239666814,0.9194738816774459,0.9418010812525183,0.9379548870203402,0.914260751403422,0.9211374332596857,0.9265938377437113,0.9364971329508043,0.926089777999136,0.933374201564576,0.924127267093205,1.0,0.9453938418096551,0.8907217929076846
HP.5,0.9281391325541227,0.9164625090441845,0.9368513040425389,0.9111487949439724,0.9068293453813976,0.9088718232545928,0.8907557566515865,0.9272771367980074,0.9258096730460628,0.9197927557036116,0.941598736235506,0.9365715925826459,0.9396261965540985,0.9301814667612699,0.9339591966216955,0.8711375181754221,0.9195160788949768,0.8780286651035933,0.9353044935107298,0.8914118611510418,0.8992530312939073,0.9189407732445621,0.9424857727486259,0.9365352991360868,0.9367397225600329,0.9279342920310872,0.7297126105399281,0.7218563288930862,0.6606438035752605,0.7960480557350119,0.9077241004323788,0.9315066333494898,0.9221333584252027,0.9198151044368238,0.945194386571664,0.9392715825681417,0.9116284659642443,0.9190992912321883,0.9317863516083954,0.9229219429076183,0.9134685396318647,0.9420426012849971,0.9213590414761431,0.9453938418096551,1.0,0.9251541986848182
HP.6,0.9062290596034819,0.89728549534046,0.9049464147766704,0.9151635535870019,0.9030343290000431,0.9169387056920317,0.9054549110377506,0.917846108278088,0.9320003451779726,0.9207724762560625,0.9261795223288958,0.9207200104483889,0.9175678169540994,0.9084981327090658,0.8973140750716349,0.9044247417915129,0.911103201485134,0.9030840641198237,0.9271781712892463,0.9084666796790091,0.90679994338991,0.8966806919944333,0.9235479074315325,0.9326561608050408,0.9363567906648591,0.9446946387122965,0.8095989283022598,0.8503915617162173,0.7372514648545817,0.8743334756401645,0.9016464317875411,0.9076034410948883,0.8587786710079014,0.8988617622776505,0.9202018478171591,0.9004303662256183,0.8926600819939177,0.9139587766145024,0.8894898984030044,0.8978948483262851,0.9146044195121312,0.9355719965871747,0.9377310792415947,0.8907217929076846,0.9251541986848182,1.0
