,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
GSM2674196,1.0,0.9781684201829284,0.9805588889820656,0.9334405978916823,0.9381495416078613,0.9420338075598144,0.9251237775360982,0.9651102700260955,0.9687892079411695,0.9710222424107532,0.9707428278059363,0.9765028977462239,0.9734825177349806,0.9665024602388782,0.9721298634919102,0.9358786731138549,0.9668172601573164,0.939881095656527,0.9712752108331204,0.9493677659116452,0.9305178898832345,0.9281111526339955,0.8984623821995731,0.900090744933878,0.9095519072918056,0.8934536850018912,0.9370265853713948,0.9356602413562175,0.8969222720171552,0.9084217412728254,0.8650350219085037,0.9105098616849266,0.9488416768635896,0.9417284781454316,0.9324357906745123,0.9450773792817233,0.9202726412539368,0.91293513784457,0.9483407133414377,0.9311141619784422,0.9037721745438905,0.9303746439680436,0.9360227461013712,0.9335978631397417,0.9414389225260912,0.9253364960906356,0.9117808053721619,0.9138363149428034,0.9468065250691476,0.9522369819218873,0.8788474806631578,0.9386313085843536,0.9475619398646,0.7086954694285623,0.7650511545882278,0.6727698731305827,0.8004833124374742,0.9549601107630248,0.9505381335030536,0.9341119682740965,0.9554147557717582,0.9534244173970047,0.9513106790387436,0.9530166027989928,0.9536583890724021,0.957273693621428,0.9547230458391274,0.9452639376818496,0.9324249199919196,0.9234927073475057,0.9336704000603668,0.9281391325541227,0.9062290596034819
GSM2674188,0.9781684201829284,1.0,0.9780352444975853,0.9358422760869418,0.9506442365193476,0.9478329570097788,0.935292228253669,0.9716665756827688,0.9612542590670218,0.9779076276059259,0.9681299177528488,0.9733686604445231,0.9723332119781734,0.9721293185371772,0.9709765483688293,0.9461422201365096,0.9727609419919349,0.9412800875790238,0.9693323324859512,0.9564093306522837,0.930845867143214,0.9291372130707886,0.8974662679394597,0.8908675391541501,0.910200277329966,0.8853495898110858,0.9328847034999317,0.9330059871561078,0.891581149312087,0.9059450508597172,0.8627563500267837,0.9052779733801815,0.9453469655685091,0.9380621184822783,0.9271036407715395,0.9424110455604386,0.9219711569230109,0.9116770223628761,0.945110080739702,0.9304981508512787,0.9049887960270092,0.9261940809111833,0.9357845361395163,0.9290777165612626,0.938221312350916,0.9234953912624267,0.9120708376388043,0.9162702727984213,0.9462780056833842,0.9500899555107782,0.8757449645220815,0.9348774948110774,0.9571381380461945,0.7143852352585268,0.7668190759639751,0.6731835283754228,0.8056265425789735,0.9536400363310031,0.9437657511945978,0.9277613204814542,0.9520165490875352,0.9432210262305463,0.9500071427258436,0.9587716010677605,0.9510873691884669,0.9539885201533758,0.956857369195562,0.9472799949771693,0.9197737462517281,0.9140673328563672,0.9264295566808131,0.9164625090441845,0.89728549534046
GSM2674189,0.9805588889820656,0.9780352444975853,1.0,0.941660745053776,0.9461462777988328,0.9454250449972366,0.9255439959107697,0.9672643246571426,0.9603663318056757,0.9710953229304846,0.9746493303615544,0.9810390663719191,0.9792361730271708,0.9717834447323122,0.9748388114701422,0.9279289502532961,0.9686496678599948,0.9258376304821613,0.9779649007245844,0.9490333696932312,0.9292508028416218,0.9248519801259297,0.8992393664047191,0.902039971752161,0.9124657384060916,0.8800197614039312,0.9393783515580897,0.9384202665531324,0.8982175702652053,0.9064750622982071,0.8610376746679346,0.9224970076206005,0.9449596453312509,0.9386886471554352,0.926329675673205,0.9445309491971022,0.9173382571254513,0.9140847796648208,0.9434720980525139,0.9270136302960812,0.900773166304728,0.9264769791438581,0.9368058809702993,0.9330859455230746,0.9479982090234262,0.9207292606506611,0.9073678115331126,0.9117536345735312,0.9471377440982429,0.9448767809098473,0.8852017102575465,0.9427478979492825,0.9520834711525564,0.7061771967885418,0.7408105829377453,0.6553917661984691,0.7935778855296126,0.9574580099005953,0.9566829472034291,0.9418549198535513,0.9599520815444087,0.954412801946884,0.963046896275203,0.957132796621025,0.9590256361892598,0.9588652530744667,0.9571569773661717,0.9494757495019304,0.9301899225154562,0.9274594201612596,0.9343658878530846,0.9368513040425389,0.9049464147766704
GSM2674190,0.9334405978916823,0.9358422760869418,0.941660745053776,1.0,0.9817692914311554,0.9857222561208945,0.9786650226000178,0.9642199119248528,0.9556274886769317,0.9583391230586163,0.9611229816596848,0.9592338406356737,0.9626255876786272,0.9617917823003578,0.923242592686307,0.9585387438771754,0.957863514496069,0.9340073851589652,0.9688670192997416,0.9589329717269798,0.9247234640143656,0.9178838346386029,0.8909448972773372,0.8721607933616499,0.8496245132539879,0.8522882656510529,0.9163010524058034,0.9129022374215701,0.8708270878357471,0.8891753642788581,0.898296700890294,0.9037692993323753,0.9170342187989863,0.9123285879396053,0.9038713271157515,0.9079951519638841,0.9163625306659892,0.920328959099945,0.9027904281099012,0.9019337346471227,0.914118939730754,0.9122128103185946,0.9255194999334379,0.8981695737365134,0.9179116301468382,0.9053128673271408,0.9253352007720609,0.9227829730181694,0.906216400331105,0.914172631768925,0.8978686292106718,0.9162500925359058,0.9177313992481826,0.713523922853141,0.760251358391937,0.6071126628438202,0.804385453284476,0.9170627532153717,0.9144774981447701,0.8988662241958386,0.9242727235061877,0.9238645877606333,0.9311268254291609,0.9214398423044398,0.9402987433773834,0.9100250065859534,0.9206527744627365,0.940453834404017,0.9006887241294026,0.9205605477112301,0.9095126352911159,0.9111487949439724,0.9151635535870019
GSM2674191,0.9381495416078613,0.9506442365193476,0.9461462777988328,0.9817692914311554,1.0,0.9836415661068383,0.9804872257236212,0.9721957734468492,0.9553734294807149,0.9657051768814123,0.9609285346051779,0.961161602485754,0.9651396640333377,0.971119432758395,0.933456768319413,0.9626660848239821,0.9657200888423368,0.9326028670144889,0.9682123824502448,0.9614355419988665,0.9297831248483672,0.9219976549994278,0.8942453524823645,0.8737510391788411,0.8644718620103738,0.8552010296114649,0.9211963892702738,0.9207084127769545,0.8728868512346444,0.8927861759107869,0.8902093091326413,0.9029012237975934,0.9202168828182339,0.9146515124051227,0.9041170970223641,0.9155204677621624,0.9208999280066018,0.9193483350628903,0.907438987490299,0.9086330963757585,0.9152348976501344,0.9131958273324605,0.9291974997385661,0.9029661016686847,0.9220069290764452,0.9107185642427104,0.92547175001871,0.9240230255733882,0.9119071381034195,0.9215414878306086,0.8903983222141864,0.919026268438621,0.937752656748686,0.7142150508611143,0.7609273104433385,0.6121134888506269,0.8087267611903497,0.92315906117472,0.9125226635877872,0.9017032841190301,0.9308115162175102,0.9225148503766936,0.9358478419186991,0.9331005025786722,0.9424559972678941,0.9186568768158173,0.9289743634019928,0.9468375349760042,0.8940859365651104,0.9121673244672353,0.9058313756608806,0.9068293453813976,0.9030343290000431
GSM2674192,0.9420338075598144,0.9478329570097788,0.9454250449972366,0.9857222561208945,0.9836415661068383,1.0,0.9807881689126402,0.9726768277060239,0.9645209485108897,0.970055791645309,0.9661508437390889,0.9647053772243159,0.9650728860798028,0.970714673129048,0.9293236503921868,0.9665032751252908,0.9638752793249061,0.9419933526057767,0.969510461575391,0.96317868697091,0.9269579460084177,0.9239497269282473,0.8944805004976113,0.8740550187344607,0.8575775873142698,0.8647159753138923,0.9203350605671283,0.9169198539541716,0.8747458404142529,0.8946669421933648,0.8974001322464416,0.9025558396094432,0.922851804640847,0.9174519256380208,0.9109948777333394,0.9145886173116432,0.9239228657220016,0.9227407883136276,0.909999650931425,0.9095070348459597,0.9209903779497687,0.9201129287245001,0.9321373293203574,0.9044596105087639,0.9194935872694711,0.9136314189721632,0.9334382465969593,0.9313430714127431,0.9128112954620184,0.9250176387026947,0.8962019456211211,0.9191502207425507,0.9276405744610193,0.7194570204300096,0.7790838177734406,0.6216289099881052,0.8163643399046918,0.9228248388869639,0.9161825606288061,0.8984284193929699,0.927694665876681,0.9252104127354869,0.9310188053707391,0.9289520364569812,0.9427783739259623,0.9177856737715883,0.9259712252249096,0.9436017913625816,0.9022205827881037,0.9170187021572245,0.9114444515347905,0.9088718232545928,0.9169387056920317
GSM2674193,0.9251237775360982,0.935292228253669,0.9255439959107697,0.9786650226000178,0.9804872257236212,0.9807881689126402,1.0,0.9590359886134262,0.9478074393374687,0.9553006460193088,0.9539084473782308,0.9475373298178356,0.9502351815170588,0.9542303831401089,0.9206355817987005,0.9665727491109096,0.9597883198368157,0.9397092921181819,0.9561420410336107,0.961742609385984,0.9276607368847903,0.9213930069808045,0.8934344635540148,0.8667174670697497,0.8467440359649935,0.8528899551697714,0.9075339093276729,0.9111045857910668,0.8629316306186011,0.884248923866871,0.900638035603912,0.8910246641475329,0.912790378442865,0.8990455959230566,0.8981509698370813,0.9015603829174218,0.9200853386862972,0.9177697473941664,0.8971634901291139,0.8971000801130927,0.9200579791746402,0.9028448482447966,0.9267939757105994,0.8961605879662334,0.903911069311039,0.9025483669552562,0.9297049438783848,0.9179093453031159,0.9055593210812151,0.9162747061572007,0.8830437154667065,0.9065209634940196,0.915951809800236,0.7215290426769159,0.7749137326372038,0.6199433153314353,0.813444476358218,0.9078824131829085,0.8971214447378473,0.8875973409083479,0.9126704629786726,0.9149335622977803,0.9229120537669648,0.9162044422588466,0.9299531096184472,0.8992438090250441,0.921103178358874,0.9409359702106096,0.8913649613617001,0.9109548505836628,0.8981886581070919,0.8907557566515865,0.9054549110377506
GSM2674194,0.9651102700260955,0.9716665756827688,0.9672643246571426,0.9642199119248528,0.9721957734468492,0.9726768277060239,0.9590359886134262,1.0,0.975673697178608,0.9845109213434703,0.97958213509991,0.9797638085284008,0.9821644277287114,0.9838353839946429,0.9635079207254249,0.9572145851945469,0.9743074067469024,0.9389881714961825,0.9775371263110862,0.9603903659999565,0.9390466207111866,0.9390967279471933,0.9125029286503562,0.8917085778099919,0.9026082399212041,0.8862107959219665,0.9444841239510146,0.9417709300239471,0.896000610541775,0.9136702744379581,0.882634961583937,0.9145061025228275,0.9401945381036583,0.9373774796088435,0.9257428255025181,0.9299761172500488,0.9332989045927608,0.9277216105043199,0.9304716565056151,0.9300502641175498,0.9228541920971206,0.92554422798402,0.9438657708021442,0.9255565474956886,0.9394369555258156,0.9317894140447659,0.9336123285670691,0.9290307292797553,0.9344058926760328,0.9457367350301261,0.8936416577612836,0.936481838686886,0.9517669290614216,0.7290954905519039,0.7776888351414997,0.6503027407464635,0.8235773037283585,0.9493082328174599,0.9369788302102634,0.9205001696162292,0.950563412897387,0.9466388855608774,0.9485093584547898,0.9562739321133804,0.9547935646912886,0.9463802799396386,0.9537850338750459,0.956083599567036,0.9229170321510819,0.9196127406917654,0.9287298036619154,0.9272771367980074,0.917846108278088
GSM2674195,0.9687892079411695,0.9612542590670218,0.9603663318056757,0.9556274886769317,0.9553734294807149,0.9645209485108897,0.9478074393374687,0.975673697178608,1.0,0.9748302361856898,0.9715865872790723,0.9733437672922408,0.9744785570454298,0.9711290132675998,0.9536565446218233,0.9493174387203651,0.9639146912010227,0.9456913574595578,0.9735146256014687,0.950727414852419,0.9346307105571465,0.9360813834141926,0.9104347006486736,0.8919294976384458,0.8923128153247017,0.9031359485661966,0.9410333828394183,0.9336088309724252,0.8954016436206436,0.9143974715476275,0.8832427404492935,0.907921163253876,0.9431259388049534,0.9404881525452038,0.936174483300426,0.93007029290742,0.9308511050961605,0.926282137829827,0.9368820652659591,0.929672811697952,0.9239203201546847,0.9330180415236573,0.9439758872844418,0.9283327002327713,0.9315065670480462,0.935842999890583,0.9363136330882524,0.9282496933378854,0.9321618624773877,0.9499866380416084,0.8905743486923198,0.9332562412399725,0.934299233405475,0.7341972159899921,0.8052772041270065,0.6801690043814882,0.8333010459278698,0.9420184048957301,0.9349044521952456,0.9069668650661544,0.9457214513735509,0.9497913721988631,0.937550393670518,0.9445895909976397,0.9516845599764675,0.9427836934962357,0.9455268598885856,0.9459715200096288,0.9309999115256864,0.9261700740552982,0.9282376131573096,0.9258096730460628,0.9320003451779726
GSM2674177,0.9710222424107532,0.9779076276059259,0.9710953229304846,0.9583391230586163,0.9657051768814123,0.970055791645309,0.9553006460193088,0.9845109213434703,0.9748302361856898,1.0,0.9804941528288683,0.9817886444810213,0.9765142533997111,0.9812777248094807,0.9601194727662611,0.9640659905285739,0.977743034951944,0.9486316638706055,0.9753254509532346,0.9688639565523768,0.9348152935673113,0.9372266453463215,0.9062665228991537,0.8949828945809281,0.8951049837306848,0.893562289361414,0.9407857161891984,0.9400483285625352,0.8979238172700317,0.9148746942307713,0.8943854593445438,0.9114567008113913,0.9427334847627965,0.9372367731989365,0.9297112392611828,0.9389405776462744,0.9353056767414509,0.9272525264220491,0.9394649790881557,0.9321565107284367,0.9243513397223496,0.9348279138492228,0.9464403810719724,0.9280073059876532,0.9374081799374053,0.9330652704447594,0.9364814185323026,0.9348167721694889,0.9433670378264489,0.9527789694726634,0.8937229242579018,0.9359342408819358,0.9539246122871381,0.7337648277361212,0.7917870845168197,0.6660829720439998,0.8303043270207375,0.9535739521536496,0.9430235555641421,0.9199479593787635,0.9514228641824953,0.9437975271530229,0.9460954231957877,0.9545304628765048,0.9559936700282151,0.9462291153002401,0.9516399142816896,0.957232153129334,0.9240982847001781,0.922322846877587,0.928133985479447,0.9197927557036116,0.9207724762560625
